,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,非晶質,名詞,固有名詞,一般,*,非晶質,41
1,0,体,名詞,接尾,一般,*,体,51
2,0,構造,名詞,一般,*,*,構造,38
3,0,科学,名詞,一般,*,*,科学,38
4,0,非晶質,名詞,固有名詞,一般,*,非晶質,41
5,0,体,名詞,接尾,一般,*,体,51
6,0,構造,名詞,一般,*,*,構造,38
7,0,科学,名詞,一般,*,*,科学,38
8,0,非晶質,名詞,固有名詞,一般,*,非晶質,41
9,0,体,名詞,接尾,一般,*,体,51
10,0,構造,名詞,一般,*,*,構造,38
11,0,科学,名詞,一般,*,*,科学,38
12,0,非晶質,名詞,固有名詞,一般,*,非晶質,41
13,0,体,名詞,接尾,一般,*,体,51
14,0,構造,名詞,一般,*,*,構造,38
15,0,科学,名詞,一般,*,*,科学,38
16,0,非晶質,名詞,固有名詞,一般,*,非晶質,41
17,0,体,名詞,接尾,一般,*,体,51
18,0,構造,名詞,一般,*,*,構造,38
19,0,科学,名詞,一般,*,*,科学,38
