,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,バンド構造,名詞,固有名詞,一般,*,バンド構造,41
1,0,キャリア,名詞,一般,*,*,キャリア,38
3,0,状態密度,名詞,固有名詞,一般,*,状態密度,41
4,0,真性,名詞,一般,*,*,真性,38
5,0,キャリア,名詞,一般,*,*,キャリア,38
6,0,濃度,名詞,一般,*,*,濃度,38
7,0,pn接合,名詞,固有名詞,一般,*,Pn接合,41
8,0,金属,名詞,一般,*,*,金属,38
9,0,半導体,名詞,一般,*,*,半導体,38
10,0,接合,名詞,サ変接続,*,*,接合,36
12,0,構造,名詞,一般,*,*,構造,38
13,0,キャリア,名詞,一般,*,*,キャリア,38
15,0,状態密度,名詞,固有名詞,一般,*,状態密度,41
16,0,真性,名詞,一般,*,*,真性,38
17,0,キャリア,名詞,一般,*,*,キャリア,38
18,0,濃度,名詞,一般,*,*,濃度,38
19,0,pn接合,名詞,固有名詞,一般,*,Pn接合,41
20,0,金属,名詞,一般,*,*,金属,38
21,0,半導体,名詞,一般,*,*,半導体,38
22,0,接合,名詞,サ変接続,*,*,接合,36
24,0,構造,名詞,一般,*,*,構造,38
25,0,キャリア,名詞,一般,*,*,キャリア,38
27,0,状態密度,名詞,固有名詞,一般,*,状態密度,41
28,0,真性,名詞,一般,*,*,真性,38
29,0,キャリア,名詞,一般,*,*,キャリア,38
30,0,濃度,名詞,一般,*,*,濃度,38
31,0,pn接合,名詞,固有名詞,一般,*,Pn接合,41
32,0,金属,名詞,一般,*,*,金属,38
33,0,半導体,名詞,一般,*,*,半導体,38
34,0,接合,名詞,サ変接続,*,*,接合,36
36,0,構造,名詞,一般,*,*,構造,38
37,0,キャリア,名詞,一般,*,*,キャリア,38
39,0,状態密度,名詞,固有名詞,一般,*,状態密度,41
40,0,真性,名詞,一般,*,*,真性,38
41,0,キャリア,名詞,一般,*,*,キャリア,38
42,0,濃度,名詞,一般,*,*,濃度,38
43,0,pn接合,名詞,固有名詞,一般,*,Pn接合,41
44,0,金属,名詞,一般,*,*,金属,38
45,0,半導体,名詞,一般,*,*,半導体,38
46,0,接合,名詞,サ変接続,*,*,接合,36
