,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
1,0,分極,名詞,サ変接続,*,*,分極,36
2,0,誘電,名詞,一般,*,*,誘電,38
3,0,緩和,名詞,サ変接続,*,*,緩和,36
4,0,複素,名詞,一般,*,*,複素,38
5,0,誘電率,名詞,固有名詞,一般,*,誘電率,41
6,0,強誘電体,名詞,固有名詞,一般,*,強誘電体,41
7,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
8,0,分極,名詞,サ変接続,*,*,分極,36
9,0,誘電,名詞,一般,*,*,誘電,38
10,0,緩和,名詞,サ変接続,*,*,緩和,36
11,0,複素,名詞,一般,*,*,複素,38
12,0,誘電率,名詞,固有名詞,一般,*,誘電率,41
13,0,強誘電体,名詞,固有名詞,一般,*,強誘電体,41
14,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
15,0,分極,名詞,サ変接続,*,*,分極,36
16,0,誘電,名詞,一般,*,*,誘電,38
17,0,緩和,名詞,サ変接続,*,*,緩和,36
18,0,複素,名詞,一般,*,*,複素,38
19,0,誘電率,名詞,固有名詞,一般,*,誘電率,41
20,0,強誘電体,名詞,固有名詞,一般,*,強誘電体,41
21,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
22,0,分極,名詞,サ変接続,*,*,分極,36
23,0,誘電,名詞,一般,*,*,誘電,38
24,0,緩和,名詞,サ変接続,*,*,緩和,36
25,0,複素,名詞,一般,*,*,複素,38
26,0,誘電率,名詞,固有名詞,一般,*,誘電率,41
27,0,強誘電体,名詞,固有名詞,一般,*,強誘電体,41
28,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
29,0,分極,名詞,サ変接続,*,*,分極,36
30,0,誘電,名詞,一般,*,*,誘電,38
31,0,緩和,名詞,サ変接続,*,*,緩和,36
32,0,複素,名詞,一般,*,*,複素,38
33,0,誘電率,名詞,固有名詞,一般,*,誘電率,41
34,0,強誘電体,名詞,固有名詞,一般,*,強誘電体,41
