,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,力学,名詞,一般,*,*,力学,38
1,0,基礎,名詞,一般,*,*,基礎,38
3,0,力学,名詞,一般,*,*,力学,38
4,0,基礎,名詞,一般,*,*,基礎,38
6,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
7,0,概論,名詞,サ変接続,*,*,概論,36
9,0,連続体力学,名詞,固有名詞,一般,*,連続体力学,41
10,0,力学,名詞,一般,*,*,力学,38
11,0,基礎,名詞,一般,*,*,基礎,38
13,0,力学,名詞,一般,*,*,力学,38
14,0,基礎,名詞,一般,*,*,基礎,38
16,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
17,0,概論,名詞,サ変接続,*,*,概論,36
19,0,連続体力学,名詞,固有名詞,一般,*,連続体力学,41
20,0,力学,名詞,一般,*,*,力学,38
21,0,基礎,名詞,一般,*,*,基礎,38
23,0,力学,名詞,一般,*,*,力学,38
24,0,基礎,名詞,一般,*,*,基礎,38
26,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
27,0,概論,名詞,サ変接続,*,*,概論,36
29,0,連続体力学,名詞,固有名詞,一般,*,連続体力学,41
30,0,力学,名詞,一般,*,*,力学,38
31,0,基礎,名詞,一般,*,*,基礎,38
33,0,力学,名詞,一般,*,*,力学,38
34,0,基礎,名詞,一般,*,*,基礎,38
36,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
37,0,概論,名詞,サ変接続,*,*,概論,36
39,0,連続体力学,名詞,固有名詞,一般,*,連続体力学,41
40,0,力学,名詞,一般,*,*,力学,38
41,0,基礎,名詞,一般,*,*,基礎,38
43,0,力学,名詞,一般,*,*,力学,38
44,0,基礎,名詞,一般,*,*,基礎,38
46,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
47,0,概論,名詞,サ変接続,*,*,概論,36
49,0,連続体力学,名詞,固有名詞,一般,*,連続体力学,41
50,0,力学,名詞,一般,*,*,力学,38
51,0,基礎,名詞,一般,*,*,基礎,38
53,0,力学,名詞,一般,*,*,力学,38
54,0,基礎,名詞,一般,*,*,基礎,38
56,0,材料力学,名詞,固有名詞,一般,*,材料力学,41
57,0,概論,名詞,サ変接続,*,*,概論,36
59,0,連続体力学,名詞,固有名詞,一般,*,連続体力学,41
