,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,到達,名詞,サ変接続,*,*,到達,36
2,0,目標,名詞,一般,*,*,目標,38
6,0,講義,名詞,サ変接続,*,*,講義,36
8,0,履修,名詞,サ変接続,*,*,履修,36
13,0,独創,名詞,サ変接続,*,*,独創,36
14,0,的,名詞,接尾,形容動詞語幹,*,的,52
16,0,問題意識,名詞,固有名詞,一般,*,問題意識,41
18,0,企画力,名詞,固有名詞,一般,*,企画力,41
20,0,実行力,名詞,固有名詞,一般,*,実行力,41
22,0,表現力,名詞,固有名詞,一般,*,表現力,41
24,0,富む,動詞,自立,*,*,富む,31
25,0,有為,名詞,形容動詞語幹,*,*,有為,40
27,0,材料,名詞,一般,*,*,材料,38
28,0,研究者,名詞,一般,*,*,研究者,38
30,0,なる,動詞,自立,*,*,なる,31
31,0,ため,名詞,非自立,副詞可能,*,ため,66
33,0,基礎,名詞,一般,*,*,基礎,38
35,0,修得,名詞,サ変接続,*,*,修得,36
40,0,講義,名詞,サ変接続,*,*,講義,36
42,0,目的,名詞,一般,*,*,目的,38
49,0,到達,名詞,サ変接続,*,*,到達,36
50,0,目標,名詞,一般,*,*,目標,38
54,0,講義,名詞,サ変接続,*,*,講義,36
56,0,履修,名詞,サ変接続,*,*,履修,36
61,0,独創,名詞,サ変接続,*,*,独創,36
62,0,的,名詞,接尾,形容動詞語幹,*,的,52
64,0,問題意識,名詞,固有名詞,一般,*,問題意識,41
66,0,企画力,名詞,固有名詞,一般,*,企画力,41
68,0,実行力,名詞,固有名詞,一般,*,実行力,41
70,0,表現力,名詞,固有名詞,一般,*,表現力,41
72,0,富む,動詞,自立,*,*,富む,31
73,0,有為,名詞,形容動詞語幹,*,*,有為,40
75,0,材料,名詞,一般,*,*,材料,38
76,0,研究者,名詞,一般,*,*,研究者,38
78,0,なる,動詞,自立,*,*,なる,31
79,0,ため,名詞,非自立,副詞可能,*,ため,66
81,0,基礎,名詞,一般,*,*,基礎,38
83,0,修得,名詞,サ変接続,*,*,修得,36
88,0,講義,名詞,サ変接続,*,*,講義,36
90,0,目的,名詞,一般,*,*,目的,38
97,0,到達,名詞,サ変接続,*,*,到達,36
98,0,目標,名詞,一般,*,*,目標,38
102,0,講義,名詞,サ変接続,*,*,講義,36
104,0,履修,名詞,サ変接続,*,*,履修,36
109,0,独創,名詞,サ変接続,*,*,独創,36
110,0,的,名詞,接尾,形容動詞語幹,*,的,52
112,0,問題意識,名詞,固有名詞,一般,*,問題意識,41
114,0,企画力,名詞,固有名詞,一般,*,企画力,41
116,0,実行力,名詞,固有名詞,一般,*,実行力,41
118,0,表現力,名詞,固有名詞,一般,*,表現力,41
120,0,富む,動詞,自立,*,*,富む,31
121,0,有為,名詞,形容動詞語幹,*,*,有為,40
123,0,材料,名詞,一般,*,*,材料,38
124,0,研究者,名詞,一般,*,*,研究者,38
126,0,なる,動詞,自立,*,*,なる,31
127,0,ため,名詞,非自立,副詞可能,*,ため,66
129,0,基礎,名詞,一般,*,*,基礎,38
131,0,修得,名詞,サ変接続,*,*,修得,36
136,0,講義,名詞,サ変接続,*,*,講義,36
138,0,目的,名詞,一般,*,*,目的,38
145,0,到達,名詞,サ変接続,*,*,到達,36
146,0,目標,名詞,一般,*,*,目標,38
150,0,講義,名詞,サ変接続,*,*,講義,36
152,0,履修,名詞,サ変接続,*,*,履修,36
157,0,独創,名詞,サ変接続,*,*,独創,36
158,0,的,名詞,接尾,形容動詞語幹,*,的,52
160,0,問題意識,名詞,固有名詞,一般,*,問題意識,41
162,0,企画力,名詞,固有名詞,一般,*,企画力,41
164,0,実行力,名詞,固有名詞,一般,*,実行力,41
166,0,表現力,名詞,固有名詞,一般,*,表現力,41
168,0,富む,動詞,自立,*,*,富む,31
169,0,有為,名詞,形容動詞語幹,*,*,有為,40
171,0,材料,名詞,一般,*,*,材料,38
172,0,研究者,名詞,一般,*,*,研究者,38
174,0,なる,動詞,自立,*,*,なる,31
175,0,ため,名詞,非自立,副詞可能,*,ため,66
177,0,基礎,名詞,一般,*,*,基礎,38
179,0,修得,名詞,サ変接続,*,*,修得,36
184,0,講義,名詞,サ変接続,*,*,講義,36
186,0,目的,名詞,一般,*,*,目的,38
193,0,到達,名詞,サ変接続,*,*,到達,36
194,0,目標,名詞,一般,*,*,目標,38
198,0,講義,名詞,サ変接続,*,*,講義,36
200,0,履修,名詞,サ変接続,*,*,履修,36
205,0,独創,名詞,サ変接続,*,*,独創,36
206,0,的,名詞,接尾,形容動詞語幹,*,的,52
208,0,問題意識,名詞,固有名詞,一般,*,問題意識,41
210,0,企画力,名詞,固有名詞,一般,*,企画力,41
212,0,実行力,名詞,固有名詞,一般,*,実行力,41
214,0,表現力,名詞,固有名詞,一般,*,表現力,41
216,0,富む,動詞,自立,*,*,富む,31
217,0,有為,名詞,形容動詞語幹,*,*,有為,40
219,0,材料,名詞,一般,*,*,材料,38
220,0,研究者,名詞,一般,*,*,研究者,38
222,0,なる,動詞,自立,*,*,なる,31
223,0,ため,名詞,非自立,副詞可能,*,ため,66
225,0,基礎,名詞,一般,*,*,基礎,38
227,0,修得,名詞,サ変接続,*,*,修得,36
232,0,講義,名詞,サ変接続,*,*,講義,36
234,0,目的,名詞,一般,*,*,目的,38
