,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,イントロダクション,名詞,一般,*,*,イントロダクション,38
2,0,状態図,名詞,固有名詞,一般,*,状態図,41
4,0,必要性,名詞,固有名詞,一般,*,必要性,41
6,0,金属,名詞,一般,*,*,金属,38
7,0,組織,名詞,サ変接続,*,*,組織,36
9,0,機能,名詞,サ変接続,*,*,機能,36
10,0,特性,名詞,一般,*,*,特性,38
11,0,構造,名詞,一般,*,*,構造,38
12,0,用,名詞,接尾,一般,*,用,51
13,0,材料,名詞,一般,*,*,材料,38
15,0,機能性,名詞,固有名詞,一般,*,機能性,41
16,0,材料,名詞,一般,*,*,材料,38
18,0,設計,名詞,サ変接続,*,*,設計,36
20,0,状態図,名詞,固有名詞,一般,*,状態図,41
22,0,必要,名詞,形容動詞語幹,*,*,必要,40
27,0,理解,名詞,サ変接続,*,*,理解,36
30,0,状態図,名詞,固有名詞,一般,*,状態図,41
32,0,読み方,名詞,一般,*,*,読み方,38
36,0,物質,名詞,一般,*,*,物質,38
39,0,態,名詞,一般,*,*,態,38
41,0,同素,名詞,一般,*,*,同素,38
42,0,変態,名詞,サ変接続,*,*,変態,36
44,0,水,名詞,一般,*,*,水,38
46,0,状態図,名詞,固有名詞,一般,*,状態図,41
48,0,ギブズ,名詞,固有名詞,一般,*,ギブズ,41
49,0,相,名詞,接尾,一般,*,相,51
50,0,律,名詞,一般,*,*,律,38
51,0,水,名詞,接尾,一般,*,水,51
53,0,状態図,名詞,固有名詞,一般,*,状態図,41
55,0,用い,動詞,自立,*,*,用いる,31
57,0,物質,名詞,一般,*,*,物質,38
59,0,態,名詞,一般,*,*,態,38
61,0,復習,名詞,サ変接続,*,*,復習,36
64,0,ギブズ,名詞,固有名詞,一般,*,ギブズ,41
65,0,相,名詞,接尾,一般,*,相,51
66,0,律,名詞,一般,*,*,律,38
68,0,式,名詞,一般,*,*,式,38
70,0,導出,名詞,サ変接続,*,*,導出,36
73,0,説明,名詞,サ変接続,*,*,説明,36
74,0,できる,動詞,自立,*,*,できる,31
76,0,状態図,名詞,固有名詞,一般,*,状態図,41
78,0,読み方,名詞,一般,*,*,読み方,38
82,0,固溶体,名詞,一般,*,*,固溶体,38
84,0,中間,名詞,一般,*,*,中間,38
85,0,相,名詞,接尾,一般,*,相,51
87,0,単相,名詞,固有名詞,一般,*,単相,41
90,0,相,名詞,接尾,一般,*,相,51
91,0,域,名詞,接尾,一般,*,域,51
94,0,系,名詞,接尾,一般,*,系,51
95,0,状態図,名詞,固有名詞,一般,*,状態図,41
98,0,固溶体,名詞,一般,*,*,固溶体,38
99,0,相,名詞,接尾,一般,*,相,51
101,0,中間,名詞,一般,*,*,中間,38
102,0,相,名詞,接尾,一般,*,相,51
104,0,単相,名詞,固有名詞,一般,*,単相,41
107,0,相,名詞,接尾,一般,*,相,51
108,0,域,名詞,接尾,一般,*,域,51
110,0,明示,名詞,サ変接続,*,*,明示,36
111,0,できる,動詞,自立,*,*,できる,31
113,0,状態図,名詞,固有名詞,一般,*,状態図,41
115,0,読み方,名詞,一般,*,*,読み方,38
120,0,率,名詞,一般,*,*,率,38
121,0,固,形容詞,自立,*,*,固い,10
124,0,溶解度曲線,名詞,固有名詞,一般,*,溶解度曲線,41
126,0,てこ,名詞,一般,*,*,てこ,38
128,0,法則,名詞,一般,*,*,法則,38
130,0,率,名詞,一般,*,*,率,38
131,0,固,形容詞,自立,*,*,固い,10
133,0,状態図,名詞,固有名詞,一般,*,状態図,41
135,0,溶解度曲線,名詞,固有名詞,一般,*,溶解度曲線,41
137,0,固,形容詞,自立,*,*,固い,10
141,0,分離,名詞,サ変接続,*,*,分離,36
143,0,理解,名詞,サ変接続,*,*,理解,36
146,0,てこ,名詞,一般,*,*,てこ,38
148,0,法則,名詞,一般,*,*,法則,38
150,0,用い,動詞,自立,*,*,用いる,31
152,0,体積,名詞,一般,*,*,体積,38
153,0,分,名詞,接尾,一般,*,分,51
154,0,率,名詞,接尾,一般,*,率,51
156,0,説明,名詞,サ変接続,*,*,説明,36
157,0,できる,動詞,自立,*,*,できる,31
159,0,状態図,名詞,固有名詞,一般,*,状態図,41
161,0,読み方,名詞,一般,*,*,読み方,38
165,0,不変,名詞,一般,*,*,不変,38
166,0,系,名詞,接尾,一般,*,系,51
167,0,反応,名詞,サ変接続,*,*,反応,36
169,0,凝固,名詞,サ変接続,*,*,凝固,36
170,0,組織,名詞,サ変接続,*,*,組織,36
173,0,共晶,名詞,固有名詞,一般,*,共晶,41
174,0,反応,名詞,サ変接続,*,*,反応,36
178,0,反応,名詞,サ変接続,*,*,反応,36
179,0,共晶,名詞,固有名詞,一般,*,共晶,41
180,0,反応,名詞,サ変接続,*,*,反応,36
182,0,凝固,名詞,サ変接続,*,*,凝固,36
183,0,組織,名詞,サ変接続,*,*,組織,36
187,0,反応,名詞,サ変接続,*,*,反応,36
189,0,組織,名詞,サ変接続,*,*,組織,36
190,0,形成,名詞,サ変接続,*,*,形成,36
192,0,過程,名詞,一般,*,*,過程,38
194,0,理解,名詞,サ変接続,*,*,理解,36
197,0,説明,名詞,サ変接続,*,*,説明,36
198,0,できる,動詞,自立,*,*,できる,31
200,0,状態図,名詞,固有名詞,一般,*,状態図,41
202,0,読み方,名詞,一般,*,*,読み方,38
206,0,不変,名詞,一般,*,*,不変,38
207,0,系,名詞,接尾,一般,*,系,51
208,0,反応,名詞,サ変接続,*,*,反応,36
210,0,凝固,名詞,サ変接続,*,*,凝固,36
211,0,組織,名詞,サ変接続,*,*,組織,36
214,0,包,名詞,一般,*,*,包,38
215,0,晶,名詞,固有名詞,人名,名,晶,44
216,0,反応,名詞,サ変接続,*,*,反応,36
218,0,偏,名詞,サ変接続,*,*,偏,36
219,0,晶,名詞,固有名詞,人名,名,晶,44
220,0,反応,名詞,サ変接続,*,*,反応,36
221,0,包,名詞,一般,*,*,包,38
222,0,晶,名詞,固有名詞,人名,名,晶,44
223,0,反応,名詞,サ変接続,*,*,反応,36
225,0,凝固,名詞,サ変接続,*,*,凝固,36
226,0,組織,名詞,サ変接続,*,*,組織,36
228,0,包,名詞,一般,*,*,包,38
230,0,反応,名詞,サ変接続,*,*,反応,36
232,0,組織,名詞,サ変接続,*,*,組織,36
233,0,形成,名詞,サ変接続,*,*,形成,36
235,0,過程,名詞,一般,*,*,過程,38
237,0,理解,名詞,サ変接続,*,*,理解,36
240,0,説明,名詞,サ変接続,*,*,説明,36
241,0,できる,動詞,自立,*,*,できる,31
243,0,状態図,名詞,固有名詞,一般,*,状態図,41
245,0,読み方,名詞,一般,*,*,読み方,38
247,0,理解度,名詞,固有名詞,一般,*,理解度,41
248,0,確認,名詞,サ変接続,*,*,確認,36
249,0,テスト,名詞,サ変接続,*,*,テスト,36
251,0,復習,名詞,サ変接続,*,*,復習,36
253,0,補足,名詞,サ変接続,*,*,補足,36
256,0,系,名詞,接尾,一般,*,系,51
257,0,状態図,名詞,固有名詞,一般,*,状態図,41
259,0,読み方,名詞,一般,*,*,読み方,38
261,0,理解度,名詞,固有名詞,一般,*,理解度,41
263,0,確認,名詞,サ変接続,*,*,確認,36
266,0,理解,名詞,サ変接続,*,*,理解,36
268,0,不十分,名詞,形容動詞語幹,*,*,不十分,40
270,0,ところ,名詞,非自立,副詞可能,*,ところ,66
272,0,復習,名詞,サ変接続,*,*,復習,36
275,0,状態図,名詞,固有名詞,一般,*,状態図,41
277,0,実用,名詞,サ変接続,*,*,実用,36
