,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,創造性,名詞,固有名詞,一般,*,創造性,41
1,0,協調性,名詞,固有名詞,一般,*,協調性,41
2,0,ものづくり,名詞,固有名詞,一般,*,ものづくり,41
4,0,高性能,名詞,一般,*,*,高性能,38
5,0,電池,名詞,一般,*,*,電池,38
6,0,燃料電池,名詞,固有名詞,一般,*,燃料電池,41
7,0,創造性,名詞,固有名詞,一般,*,創造性,41
8,0,協調性,名詞,固有名詞,一般,*,協調性,41
9,0,ものづくり,名詞,固有名詞,一般,*,ものづくり,41
11,0,高性能,名詞,一般,*,*,高性能,38
12,0,電池,名詞,一般,*,*,電池,38
13,0,燃料電池,名詞,固有名詞,一般,*,燃料電池,41
14,0,創造性,名詞,固有名詞,一般,*,創造性,41
15,0,協調性,名詞,固有名詞,一般,*,協調性,41
16,0,ものづくり,名詞,固有名詞,一般,*,ものづくり,41
18,0,高性能,名詞,一般,*,*,高性能,38
19,0,電池,名詞,一般,*,*,電池,38
20,0,燃料電池,名詞,固有名詞,一般,*,燃料電池,41
21,0,創造性,名詞,固有名詞,一般,*,創造性,41
22,0,協調性,名詞,固有名詞,一般,*,協調性,41
23,0,ものづくり,名詞,固有名詞,一般,*,ものづくり,41
25,0,高性能,名詞,一般,*,*,高性能,38
26,0,電池,名詞,一般,*,*,電池,38
27,0,燃料電池,名詞,固有名詞,一般,*,燃料電池,41
28,0,創造性,名詞,固有名詞,一般,*,創造性,41
29,0,協調性,名詞,固有名詞,一般,*,協調性,41
30,0,ものづくり,名詞,固有名詞,一般,*,ものづくり,41
32,0,高性能,名詞,一般,*,*,高性能,38
33,0,電池,名詞,一般,*,*,電池,38
34,0,燃料電池,名詞,固有名詞,一般,*,燃料電池,41
