,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,有機,名詞,一般,*,*,有機,38
1,0,反応,名詞,サ変接続,*,*,反応,36
3,0,概観,名詞,サ変接続,*,*,概観,36
4,0,有機,名詞,一般,*,*,有機,38
5,0,反応,名詞,サ変接続,*,*,反応,36
7,0,種類,名詞,一般,*,*,種類,38
9,0,機構,名詞,一般,*,*,機構,38
11,0,分類,名詞,サ変接続,*,*,分類,36
12,0,できる,動詞,自立,*,*,できる,31
15,0,なる,動詞,自立,*,*,なる,31
17,0,面体,名詞,一般,*,*,面体,38
18,0,中心,名詞,一般,*,*,中心,38
20,0,立体化学,名詞,固有名詞,一般,*,立体化学,41
21,0,分子,名詞,一般,*,*,分子,38
23,0,持つ,動詞,自立,*,*,持つ,31
25,0,掌,名詞,一般,*,*,掌,38
26,0,性,名詞,接尾,一般,*,性,51
28,0,理解,名詞,サ変接続,*,*,理解,36
29,0,できる,動詞,自立,*,*,できる,31
32,0,なる,動詞,自立,*,*,なる,31
33,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
35,0,構造,名詞,一般,*,*,構造,38
37,0,反応,名詞,サ変接続,*,*,反応,36
38,0,性,名詞,接尾,一般,*,性,51
39,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
41,0,立体,名詞,一般,*,*,立体,38
42,0,異性,名詞,一般,*,*,異性,38
44,0,求電子付加反応,名詞,固有名詞,一般,*,求電子付加反応,41
46,0,基礎,名詞,一般,*,*,基礎,38
48,0,説明,名詞,サ変接続,*,*,説明,36
49,0,できる,動詞,自立,*,*,できる,31
52,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
54,0,反応,名詞,サ変接続,*,*,反応,36
56,0,合成,名詞,サ変接続,*,*,合成,36
57,0,様々,名詞,形容動詞語幹,*,*,様々,40
59,0,アルケン,名詞,固有名詞,一般,*,アルケン,41
61,0,反応,名詞,サ変接続,*,*,反応,36
63,0,説明,名詞,サ変接続,*,*,説明,36
64,0,できる,動詞,自立,*,*,できる,31
67,0,なる,動詞,自立,*,*,なる,31
68,0,アルキン,名詞,固有名詞,一般,*,アルキン,41
70,0,有機合成,名詞,固有名詞,一般,*,有機合成,41
71,0,序論,名詞,一般,*,*,序論,38
72,0,様々,名詞,形容動詞語幹,*,*,様々,40
74,0,アルキン,名詞,固有名詞,一般,*,アルキン,41
76,0,反応,名詞,サ変接続,*,*,反応,36
78,0,説明,名詞,サ変接続,*,*,説明,36
79,0,できる,動詞,自立,*,*,できる,31
82,0,なる,動詞,自立,*,*,なる,31
83,0,ハロゲン,名詞,一般,*,*,ハロゲン,38
84,0,化,名詞,接尾,サ変接続,*,化,50
87,0,反応,名詞,サ変接続,*,*,反応,36
