,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,高分子,名詞,一般,*,*,高分子,38
2,0,高次,名詞,一般,*,*,高次,38
3,0,構造,名詞,一般,*,*,構造,38
4,0,小角,名詞,固有名詞,地域,一般,小角,46
5,0,Ｘ線,名詞,一般,*,*,X線,38
6,0,散乱,名詞,サ変接続,*,*,散乱,36
7,0,一次元,名詞,一般,*,*,一次元,38
8,0,相関関数,名詞,固有名詞,一般,*,相関関数,41
9,0,テンソル,名詞,一般,*,*,テンソル,38
10,0,パルス,名詞,一般,*,*,パルス,38
11,0,NMR,名詞,固有名詞,一般,*,NMR,41
12,0,粒子,名詞,一般,*,*,粒子,38
13,0,充填,名詞,サ変接続,*,*,充填,36
14,0,系,名詞,接尾,一般,*,系,51
15,0,高分子,名詞,一般,*,*,高分子,38
16,0,複合材料,名詞,固有名詞,一般,*,複合材料,41
17,0,高分子,名詞,一般,*,*,高分子,38
19,0,高次,名詞,一般,*,*,高次,38
20,0,構造,名詞,一般,*,*,構造,38
21,0,小角,名詞,固有名詞,地域,一般,小角,46
22,0,Ｘ線,名詞,一般,*,*,X線,38
23,0,散乱,名詞,サ変接続,*,*,散乱,36
24,0,一次元,名詞,一般,*,*,一次元,38
25,0,相関関数,名詞,固有名詞,一般,*,相関関数,41
26,0,テンソル,名詞,一般,*,*,テンソル,38
27,0,パルス,名詞,一般,*,*,パルス,38
28,0,NMR,名詞,固有名詞,一般,*,NMR,41
29,0,粒子,名詞,一般,*,*,粒子,38
30,0,充填,名詞,サ変接続,*,*,充填,36
31,0,系,名詞,接尾,一般,*,系,51
32,0,高分子,名詞,一般,*,*,高分子,38
33,0,複合材料,名詞,固有名詞,一般,*,複合材料,41
34,0,高分子,名詞,一般,*,*,高分子,38
36,0,高次,名詞,一般,*,*,高次,38
37,0,構造,名詞,一般,*,*,構造,38
38,0,小角,名詞,固有名詞,地域,一般,小角,46
39,0,Ｘ線,名詞,一般,*,*,X線,38
40,0,散乱,名詞,サ変接続,*,*,散乱,36
41,0,一次元,名詞,一般,*,*,一次元,38
42,0,相関関数,名詞,固有名詞,一般,*,相関関数,41
43,0,テンソル,名詞,一般,*,*,テンソル,38
44,0,パルス,名詞,一般,*,*,パルス,38
45,0,NMR,名詞,固有名詞,一般,*,NMR,41
46,0,粒子,名詞,一般,*,*,粒子,38
47,0,充填,名詞,サ変接続,*,*,充填,36
48,0,系,名詞,接尾,一般,*,系,51
49,0,高分子,名詞,一般,*,*,高分子,38
50,0,複合材料,名詞,固有名詞,一般,*,複合材料,41
51,0,高分子,名詞,一般,*,*,高分子,38
53,0,高次,名詞,一般,*,*,高次,38
54,0,構造,名詞,一般,*,*,構造,38
55,0,小角,名詞,固有名詞,地域,一般,小角,46
56,0,Ｘ線,名詞,一般,*,*,X線,38
57,0,散乱,名詞,サ変接続,*,*,散乱,36
58,0,一次元,名詞,一般,*,*,一次元,38
59,0,相関関数,名詞,固有名詞,一般,*,相関関数,41
60,0,テンソル,名詞,一般,*,*,テンソル,38
61,0,パルス,名詞,一般,*,*,パルス,38
62,0,NMR,名詞,固有名詞,一般,*,NMR,41
63,0,粒子,名詞,一般,*,*,粒子,38
64,0,充填,名詞,サ変接続,*,*,充填,36
65,0,系,名詞,接尾,一般,*,系,51
66,0,高分子,名詞,一般,*,*,高分子,38
67,0,複合材料,名詞,固有名詞,一般,*,複合材料,41
68,0,高分子,名詞,一般,*,*,高分子,38
70,0,高次,名詞,一般,*,*,高次,38
71,0,構造,名詞,一般,*,*,構造,38
72,0,小角,名詞,固有名詞,地域,一般,小角,46
73,0,Ｘ線,名詞,一般,*,*,X線,38
74,0,散乱,名詞,サ変接続,*,*,散乱,36
75,0,一次元,名詞,一般,*,*,一次元,38
76,0,相関関数,名詞,固有名詞,一般,*,相関関数,41
77,0,テンソル,名詞,一般,*,*,テンソル,38
78,0,パルス,名詞,一般,*,*,パルス,38
79,0,NMR,名詞,固有名詞,一般,*,NMR,41
80,0,粒子,名詞,一般,*,*,粒子,38
81,0,充填,名詞,サ変接続,*,*,充填,36
82,0,系,名詞,接尾,一般,*,系,51
83,0,高分子,名詞,一般,*,*,高分子,38
84,0,複合材料,名詞,固有名詞,一般,*,複合材料,41
