,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,集合,名詞,サ変接続,*,*,集合,36
2,0,定義,名詞,サ変接続,*,*,定義,36
4,0,例,名詞,一般,*,*,例,38
5,0,講義,名詞,サ変接続,*,*,講義,36
7,0,内容,名詞,一般,*,*,内容,38
9,0,理解,名詞,サ変接続,*,*,理解,36
12,0,集合,名詞,サ変接続,*,*,集合,36
14,0,種々,名詞,一般,*,*,種々,38
16,0,演算,名詞,サ変接続,*,*,演算,36
17,0,写像,名詞,サ変接続,*,*,写像,36
20,0,性質,名詞,一般,*,*,性質,38
21,0,添え,動詞,自立,*,*,添える,31
22,0,字,名詞,一般,*,*,字,38
23,0,付け,動詞,自立,*,*,付ける,31
26,0,集合族,名詞,固有名詞,一般,*,集合族,41
28,0,選択公理,名詞,固有名詞,一般,*,選択公理,41
29,0,集合,名詞,サ変接続,*,*,集合,36
30,0,演算,名詞,サ変接続,*,*,演算,36
32,0,写像,名詞,サ変接続,*,*,写像,36
34,0,同値関係,名詞,固有名詞,一般,*,同値関係,41
36,0,商,名詞,一般,*,*,商,38
37,0,集合,名詞,サ変接続,*,*,集合,36
38,0,濃度,名詞,一般,*,*,濃度,38
40,0,定義,名詞,サ変接続,*,*,定義,36
41,0,濃度,名詞,一般,*,*,濃度,38
43,0,比較,名詞,サ変接続,*,*,比較,36
44,0,可算集合,名詞,固有名詞,一般,*,可算集合,41
45,0,連続,名詞,サ変接続,*,*,連続,36
47,0,濃度,名詞,一般,*,*,濃度,38
49,0,非可算集合,名詞,固有名詞,一般,*,非可算集合,41
50,0,順序,名詞,一般,*,*,順序,38
51,0,関係,名詞,サ変接続,*,*,関係,36
52,0,整列集合,名詞,固有名詞,一般,*,整列集合,41
53,0,ツォルンの補題,名詞,固有名詞,一般,*,ツォルンの補題,41
54,0,ユークリッド,名詞,固有名詞,人名,姓,ユークリッド,43
55,0,空間,名詞,一般,*,*,空間,38
56,0,ユークリッド,名詞,固有名詞,人名,姓,ユークリッド,43
57,0,空間,名詞,一般,*,*,空間,38
60,0,集合,名詞,サ変接続,*,*,集合,36
62,0,性質,名詞,一般,*,*,性質,38
63,0,距離空間,名詞,固有名詞,一般,*,距離空間,41
64,0,集合,名詞,サ変接続,*,*,集合,36
66,0,定義,名詞,サ変接続,*,*,定義,36
68,0,例,名詞,一般,*,*,例,38
69,0,講義,名詞,サ変接続,*,*,講義,36
71,0,内容,名詞,一般,*,*,内容,38
73,0,理解,名詞,サ変接続,*,*,理解,36
76,0,集合,名詞,サ変接続,*,*,集合,36
78,0,種々,名詞,一般,*,*,種々,38
80,0,演算,名詞,サ変接続,*,*,演算,36
81,0,写像,名詞,サ変接続,*,*,写像,36
84,0,性質,名詞,一般,*,*,性質,38
85,0,添え,動詞,自立,*,*,添える,31
86,0,字,名詞,一般,*,*,字,38
87,0,付け,動詞,自立,*,*,付ける,31
90,0,集合族,名詞,固有名詞,一般,*,集合族,41
92,0,選択公理,名詞,固有名詞,一般,*,選択公理,41
93,0,集合,名詞,サ変接続,*,*,集合,36
94,0,演算,名詞,サ変接続,*,*,演算,36
96,0,写像,名詞,サ変接続,*,*,写像,36
98,0,同値関係,名詞,固有名詞,一般,*,同値関係,41
100,0,商,名詞,一般,*,*,商,38
101,0,集合,名詞,サ変接続,*,*,集合,36
102,0,濃度,名詞,一般,*,*,濃度,38
104,0,定義,名詞,サ変接続,*,*,定義,36
105,0,濃度,名詞,一般,*,*,濃度,38
107,0,比較,名詞,サ変接続,*,*,比較,36
108,0,可算集合,名詞,固有名詞,一般,*,可算集合,41
109,0,連続,名詞,サ変接続,*,*,連続,36
111,0,濃度,名詞,一般,*,*,濃度,38
113,0,非可算集合,名詞,固有名詞,一般,*,非可算集合,41
114,0,順序,名詞,一般,*,*,順序,38
115,0,関係,名詞,サ変接続,*,*,関係,36
116,0,整列集合,名詞,固有名詞,一般,*,整列集合,41
117,0,ツォルンの補題,名詞,固有名詞,一般,*,ツォルンの補題,41
118,0,ユークリッド,名詞,固有名詞,人名,姓,ユークリッド,43
119,0,空間,名詞,一般,*,*,空間,38
120,0,ユークリッド,名詞,固有名詞,人名,姓,ユークリッド,43
121,0,空間,名詞,一般,*,*,空間,38
124,0,集合,名詞,サ変接続,*,*,集合,36
126,0,性質,名詞,一般,*,*,性質,38
127,0,距離空間,名詞,固有名詞,一般,*,距離空間,41
128,0,集合,名詞,サ変接続,*,*,集合,36
130,0,定義,名詞,サ変接続,*,*,定義,36
132,0,例,名詞,一般,*,*,例,38
133,0,講義,名詞,サ変接続,*,*,講義,36
135,0,内容,名詞,一般,*,*,内容,38
137,0,理解,名詞,サ変接続,*,*,理解,36
140,0,集合,名詞,サ変接続,*,*,集合,36
142,0,種々,名詞,一般,*,*,種々,38
144,0,演算,名詞,サ変接続,*,*,演算,36
145,0,写像,名詞,サ変接続,*,*,写像,36
148,0,性質,名詞,一般,*,*,性質,38
149,0,添え,動詞,自立,*,*,添える,31
150,0,字,名詞,一般,*,*,字,38
151,0,付け,動詞,自立,*,*,付ける,31
154,0,集合族,名詞,固有名詞,一般,*,集合族,41
156,0,選択公理,名詞,固有名詞,一般,*,選択公理,41
157,0,集合,名詞,サ変接続,*,*,集合,36
158,0,演算,名詞,サ変接続,*,*,演算,36
160,0,写像,名詞,サ変接続,*,*,写像,36
162,0,同値関係,名詞,固有名詞,一般,*,同値関係,41
164,0,商,名詞,一般,*,*,商,38
165,0,集合,名詞,サ変接続,*,*,集合,36
166,0,濃度,名詞,一般,*,*,濃度,38
168,0,定義,名詞,サ変接続,*,*,定義,36
169,0,濃度,名詞,一般,*,*,濃度,38
171,0,比較,名詞,サ変接続,*,*,比較,36
172,0,可算集合,名詞,固有名詞,一般,*,可算集合,41
173,0,連続,名詞,サ変接続,*,*,連続,36
175,0,濃度,名詞,一般,*,*,濃度,38
177,0,非可算集合,名詞,固有名詞,一般,*,非可算集合,41
178,0,順序,名詞,一般,*,*,順序,38
179,0,関係,名詞,サ変接続,*,*,関係,36
180,0,整列集合,名詞,固有名詞,一般,*,整列集合,41
181,0,ツォルンの補題,名詞,固有名詞,一般,*,ツォルンの補題,41
182,0,ユークリッド,名詞,固有名詞,人名,姓,ユークリッド,43
183,0,空間,名詞,一般,*,*,空間,38
184,0,ユークリッド,名詞,固有名詞,人名,姓,ユークリッド,43
185,0,空間,名詞,一般,*,*,空間,38
188,0,集合,名詞,サ変接続,*,*,集合,36
190,0,性質,名詞,一般,*,*,性質,38
191,0,集合,名詞,サ変接続,*,*,集合,36
193,0,定義,名詞,サ変接続,*,*,定義,36
195,0,例,名詞,一般,*,*,例,38
196,0,講義,名詞,サ変接続,*,*,講義,36
198,0,内容,名詞,一般,*,*,内容,38
200,0,理解,名詞,サ変接続,*,*,理解,36
203,0,集合,名詞,サ変接続,*,*,集合,36
205,0,種々,名詞,一般,*,*,種々,38
207,0,演算,名詞,サ変接続,*,*,演算,36
208,0,写像,名詞,サ変接続,*,*,写像,36
211,0,性質,名詞,一般,*,*,性質,38
212,0,添え,動詞,自立,*,*,添える,31
213,0,字,名詞,一般,*,*,字,38
214,0,付け,動詞,自立,*,*,付ける,31
217,0,集合族,名詞,固有名詞,一般,*,集合族,41
219,0,選択公理,名詞,固有名詞,一般,*,選択公理,41
220,0,集合,名詞,サ変接続,*,*,集合,36
221,0,演算,名詞,サ変接続,*,*,演算,36
223,0,写像,名詞,サ変接続,*,*,写像,36
225,0,同値関係,名詞,固有名詞,一般,*,同値関係,41
227,0,商,名詞,一般,*,*,商,38
228,0,集合,名詞,サ変接続,*,*,集合,36
229,0,濃度,名詞,一般,*,*,濃度,38
231,0,定義,名詞,サ変接続,*,*,定義,36
232,0,濃度,名詞,一般,*,*,濃度,38
234,0,比較,名詞,サ変接続,*,*,比較,36
235,0,可算集合,名詞,固有名詞,一般,*,可算集合,41
236,0,連続,名詞,サ変接続,*,*,連続,36
238,0,濃度,名詞,一般,*,*,濃度,38
240,0,非可算集合,名詞,固有名詞,一般,*,非可算集合,41
241,0,順序,名詞,一般,*,*,順序,38
242,0,関係,名詞,サ変接続,*,*,関係,36
243,0,整列集合,名詞,固有名詞,一般,*,整列集合,41
244,0,ツォルンの補題,名詞,固有名詞,一般,*,ツォルンの補題,41
245,0,ユークリッド,名詞,固有名詞,人名,姓,ユークリッド,43
246,0,空間,名詞,一般,*,*,空間,38
247,0,ユークリッド,名詞,固有名詞,人名,姓,ユークリッド,43
248,0,空間,名詞,一般,*,*,空間,38
251,0,集合,名詞,サ変接続,*,*,集合,36
253,0,性質,名詞,一般,*,*,性質,38
254,0,距離空間,名詞,固有名詞,一般,*,距離空間,41
255,0,集合,名詞,サ変接続,*,*,集合,36
257,0,定義,名詞,サ変接続,*,*,定義,36
259,0,例,名詞,一般,*,*,例,38
260,0,講義,名詞,サ変接続,*,*,講義,36
262,0,内容,名詞,一般,*,*,内容,38
264,0,理解,名詞,サ変接続,*,*,理解,36
267,0,集合,名詞,サ変接続,*,*,集合,36
269,0,種々,名詞,一般,*,*,種々,38
271,0,演算,名詞,サ変接続,*,*,演算,36
272,0,写像,名詞,サ変接続,*,*,写像,36
275,0,性質,名詞,一般,*,*,性質,38
276,0,添え,動詞,自立,*,*,添える,31
