,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,オートマトン,名詞,一般,*,*,オートマトン,38
2,0,数理,名詞,一般,*,*,数理,38
3,0,言語,名詞,一般,*,*,言語,38
4,0,論,名詞,接尾,一般,*,論,51
5,0,オートマトン,名詞,一般,*,*,オートマトン,38
7,0,数理,名詞,一般,*,*,数理,38
8,0,言語,名詞,一般,*,*,言語,38
9,0,論,名詞,接尾,一般,*,論,51
10,0,オートマトン,名詞,一般,*,*,オートマトン,38
12,0,数理,名詞,一般,*,*,数理,38
13,0,言語,名詞,一般,*,*,言語,38
14,0,論,名詞,接尾,一般,*,論,51
15,0,オートマトン,名詞,一般,*,*,オートマトン,38
17,0,数理,名詞,一般,*,*,数理,38
18,0,言語,名詞,一般,*,*,言語,38
19,0,論,名詞,接尾,一般,*,論,51
20,0,オートマトン,名詞,一般,*,*,オートマトン,38
22,0,数理,名詞,一般,*,*,数理,38
23,0,言語,名詞,一般,*,*,言語,38
24,0,論,名詞,接尾,一般,*,論,51
