,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,計算機,名詞,固有名詞,一般,*,計算機,41
1,0,アーキテクチャ,名詞,一般,*,*,アーキテクチャ,38
2,0,機械語,名詞,固有名詞,一般,*,機械語,41
3,0,アドレッシング,名詞,サ変接続,*,*,アドレッシング,36
4,0,フォン・ノイマン,名詞,固有名詞,一般,*,フォン・ノイマン,41
5,0,マシン,名詞,一般,*,*,マシン,38
6,0,デジタル回路,名詞,固有名詞,一般,*,デジタル回路,41
7,0,演算,名詞,サ変接続,*,*,演算,36
8,0,回路,名詞,一般,*,*,回路,38
9,0,加算器,名詞,固有名詞,一般,*,加算器,41
10,0,二進法,名詞,一般,*,*,二進法,38
12,0,数,名詞,一般,*,*,数,38
14,0,表現,名詞,サ変接続,*,*,表現,36
16,0,組合わ,動詞,自立,*,*,組合う,31
18,0,回路,名詞,一般,*,*,回路,38
19,0,真理値表,名詞,固有名詞,一般,*,真理値表,41
20,0,状態,名詞,一般,*,*,状態,38
21,0,回路,名詞,一般,*,*,回路,38
23,0,実行,名詞,サ変接続,*,*,実行,36
24,0,マルチ,名詞,一般,*,*,マルチ,38
25,0,サイクル,名詞,一般,*,*,サイクル,38
26,0,実行,名詞,サ変接続,*,*,実行,36
27,0,状態,名詞,一般,*,*,状態,38
28,0,遷移,名詞,サ変接続,*,*,遷移,36
29,0,機械,名詞,一般,*,*,機械,38
32,0,記憶,名詞,サ変接続,*,*,記憶,36
33,0,措置,名詞,サ変接続,*,*,措置,36
35,0,メモリ,名詞,一般,*,*,メモリ,38
36,0,DRAM,名詞,固有名詞,一般,*,DRAM,41
37,0,メモリ,名詞,一般,*,*,メモリ,38
38,0,階層,名詞,一般,*,*,階層,38
39,0,キャッシュ,名詞,一般,*,*,キャッシュ,38
40,0,ページング,名詞,一般,*,*,ページング,38
41,0,MMU,名詞,固有名詞,一般,*,MMU,41
42,0,I/O,名詞,固有名詞,一般,*,I/O,41
43,0,データバス,名詞,一般,*,*,データバス,38
44,0,PCI,名詞,固有名詞,一般,*,PCI,41
45,0,ハードディスク,名詞,一般,*,*,ハードディスク,38
46,0,フラッシュメモリ,名詞,固有名詞,一般,*,フラッシュメモリ,41
47,0,性能,名詞,一般,*,*,性能,38
48,0,アムダールの法則,名詞,固有名詞,一般,*,アムダールの法則,41
49,0,計算機,名詞,固有名詞,一般,*,計算機,41
50,0,アーキテクチャ,名詞,一般,*,*,アーキテクチャ,38
51,0,機械語,名詞,固有名詞,一般,*,機械語,41
52,0,アドレッシング,名詞,サ変接続,*,*,アドレッシング,36
53,0,フォン・ノイマン,名詞,固有名詞,一般,*,フォン・ノイマン,41
54,0,マシン,名詞,一般,*,*,マシン,38
55,0,デジタル回路,名詞,固有名詞,一般,*,デジタル回路,41
56,0,演算,名詞,サ変接続,*,*,演算,36
57,0,回路,名詞,一般,*,*,回路,38
58,0,加算器,名詞,固有名詞,一般,*,加算器,41
59,0,二進法,名詞,一般,*,*,二進法,38
61,0,数,名詞,一般,*,*,数,38
63,0,表現,名詞,サ変接続,*,*,表現,36
65,0,組合わ,動詞,自立,*,*,組合う,31
