,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,以下,名詞,非自立,副詞可能,*,以下,66
3,0,基本,名詞,一般,*,*,基本,38
4,0,概念,名詞,一般,*,*,概念,38
6,0,基本,名詞,一般,*,*,基本,38
7,0,機能,名詞,サ変接続,*,*,機能,36
9,0,理解,名詞,サ変接続,*,*,理解,36
11,0,習得,名詞,サ変接続,*,*,習得,36
14,0,特に,副詞,一般,*,*,特に,34
16,0,OS,名詞,固有名詞,人名,一般,OS,42
19,0,アプリケーションソフトウェア,名詞,固有名詞,一般,*,Application software,41
21,0,ハードウェア,名詞,一般,*,*,ハードウェア,38
26,0,接続,名詞,サ変接続,*,*,接続,36
32,0,理解,名詞,サ変接続,*,*,理解,36
37,0,ハードウェア,名詞,一般,*,*,ハードウェア,38
39,0,効率的,名詞,固有名詞,一般,*,効率的,41
41,0,活用,名詞,サ変接続,*,*,活用,36
42,0,できる,動詞,自立,*,*,できる,31
45,0,なる,動詞,自立,*,*,なる,31
48,0,OS,名詞,固有名詞,人名,一般,OS,42
50,0,起動,名詞,サ変接続,*,*,起動,36
52,0,入出力,名詞,サ変接続,*,*,入出力,36
54,0,ファイルシステム,名詞,固有名詞,一般,*,ファイルシステム,41
56,0,プロセス管理,名詞,固有名詞,一般,*,プロセス管理,41
58,0,プログラム,名詞,サ変接続,*,*,プログラム,36
60,0,読み込み,名詞,一般,*,*,読み込み,38
62,0,実行,名詞,サ変接続,*,*,実行,36
64,0,プロセス管理,名詞,固有名詞,一般,*,プロセス管理,41
66,0,並行,名詞,サ変接続,*,*,並行,36
67,0,処理,名詞,サ変接続,*,*,処理,36
69,0,スケジューリング,名詞,一般,*,*,スケジューリング,38
71,0,並行性制御,名詞,固有名詞,一般,*,並行性制御,41
73,0,同期,名詞,副詞可能,*,*,同期,67
76,0,メモリ管理,名詞,固有名詞,一般,*,メモリ管理,41
78,0,仮想化,名詞,固有名詞,一般,*,仮想化,41
80,0,ネットワーキング,名詞,固有名詞,一般,*,ネットワーキング,41
82,0,セキュリティ,名詞,一般,*,*,セキュリティ,38
84,0,以下,名詞,非自立,副詞可能,*,以下,66
86,0,基本,名詞,一般,*,*,基本,38
87,0,概念,名詞,一般,*,*,概念,38
89,0,基本,名詞,一般,*,*,基本,38
90,0,機能,名詞,サ変接続,*,*,機能,36
92,0,理解,名詞,サ変接続,*,*,理解,36
94,0,習得,名詞,サ変接続,*,*,習得,36
97,0,特に,副詞,一般,*,*,特に,34
99,0,OS,名詞,固有名詞,人名,一般,OS,42
102,0,アプリケーションソフトウェア,名詞,固有名詞,一般,*,Application software,41
104,0,ハードウェア,名詞,一般,*,*,ハードウェア,38
109,0,接続,名詞,サ変接続,*,*,接続,36
115,0,理解,名詞,サ変接続,*,*,理解,36
120,0,ハードウェア,名詞,一般,*,*,ハードウェア,38
122,0,効率的,名詞,固有名詞,一般,*,効率的,41
124,0,活用,名詞,サ変接続,*,*,活用,36
125,0,できる,動詞,自立,*,*,できる,31
128,0,なる,動詞,自立,*,*,なる,31
131,0,OS,名詞,固有名詞,人名,一般,OS,42
133,0,起動,名詞,サ変接続,*,*,起動,36
135,0,入出力,名詞,サ変接続,*,*,入出力,36
137,0,ファイルシステム,名詞,固有名詞,一般,*,ファイルシステム,41
139,0,プロセス管理,名詞,固有名詞,一般,*,プロセス管理,41
141,0,プログラム,名詞,サ変接続,*,*,プログラム,36
143,0,読み込み,名詞,一般,*,*,読み込み,38
145,0,実行,名詞,サ変接続,*,*,実行,36
147,0,プロセス管理,名詞,固有名詞,一般,*,プロセス管理,41
149,0,並行,名詞,サ変接続,*,*,並行,36
150,0,処理,名詞,サ変接続,*,*,処理,36
152,0,スケジューリング,名詞,一般,*,*,スケジューリング,38
154,0,並行性制御,名詞,固有名詞,一般,*,並行性制御,41
156,0,同期,名詞,副詞可能,*,*,同期,67
159,0,メモリ管理,名詞,固有名詞,一般,*,メモリ管理,41
161,0,仮想化,名詞,固有名詞,一般,*,仮想化,41
163,0,ネットワーキング,名詞,固有名詞,一般,*,ネットワーキング,41
165,0,セキュリティ,名詞,一般,*,*,セキュリティ,38
167,0,以下,名詞,非自立,副詞可能,*,以下,66
169,0,基本,名詞,一般,*,*,基本,38
170,0,概念,名詞,一般,*,*,概念,38
172,0,基本,名詞,一般,*,*,基本,38
173,0,機能,名詞,サ変接続,*,*,機能,36
175,0,理解,名詞,サ変接続,*,*,理解,36
177,0,習得,名詞,サ変接続,*,*,習得,36
180,0,特に,副詞,一般,*,*,特に,34
182,0,OS,名詞,固有名詞,人名,一般,OS,42
185,0,アプリケーションソフトウェア,名詞,固有名詞,一般,*,Application software,41
187,0,ハードウェア,名詞,一般,*,*,ハードウェア,38
192,0,接続,名詞,サ変接続,*,*,接続,36
198,0,理解,名詞,サ変接続,*,*,理解,36
203,0,ハードウェア,名詞,一般,*,*,ハードウェア,38
205,0,効率的,名詞,固有名詞,一般,*,効率的,41
207,0,活用,名詞,サ変接続,*,*,活用,36
208,0,できる,動詞,自立,*,*,できる,31
