,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
1,0,第一,名詞,固有名詞,一般,*,第一,41
3,0,演習,名詞,サ変接続,*,*,演習,36
4,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
8,0,演習,名詞,サ変接続,*,*,演習,36
9,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
12,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
13,0,演習,名詞,サ変接続,*,*,演習,36
16,0,ベクトル解析,名詞,固有名詞,一般,*,ベクトル解析,41
18,0,関数解析,名詞,固有名詞,一般,*,関数解析,41
19,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
20,0,第一,名詞,固有名詞,一般,*,第一,41
22,0,演習,名詞,サ変接続,*,*,演習,36
23,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
27,0,演習,名詞,サ変接続,*,*,演習,36
28,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
31,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
32,0,演習,名詞,サ変接続,*,*,演習,36
35,0,ベクトル解析,名詞,固有名詞,一般,*,ベクトル解析,41
37,0,関数解析,名詞,固有名詞,一般,*,関数解析,41
38,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
39,0,第一,名詞,固有名詞,一般,*,第一,41
41,0,演習,名詞,サ変接続,*,*,演習,36
42,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
46,0,演習,名詞,サ変接続,*,*,演習,36
47,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
50,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
51,0,演習,名詞,サ変接続,*,*,演習,36
54,0,ベクトル解析,名詞,固有名詞,一般,*,ベクトル解析,41
56,0,関数解析,名詞,固有名詞,一般,*,関数解析,41
57,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
58,0,第一,名詞,固有名詞,一般,*,第一,41
60,0,演習,名詞,サ変接続,*,*,演習,36
61,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
65,0,演習,名詞,サ変接続,*,*,演習,36
66,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
69,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
70,0,演習,名詞,サ変接続,*,*,演習,36
73,0,ベクトル解析,名詞,固有名詞,一般,*,ベクトル解析,41
75,0,関数解析,名詞,固有名詞,一般,*,関数解析,41
76,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
77,0,第一,名詞,固有名詞,一般,*,第一,41
79,0,演習,名詞,サ変接続,*,*,演習,36
80,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
84,0,演習,名詞,サ変接続,*,*,演習,36
85,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
88,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
89,0,演習,名詞,サ変接続,*,*,演習,36
92,0,ベクトル解析,名詞,固有名詞,一般,*,ベクトル解析,41
94,0,関数解析,名詞,固有名詞,一般,*,関数解析,41
95,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
96,0,第一,名詞,固有名詞,一般,*,第一,41
98,0,演習,名詞,サ変接続,*,*,演習,36
99,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
103,0,演習,名詞,サ変接続,*,*,演習,36
104,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
107,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
108,0,演習,名詞,サ変接続,*,*,演習,36
111,0,ベクトル解析,名詞,固有名詞,一般,*,ベクトル解析,41
113,0,関数解析,名詞,固有名詞,一般,*,関数解析,41
114,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
115,0,第一,名詞,固有名詞,一般,*,第一,41
117,0,演習,名詞,サ変接続,*,*,演習,36
118,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
122,0,演習,名詞,サ変接続,*,*,演習,36
123,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
126,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
127,0,演習,名詞,サ変接続,*,*,演習,36
130,0,ベクトル解析,名詞,固有名詞,一般,*,ベクトル解析,41
132,0,関数解析,名詞,固有名詞,一般,*,関数解析,41
133,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
134,0,第一,名詞,固有名詞,一般,*,第一,41
136,0,演習,名詞,サ変接続,*,*,演習,36
137,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
141,0,演習,名詞,サ変接続,*,*,演習,36
142,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
145,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
146,0,演習,名詞,サ変接続,*,*,演習,36
149,0,ベクトル解析,名詞,固有名詞,一般,*,ベクトル解析,41
151,0,関数解析,名詞,固有名詞,一般,*,関数解析,41
152,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
153,0,第一,名詞,固有名詞,一般,*,第一,41
155,0,演習,名詞,サ変接続,*,*,演習,36
156,0,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
160,0,演習,名詞,サ変接続,*,*,演習,36
161,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
164,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
165,0,演習,名詞,サ変接続,*,*,演習,36
168,0,ベクトル解析,名詞,固有名詞,一般,*,ベクトル解析,41
170,0,関数解析,名詞,固有名詞,一般,*,関数解析,41
