,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,逆問題,名詞,固有名詞,一般,*,逆問題,41
1,0,固有値,名詞,一般,*,*,固有値,38
2,0,分解,名詞,サ変接続,*,*,分解,36
3,0,特異値分解,名詞,固有名詞,一般,*,特異値分解,41
4,0,最小二乗法,名詞,固有名詞,一般,*,最小二乗法,41
5,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
6,0,逆問題,名詞,固有名詞,一般,*,逆問題,41
7,0,固有値,名詞,一般,*,*,固有値,38
8,0,分解,名詞,サ変接続,*,*,分解,36
9,0,特異値分解,名詞,固有名詞,一般,*,特異値分解,41
10,0,最小二乗法,名詞,固有名詞,一般,*,最小二乗法,41
11,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
12,0,逆問題,名詞,固有名詞,一般,*,逆問題,41
13,0,固有値,名詞,一般,*,*,固有値,38
14,0,分解,名詞,サ変接続,*,*,分解,36
15,0,特異値分解,名詞,固有名詞,一般,*,特異値分解,41
16,0,最小二乗法,名詞,固有名詞,一般,*,最小二乗法,41
17,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
18,0,逆問題,名詞,固有名詞,一般,*,逆問題,41
19,0,固有値,名詞,一般,*,*,固有値,38
20,0,分解,名詞,サ変接続,*,*,分解,36
21,0,特異値分解,名詞,固有名詞,一般,*,特異値分解,41
22,0,最小二乗法,名詞,固有名詞,一般,*,最小二乗法,41
23,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
24,0,逆問題,名詞,固有名詞,一般,*,逆問題,41
25,0,固有値,名詞,一般,*,*,固有値,38
26,0,分解,名詞,サ変接続,*,*,分解,36
27,0,特異値分解,名詞,固有名詞,一般,*,特異値分解,41
28,0,最小二乗法,名詞,固有名詞,一般,*,最小二乗法,41
29,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
