,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,弾,名詞,一般,*,*,弾,38
1,0,塑性,名詞,一般,*,*,塑性,38
2,0,力学,名詞,一般,*,*,力学,38
3,0,材料強度学,名詞,固有名詞,一般,*,材料強度学,41
5,0,機械,名詞,一般,*,*,機械,38
7,0,工業,名詞,一般,*,*,工業,38
8,0,力学,名詞,一般,*,*,力学,38
9,0,機械力学,名詞,固有名詞,一般,*,機械力学,41
10,0,弾,名詞,接尾,一般,*,弾,51
11,0,塑性,名詞,一般,*,*,塑性,38
12,0,力学,名詞,一般,*,*,力学,38
13,0,材料強度学,名詞,固有名詞,一般,*,材料強度学,41
15,0,機械,名詞,一般,*,*,機械,38
17,0,工業,名詞,一般,*,*,工業,38
18,0,力学,名詞,一般,*,*,力学,38
19,0,機械力学,名詞,固有名詞,一般,*,機械力学,41
20,0,弾,名詞,接尾,一般,*,弾,51
21,0,塑性,名詞,一般,*,*,塑性,38
22,0,力学,名詞,一般,*,*,力学,38
23,0,材料強度学,名詞,固有名詞,一般,*,材料強度学,41
25,0,機械,名詞,一般,*,*,機械,38
27,0,工業,名詞,一般,*,*,工業,38
28,0,力学,名詞,一般,*,*,力学,38
29,0,機械力学,名詞,固有名詞,一般,*,機械力学,41
30,0,弾,名詞,接尾,一般,*,弾,51
31,0,塑性,名詞,一般,*,*,塑性,38
32,0,力学,名詞,一般,*,*,力学,38
33,0,材料強度学,名詞,固有名詞,一般,*,材料強度学,41
35,0,機械,名詞,一般,*,*,機械,38
37,0,工業,名詞,一般,*,*,工業,38
38,0,力学,名詞,一般,*,*,力学,38
39,0,機械力学,名詞,固有名詞,一般,*,機械力学,41
40,0,弾,名詞,接尾,一般,*,弾,51
41,0,塑性,名詞,一般,*,*,塑性,38
42,0,力学,名詞,一般,*,*,力学,38
43,0,材料強度学,名詞,固有名詞,一般,*,材料強度学,41
45,0,機械,名詞,一般,*,*,機械,38
47,0,工業,名詞,一般,*,*,工業,38
48,0,力学,名詞,一般,*,*,力学,38
49,0,機械力学,名詞,固有名詞,一般,*,機械力学,41
50,0,弾,名詞,接尾,一般,*,弾,51
51,0,塑性,名詞,一般,*,*,塑性,38
52,0,力学,名詞,一般,*,*,力学,38
53,0,材料強度学,名詞,固有名詞,一般,*,材料強度学,41
55,0,機械,名詞,一般,*,*,機械,38
57,0,工業,名詞,一般,*,*,工業,38
58,0,力学,名詞,一般,*,*,力学,38
59,0,機械力学,名詞,固有名詞,一般,*,機械力学,41
60,0,弾,名詞,接尾,一般,*,弾,51
61,0,塑性,名詞,一般,*,*,塑性,38
62,0,力学,名詞,一般,*,*,力学,38
63,0,材料強度学,名詞,固有名詞,一般,*,材料強度学,41
65,0,機械,名詞,一般,*,*,機械,38
67,0,工業,名詞,一般,*,*,工業,38
68,0,力学,名詞,一般,*,*,力学,38
69,0,機械力学,名詞,固有名詞,一般,*,機械力学,41
70,0,弾,名詞,接尾,一般,*,弾,51
71,0,塑性,名詞,一般,*,*,塑性,38
72,0,力学,名詞,一般,*,*,力学,38
73,0,材料強度学,名詞,固有名詞,一般,*,材料強度学,41
75,0,機械,名詞,一般,*,*,機械,38
77,0,工業,名詞,一般,*,*,工業,38
78,0,力学,名詞,一般,*,*,力学,38
79,0,機械力学,名詞,固有名詞,一般,*,機械力学,41
80,0,弾,名詞,接尾,一般,*,弾,51
81,0,塑性,名詞,一般,*,*,塑性,38
82,0,力学,名詞,一般,*,*,力学,38
83,0,材料強度学,名詞,固有名詞,一般,*,材料強度学,41
85,0,機械,名詞,一般,*,*,機械,38
87,0,工業,名詞,一般,*,*,工業,38
88,0,力学,名詞,一般,*,*,力学,38
89,0,機械力学,名詞,固有名詞,一般,*,機械力学,41
