,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,機能性流体,名詞,固有名詞,一般,*,機能性流体,41
2,0,流,名詞,接尾,一般,*,流,51
3,0,電磁,名詞,一般,*,*,電磁,38
4,0,流体,名詞,一般,*,*,流体,38
5,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
6,0,機能性流体,名詞,固有名詞,一般,*,機能性流体,41
8,0,流,名詞,接尾,一般,*,流,51
9,0,電磁,名詞,一般,*,*,電磁,38
10,0,流体,名詞,一般,*,*,流体,38
11,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
12,0,機能性流体,名詞,固有名詞,一般,*,機能性流体,41
14,0,流,名詞,接尾,一般,*,流,51
15,0,電磁,名詞,一般,*,*,電磁,38
16,0,流体,名詞,一般,*,*,流体,38
17,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
18,0,機能性流体,名詞,固有名詞,一般,*,機能性流体,41
20,0,流,名詞,接尾,一般,*,流,51
21,0,電磁,名詞,一般,*,*,電磁,38
22,0,流体,名詞,一般,*,*,流体,38
23,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
24,0,機能性流体,名詞,固有名詞,一般,*,機能性流体,41
26,0,流,名詞,接尾,一般,*,流,51
27,0,電磁,名詞,一般,*,*,電磁,38
28,0,流体,名詞,一般,*,*,流体,38
29,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
30,0,機能性流体,名詞,固有名詞,一般,*,機能性流体,41
32,0,流,名詞,接尾,一般,*,流,51
33,0,電磁,名詞,一般,*,*,電磁,38
34,0,流体,名詞,一般,*,*,流体,38
35,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
36,0,機能性流体,名詞,固有名詞,一般,*,機能性流体,41
38,0,流,名詞,接尾,一般,*,流,51
39,0,電磁,名詞,一般,*,*,電磁,38
40,0,流体,名詞,一般,*,*,流体,38
41,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
42,0,機能性流体,名詞,固有名詞,一般,*,機能性流体,41
44,0,流,名詞,接尾,一般,*,流,51
45,0,電磁,名詞,一般,*,*,電磁,38
46,0,流体,名詞,一般,*,*,流体,38
47,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
48,0,機能性流体,名詞,固有名詞,一般,*,機能性流体,41
50,0,流,名詞,接尾,一般,*,流,51
51,0,電磁,名詞,一般,*,*,電磁,38
52,0,流体,名詞,一般,*,*,流体,38
53,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
54,0,機能性流体,名詞,固有名詞,一般,*,機能性流体,41
56,0,流,名詞,接尾,一般,*,流,51
57,0,電磁,名詞,一般,*,*,電磁,38
58,0,流体,名詞,一般,*,*,流体,38
59,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
