,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,生産,名詞,サ変接続,*,*,生産,36
1,0,システム,名詞,一般,*,*,システム,38
5,0,自動化,名詞,固有名詞,一般,*,自動化,41
6,0,システム,名詞,一般,*,*,システム,38
8,0,歴史,名詞,一般,*,*,歴史,38
9,0,自動化,名詞,固有名詞,一般,*,自動化,41
10,0,生産,名詞,サ変接続,*,*,生産,36
11,0,システム,名詞,一般,*,*,システム,38
13,0,歴史,名詞,一般,*,*,歴史,38
15,0,説明,名詞,サ変接続,*,*,説明,36
16,0,できる,動詞,自立,*,*,できる,31
19,0,なる,動詞,自立,*,*,なる,31
20,0,生産,名詞,サ変接続,*,*,生産,36
21,0,システム,名詞,一般,*,*,システム,38
23,0,機能,名詞,サ変接続,*,*,機能,36
25,0,加工,名詞,サ変接続,*,*,加工,36
27,0,搬送,名詞,サ変接続,*,*,搬送,36
29,0,倉庫,名詞,一般,*,*,倉庫,38
31,0,バッファ,名詞,一般,*,*,バッファ,38
33,0,統制,名詞,サ変接続,*,*,統制,36
34,0,等,名詞,接尾,一般,*,等,51
36,0,生産,名詞,サ変接続,*,*,生産,36
37,0,システム,名詞,一般,*,*,システム,38
39,0,機能,名詞,サ変接続,*,*,機能,36
41,0,説明,名詞,サ変接続,*,*,説明,36
42,0,できる,動詞,自立,*,*,できる,31
45,0,なる,動詞,自立,*,*,なる,31
46,0,生産,名詞,サ変接続,*,*,生産,36
47,0,方式,名詞,一般,*,*,方式,38
49,0,種類,名詞,一般,*,*,種類,38
50,0,生産,名詞,サ変接続,*,*,生産,36
51,0,方式,名詞,一般,*,*,方式,38
53,0,種類,名詞,一般,*,*,種類,38
55,0,特徴,名詞,一般,*,*,特徴,38
57,0,説明,名詞,サ変接続,*,*,説明,36
58,0,できる,動詞,自立,*,*,できる,31
61,0,なる,動詞,自立,*,*,なる,31
62,0,生産,名詞,サ変接続,*,*,生産,36
63,0,システム,名詞,一般,*,*,システム,38
65,0,構成要素,名詞,固有名詞,一般,*,構成要素,41
66,0,生産,名詞,サ変接続,*,*,生産,36
67,0,システム,名詞,一般,*,*,システム,38
69,0,構成,名詞,サ変接続,*,*,構成,36
72,0,要素,名詞,一般,*,*,要素,38
74,0,説明,名詞,サ変接続,*,*,説明,36
75,0,できる,動詞,自立,*,*,できる,31
78,0,なる,動詞,自立,*,*,なる,31
79,0,加工,名詞,サ変接続,*,*,加工,36
80,0,方法,名詞,一般,*,*,方法,38
82,0,種類,名詞,一般,*,*,種類,38
83,0,生産,名詞,サ変接続,*,*,生産,36
86,0,加工,名詞,サ変接続,*,*,加工,36
