,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
15,0,できる,動詞,自立,*,*,できる,31
17,0,機械,名詞,一般,*,*,機械,38
18,0,製図,名詞,サ変接続,*,*,製図,36
20,0,基礎,名詞,一般,*,*,基礎,38
22,0,習得,名詞,サ変接続,*,*,習得,36
26,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
30,0,機能,名詞,サ変接続,*,*,機能,36
32,0,力学,名詞,一般,*,*,力学,38
34,0,工作,名詞,サ変接続,*,*,工作,36
35,0,法,名詞,接尾,一般,*,法,51
37,0,材質,名詞,一般,*,*,材質,38
38,0,等,名詞,接尾,一般,*,等,51
40,0,基礎,名詞,一般,*,*,基礎,38
41,0,知識,名詞,一般,*,*,知識,38
43,0,説明,名詞,サ変接続,*,*,説明,36
44,0,できる,動詞,自立,*,*,できる,31
47,0,製図,名詞,サ変接続,*,*,製図,36
48,0,用具,名詞,一般,*,*,用具,38
50,0,2D,名詞,固有名詞,一般,*,2D,41
52,0,3D,名詞,固有名詞,一般,*,3D,41
54,0,CAD,名詞,固有名詞,一般,*,CAD,41
56,0,基本,名詞,一般,*,*,基本,38
57,0,的,名詞,接尾,形容動詞語幹,*,的,52
59,0,操作,名詞,サ変接続,*,*,操作,36
61,0,できる,動詞,自立,*,*,できる,31
63,0,締結,名詞,サ変接続,*,*,締結,36
64,0,要素,名詞,一般,*,*,要素,38
66,0,軸,名詞,一般,*,*,軸,38
67,0,要素,名詞,一般,*,*,要素,38
69,0,動力,名詞,一般,*,*,動力,38
70,0,伝達,名詞,サ変接続,*,*,伝達,36
71,0,要素,名詞,一般,*,*,要素,38
73,0,基本,名詞,一般,*,*,基本,38
75,0,なる,動詞,自立,*,*,なる,31
76,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
78,0,工学言語,名詞,固有名詞,一般,*,工学言語,41
81,0,製図,名詞,サ変接続,*,*,製図,36
83,0,用い,動詞,自立,*,*,用いる,31
85,0,表現,名詞,サ変接続,*,*,表現,36
86,0,できる,動詞,自立,*,*,できる,31
89,0,三角法,名詞,固有名詞,一般,*,三角法,41
91,0,工業規格,名詞,固有名詞,一般,*,工業規格,41
93,0,寸法,名詞,一般,*,*,寸法,38
94,0,公差,名詞,一般,*,*,公差,38
96,0,はめ,動詞,自立,*,*,はめる,31
99,0,幾何,名詞,一般,*,*,幾何,38
100,0,公差,名詞,一般,*,*,公差,38
103,0,基本,名詞,一般,*,*,基本,38
104,0,事項,名詞,一般,*,*,事項,38
106,0,説明,名詞,サ変接続,*,*,説明,36
107,0,できる,動詞,自立,*,*,できる,31
110,0,講義,名詞,サ変接続,*,*,講義,36
112,0,履修,名詞,サ変接続,*,*,履修,36
116,0,次,名詞,一般,*,*,次,38
118,0,能力,名詞,一般,*,*,能力,38
120,0,修得,名詞,サ変接続,*,*,修得,36
124,0,できる,動詞,自立,*,*,できる,31
126,0,機械,名詞,一般,*,*,機械,38
127,0,製図,名詞,サ変接続,*,*,製図,36
129,0,基礎,名詞,一般,*,*,基礎,38
131,0,習得,名詞,サ変接続,*,*,習得,36
135,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
139,0,機能,名詞,サ変接続,*,*,機能,36
141,0,力学,名詞,一般,*,*,力学,38
143,0,工作,名詞,サ変接続,*,*,工作,36
144,0,法,名詞,接尾,一般,*,法,51
146,0,材質,名詞,一般,*,*,材質,38
147,0,等,名詞,接尾,一般,*,等,51
149,0,基礎,名詞,一般,*,*,基礎,38
150,0,知識,名詞,一般,*,*,知識,38
152,0,説明,名詞,サ変接続,*,*,説明,36
153,0,できる,動詞,自立,*,*,できる,31
156,0,製図,名詞,サ変接続,*,*,製図,36
157,0,用具,名詞,一般,*,*,用具,38
159,0,2D,名詞,固有名詞,一般,*,2D,41
161,0,3D,名詞,固有名詞,一般,*,3D,41
163,0,CAD,名詞,固有名詞,一般,*,CAD,41
165,0,基本,名詞,一般,*,*,基本,38
166,0,的,名詞,接尾,形容動詞語幹,*,的,52
168,0,操作,名詞,サ変接続,*,*,操作,36
170,0,できる,動詞,自立,*,*,できる,31
172,0,締結,名詞,サ変接続,*,*,締結,36
173,0,要素,名詞,一般,*,*,要素,38
175,0,軸,名詞,一般,*,*,軸,38
176,0,要素,名詞,一般,*,*,要素,38
178,0,動力,名詞,一般,*,*,動力,38
179,0,伝達,名詞,サ変接続,*,*,伝達,36
180,0,要素,名詞,一般,*,*,要素,38
182,0,基本,名詞,一般,*,*,基本,38
184,0,なる,動詞,自立,*,*,なる,31
185,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
187,0,工学言語,名詞,固有名詞,一般,*,工学言語,41
190,0,製図,名詞,サ変接続,*,*,製図,36
192,0,用い,動詞,自立,*,*,用いる,31
194,0,表現,名詞,サ変接続,*,*,表現,36
195,0,できる,動詞,自立,*,*,できる,31
198,0,三角法,名詞,固有名詞,一般,*,三角法,41
200,0,工業規格,名詞,固有名詞,一般,*,工業規格,41
202,0,寸法,名詞,一般,*,*,寸法,38
203,0,公差,名詞,一般,*,*,公差,38
205,0,はめ,動詞,自立,*,*,はめる,31
208,0,幾何,名詞,一般,*,*,幾何,38
209,0,公差,名詞,一般,*,*,公差,38
212,0,基本,名詞,一般,*,*,基本,38
213,0,事項,名詞,一般,*,*,事項,38
215,0,説明,名詞,サ変接続,*,*,説明,36
216,0,できる,動詞,自立,*,*,できる,31
219,0,講義,名詞,サ変接続,*,*,講義,36
221,0,履修,名詞,サ変接続,*,*,履修,36
225,0,次,名詞,一般,*,*,次,38
227,0,能力,名詞,一般,*,*,能力,38
229,0,修得,名詞,サ変接続,*,*,修得,36
233,0,できる,動詞,自立,*,*,できる,31
235,0,機械,名詞,一般,*,*,機械,38
236,0,製図,名詞,サ変接続,*,*,製図,36
238,0,基礎,名詞,一般,*,*,基礎,38
240,0,習得,名詞,サ変接続,*,*,習得,36
244,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
248,0,機能,名詞,サ変接続,*,*,機能,36
250,0,力学,名詞,一般,*,*,力学,38
252,0,工作,名詞,サ変接続,*,*,工作,36
253,0,法,名詞,接尾,一般,*,法,51
255,0,材質,名詞,一般,*,*,材質,38
256,0,等,名詞,接尾,一般,*,等,51
258,0,基礎,名詞,一般,*,*,基礎,38
259,0,知識,名詞,一般,*,*,知識,38
261,0,説明,名詞,サ変接続,*,*,説明,36
262,0,できる,動詞,自立,*,*,できる,31
265,0,製図,名詞,サ変接続,*,*,製図,36
266,0,用具,名詞,一般,*,*,用具,38
268,0,2D,名詞,固有名詞,一般,*,2D,41
270,0,3D,名詞,固有名詞,一般,*,3D,41
272,0,CAD,名詞,固有名詞,一般,*,CAD,41
274,0,基本,名詞,一般,*,*,基本,38
275,0,的,名詞,接尾,形容動詞語幹,*,的,52
277,0,操作,名詞,サ変接続,*,*,操作,36
279,0,できる,動詞,自立,*,*,できる,31
281,0,締結,名詞,サ変接続,*,*,締結,36
282,0,要素,名詞,一般,*,*,要素,38
284,0,軸,名詞,一般,*,*,軸,38
285,0,要素,名詞,一般,*,*,要素,38
287,0,動力,名詞,一般,*,*,動力,38
288,0,伝達,名詞,サ変接続,*,*,伝達,36
289,0,要素,名詞,一般,*,*,要素,38
291,0,基本,名詞,一般,*,*,基本,38
293,0,なる,動詞,自立,*,*,なる,31
294,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
296,0,工学言語,名詞,固有名詞,一般,*,工学言語,41
299,0,製図,名詞,サ変接続,*,*,製図,36
301,0,用い,動詞,自立,*,*,用いる,31
303,0,表現,名詞,サ変接続,*,*,表現,36
304,0,できる,動詞,自立,*,*,できる,31
307,0,三角法,名詞,固有名詞,一般,*,三角法,41
309,0,工業規格,名詞,固有名詞,一般,*,工業規格,41
311,0,寸法,名詞,一般,*,*,寸法,38
312,0,公差,名詞,一般,*,*,公差,38
314,0,はめ,動詞,自立,*,*,はめる,31
317,0,幾何,名詞,一般,*,*,幾何,38
318,0,公差,名詞,一般,*,*,公差,38
321,0,基本,名詞,一般,*,*,基本,38
322,0,事項,名詞,一般,*,*,事項,38
324,0,説明,名詞,サ変接続,*,*,説明,36
325,0,できる,動詞,自立,*,*,できる,31
328,0,講義,名詞,サ変接続,*,*,講義,36
330,0,履修,名詞,サ変接続,*,*,履修,36
334,0,次,名詞,一般,*,*,次,38
336,0,能力,名詞,一般,*,*,能力,38
338,0,修得,名詞,サ変接続,*,*,修得,36
342,0,できる,動詞,自立,*,*,できる,31
344,0,機械,名詞,一般,*,*,機械,38
345,0,製図,名詞,サ変接続,*,*,製図,36
347,0,基礎,名詞,一般,*,*,基礎,38
349,0,習得,名詞,サ変接続,*,*,習得,36
353,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
357,0,機能,名詞,サ変接続,*,*,機能,36
359,0,力学,名詞,一般,*,*,力学,38
361,0,工作,名詞,サ変接続,*,*,工作,36
362,0,法,名詞,接尾,一般,*,法,51
364,0,材質,名詞,一般,*,*,材質,38
365,0,等,名詞,接尾,一般,*,等,51
367,0,基礎,名詞,一般,*,*,基礎,38
368,0,知識,名詞,一般,*,*,知識,38
370,0,説明,名詞,サ変接続,*,*,説明,36
371,0,できる,動詞,自立,*,*,できる,31
374,0,製図,名詞,サ変接続,*,*,製図,36
375,0,用具,名詞,一般,*,*,用具,38
377,0,2D,名詞,固有名詞,一般,*,2D,41
379,0,3D,名詞,固有名詞,一般,*,3D,41
381,0,CAD,名詞,固有名詞,一般,*,CAD,41
383,0,基本,名詞,一般,*,*,基本,38
384,0,的,名詞,接尾,形容動詞語幹,*,的,52
386,0,操作,名詞,サ変接続,*,*,操作,36
388,0,できる,動詞,自立,*,*,できる,31
390,0,締結,名詞,サ変接続,*,*,締結,36
391,0,要素,名詞,一般,*,*,要素,38
393,0,軸,名詞,一般,*,*,軸,38
394,0,要素,名詞,一般,*,*,要素,38
396,0,動力,名詞,一般,*,*,動力,38
397,0,伝達,名詞,サ変接続,*,*,伝達,36
398,0,要素,名詞,一般,*,*,要素,38
400,0,基本,名詞,一般,*,*,基本,38
402,0,なる,動詞,自立,*,*,なる,31
403,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
405,0,工学言語,名詞,固有名詞,一般,*,工学言語,41
408,0,製図,名詞,サ変接続,*,*,製図,36
410,0,用い,動詞,自立,*,*,用いる,31
412,0,表現,名詞,サ変接続,*,*,表現,36
413,0,できる,動詞,自立,*,*,できる,31
416,0,三角法,名詞,固有名詞,一般,*,三角法,41
418,0,工業規格,名詞,固有名詞,一般,*,工業規格,41
420,0,寸法,名詞,一般,*,*,寸法,38
421,0,公差,名詞,一般,*,*,公差,38
423,0,はめ,動詞,自立,*,*,はめる,31
426,0,幾何,名詞,一般,*,*,幾何,38
427,0,公差,名詞,一般,*,*,公差,38
430,0,基本,名詞,一般,*,*,基本,38
431,0,事項,名詞,一般,*,*,事項,38
433,0,説明,名詞,サ変接続,*,*,説明,36
434,0,できる,動詞,自立,*,*,できる,31
437,0,科目,名詞,一般,*,*,科目,38
440,0,学修,名詞,サ変接続,*,*,学修,36
441,0,目標,名詞,一般,*,*,目標,38
446,0,専門,名詞,一般,*,*,専門,38
447,0,力,名詞,接尾,一般,*,力,51
449,0,基盤,名詞,一般,*,*,基盤,38
450,0,的,名詞,接尾,形容動詞語幹,*,的,52
452,0,専門,名詞,一般,*,*,専門,38
453,0,力,名詞,接尾,一般,*,力,51
456,0,修得,名詞,サ変接続,*,*,修得,36
458,0,対応,名詞,サ変接続,*,*,対応,36
462,0,講義,名詞,サ変接続,*,*,講義,36
464,0,履修,名詞,サ変接続,*,*,履修,36
468,0,次,名詞,一般,*,*,次,38
470,0,能力,名詞,一般,*,*,能力,38
472,0,修得,名詞,サ変接続,*,*,修得,36
476,0,できる,動詞,自立,*,*,できる,31
478,0,機械,名詞,一般,*,*,機械,38
479,0,製図,名詞,サ変接続,*,*,製図,36
481,0,基礎,名詞,一般,*,*,基礎,38
483,0,習得,名詞,サ変接続,*,*,習得,36
487,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
491,0,機能,名詞,サ変接続,*,*,機能,36
493,0,力学,名詞,一般,*,*,力学,38
495,0,工作,名詞,サ変接続,*,*,工作,36
496,0,法,名詞,接尾,一般,*,法,51
