,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,機械,名詞,一般,*,*,機械,38
1,0,システム,名詞,一般,*,*,システム,38
2,0,デザイン,名詞,サ変接続,*,*,デザイン,36
3,0,機械,名詞,一般,*,*,機械,38
4,0,システム,名詞,一般,*,*,システム,38
5,0,デザイン,名詞,サ変接続,*,*,デザイン,36
6,0,機械,名詞,一般,*,*,機械,38
7,0,システム,名詞,一般,*,*,システム,38
8,0,デザイン,名詞,サ変接続,*,*,デザイン,36
9,0,機械,名詞,一般,*,*,機械,38
10,0,システム,名詞,一般,*,*,システム,38
11,0,デザイン,名詞,サ変接続,*,*,デザイン,36
12,0,機械,名詞,一般,*,*,機械,38
13,0,システム,名詞,一般,*,*,システム,38
14,0,デザイン,名詞,サ変接続,*,*,デザイン,36
15,0,機械,名詞,一般,*,*,機械,38
16,0,システム,名詞,一般,*,*,システム,38
17,0,デザイン,名詞,サ変接続,*,*,デザイン,36
18,0,機械,名詞,一般,*,*,機械,38
19,0,システム,名詞,一般,*,*,システム,38
20,0,デザイン,名詞,サ変接続,*,*,デザイン,36
21,0,機械,名詞,一般,*,*,機械,38
22,0,システム,名詞,一般,*,*,システム,38
23,0,デザイン,名詞,サ変接続,*,*,デザイン,36
24,0,機械,名詞,一般,*,*,機械,38
25,0,システム,名詞,一般,*,*,システム,38
26,0,デザイン,名詞,サ変接続,*,*,デザイン,36
27,0,機械,名詞,一般,*,*,機械,38
28,0,システム,名詞,一般,*,*,システム,38
29,0,デザイン,名詞,サ変接続,*,*,デザイン,36
