,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,機械,名詞,一般,*,*,機械,38
1,0,システム学,名詞,固有名詞,一般,*,システム学,41
2,0,機械,名詞,一般,*,*,機械,38
3,0,システム,名詞,一般,*,*,システム,38
4,0,デザイン,名詞,サ変接続,*,*,デザイン,36
5,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
7,0,機械,名詞,一般,*,*,機械,38
8,0,製図,名詞,サ変接続,*,*,製図,36
9,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
10,0,設計,名詞,サ変接続,*,*,設計,36
11,0,ロボット,名詞,一般,*,*,ロボット,38
13,0,力学,名詞,一般,*,*,力学,38
15,0,制御,名詞,サ変接続,*,*,制御,36
16,0,ロボット,名詞,一般,*,*,ロボット,38
17,0,技術,名詞,一般,*,*,技術,38
18,0,ロボット,名詞,一般,*,*,ロボット,38
19,0,総合,名詞,サ変接続,*,*,総合,36
20,0,論,名詞,接尾,一般,*,論,51
21,0,機械,名詞,一般,*,*,機械,38
22,0,システム学,名詞,固有名詞,一般,*,システム学,41
23,0,機械,名詞,一般,*,*,機械,38
24,0,システム,名詞,一般,*,*,システム,38
25,0,デザイン,名詞,サ変接続,*,*,デザイン,36
26,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
28,0,機械,名詞,一般,*,*,機械,38
29,0,製図,名詞,サ変接続,*,*,製図,36
30,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
31,0,設計,名詞,サ変接続,*,*,設計,36
32,0,ロボット,名詞,一般,*,*,ロボット,38
34,0,力学,名詞,一般,*,*,力学,38
36,0,制御,名詞,サ変接続,*,*,制御,36
37,0,ロボット,名詞,一般,*,*,ロボット,38
38,0,技術,名詞,一般,*,*,技術,38
39,0,ロボット,名詞,一般,*,*,ロボット,38
40,0,総合,名詞,サ変接続,*,*,総合,36
41,0,論,名詞,接尾,一般,*,論,51
42,0,機械,名詞,一般,*,*,機械,38
43,0,システム学,名詞,固有名詞,一般,*,システム学,41
44,0,機械,名詞,一般,*,*,機械,38
45,0,システム,名詞,一般,*,*,システム,38
46,0,デザイン,名詞,サ変接続,*,*,デザイン,36
47,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
49,0,機械,名詞,一般,*,*,機械,38
50,0,製図,名詞,サ変接続,*,*,製図,36
51,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
52,0,設計,名詞,サ変接続,*,*,設計,36
53,0,ロボット,名詞,一般,*,*,ロボット,38
55,0,力学,名詞,一般,*,*,力学,38
57,0,制御,名詞,サ変接続,*,*,制御,36
58,0,ロボット,名詞,一般,*,*,ロボット,38
59,0,技術,名詞,一般,*,*,技術,38
60,0,ロボット,名詞,一般,*,*,ロボット,38
61,0,総合,名詞,サ変接続,*,*,総合,36
62,0,論,名詞,接尾,一般,*,論,51
63,0,機械,名詞,一般,*,*,機械,38
64,0,システム学,名詞,固有名詞,一般,*,システム学,41
65,0,機械,名詞,一般,*,*,機械,38
66,0,システム,名詞,一般,*,*,システム,38
67,0,デザイン,名詞,サ変接続,*,*,デザイン,36
68,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
70,0,機械,名詞,一般,*,*,機械,38
71,0,製図,名詞,サ変接続,*,*,製図,36
72,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
73,0,設計,名詞,サ変接続,*,*,設計,36
74,0,ロボット,名詞,一般,*,*,ロボット,38
76,0,力学,名詞,一般,*,*,力学,38
78,0,制御,名詞,サ変接続,*,*,制御,36
79,0,ロボット,名詞,一般,*,*,ロボット,38
80,0,技術,名詞,一般,*,*,技術,38
81,0,ロボット,名詞,一般,*,*,ロボット,38
82,0,総合,名詞,サ変接続,*,*,総合,36
83,0,論,名詞,接尾,一般,*,論,51
84,0,機械,名詞,一般,*,*,機械,38
85,0,システム学,名詞,固有名詞,一般,*,システム学,41
86,0,機械,名詞,一般,*,*,機械,38
87,0,システム,名詞,一般,*,*,システム,38
88,0,デザイン,名詞,サ変接続,*,*,デザイン,36
89,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
91,0,機械,名詞,一般,*,*,機械,38
92,0,製図,名詞,サ変接続,*,*,製図,36
93,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
94,0,設計,名詞,サ変接続,*,*,設計,36
95,0,ロボット,名詞,一般,*,*,ロボット,38
97,0,力学,名詞,一般,*,*,力学,38
99,0,制御,名詞,サ変接続,*,*,制御,36
100,0,ロボット,名詞,一般,*,*,ロボット,38
101,0,技術,名詞,一般,*,*,技術,38
102,0,ロボット,名詞,一般,*,*,ロボット,38
103,0,総合,名詞,サ変接続,*,*,総合,36
104,0,論,名詞,接尾,一般,*,論,51
105,0,機械,名詞,一般,*,*,機械,38
106,0,システム学,名詞,固有名詞,一般,*,システム学,41
107,0,機械,名詞,一般,*,*,機械,38
108,0,システム,名詞,一般,*,*,システム,38
109,0,デザイン,名詞,サ変接続,*,*,デザイン,36
110,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
112,0,機械,名詞,一般,*,*,機械,38
113,0,製図,名詞,サ変接続,*,*,製図,36
114,0,機械要素,名詞,固有名詞,一般,*,機械要素,41
115,0,設計,名詞,サ変接続,*,*,設計,36
116,0,ロボット,名詞,一般,*,*,ロボット,38
118,0,力学,名詞,一般,*,*,力学,38
120,0,制御,名詞,サ変接続,*,*,制御,36
121,0,ロボット,名詞,一般,*,*,ロボット,38
122,0,技術,名詞,一般,*,*,技術,38
123,0,ロボット,名詞,一般,*,*,ロボット,38
124,0,総合,名詞,サ変接続,*,*,総合,36
125,0,論,名詞,接尾,一般,*,論,51
126,0,機械,名詞,一般,*,*,機械,38
