,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,実験,名詞,サ変接続,*,*,実験,36
1,0,装置,名詞,サ変接続,*,*,装置,36
3,0,接続,名詞,サ変接続,*,*,接続,36
4,0,方法,名詞,一般,*,*,方法,38
6,0,制御,名詞,サ変接続,*,*,制御,36
7,0,方法,名詞,一般,*,*,方法,38
8,0,ロボット,名詞,一般,*,*,ロボット,38
10,0,制御,名詞,サ変接続,*,*,制御,36
12,0,必要,名詞,形容動詞語幹,*,*,必要,40
14,0,装置,名詞,サ変接続,*,*,装置,36
16,0,概要,名詞,一般,*,*,概要,38
18,0,学ぶ,動詞,自立,*,*,学ぶ,31
20,0,サーボ,名詞,一般,*,*,サーボ,38
21,0,システム,名詞,一般,*,*,システム,38
23,0,静,名詞,一般,*,*,静,38
24,0,特性,名詞,一般,*,*,特性,38
26,0,動,名詞,一般,*,*,動,38
27,0,特性,名詞,一般,*,*,特性,38
28,1,サーボ,名詞,一般,*,*,サーボ,38
29,1,システム,名詞,一般,*,*,システム,38
31,1,動,名詞,一般,*,*,動,38
32,1,特性,名詞,一般,*,*,特性,38
34,1,静,名詞,固有名詞,地域,一般,静,46
35,1,特性,名詞,一般,*,*,特性,38
37,1,学ぶ,動詞,自立,*,*,学ぶ,31
40,1,制御,名詞,サ変接続,*,*,制御,36
42,1,基礎,名詞,一般,*,*,基礎,38
43,1,PID制御,名詞,固有名詞,一般,*,PID制御,41
45,1,学び,動詞,自立,*,*,学ぶ,31
48,1,それぞれ,名詞,副詞可能,*,*,それぞれ,67
50,1,役割,名詞,一般,*,*,役割,38
52,1,体感,名詞,一般,*,*,体感,38
55,1,ロボット,名詞,一般,*,*,ロボット,38
58,1,運動学,名詞,固有名詞,一般,*,運動学,41
59,1,問題,名詞,ナイ形容詞語幹,*,*,問題,37
62,1,制御,名詞,サ変接続,*,*,制御,36
63,1,ヤコビアン,名詞,固有名詞,一般,*,ヤコビアン,41
65,1,有用,名詞,形容動詞語幹,*,*,有用,40
66,1,性,名詞,接尾,一般,*,性,51
68,1,学ぶ,動詞,自立,*,*,学ぶ,31
71,1,運動学,名詞,固有名詞,一般,*,運動学,41
72,1,問題,名詞,ナイ形容詞語幹,*,*,問題,37
74,1,数値,名詞,一般,*,*,数値,38
75,1,的,名詞,接尾,形容動詞語幹,*,的,52
76,1,解法,名詞,一般,*,*,解法,38
78,1,障害,名詞,一般,*,*,障害,38
79,1,物,名詞,接尾,一般,*,物,51
80,1,回避,名詞,サ変接続,*,*,回避,36
81,1,制御,名詞,サ変接続,*,*,制御,36
82,1,動作,名詞,サ変接続,*,*,動作,36
83,1,範囲,名詞,一般,*,*,範囲,38
84,1,内,名詞,接尾,一般,*,内,51
86,1,障害,名詞,一般,*,*,障害,38
87,1,物,名詞,接尾,一般,*,物,51
89,1,あっ,動詞,自立,*,*,ある,31
91,1,場合,名詞,副詞可能,*,*,場合,67
93,1,回避,名詞,サ変接続,*,*,回避,36
94,1,方法,名詞,一般,*,*,方法,38
96,1,学ぶ,動詞,自立,*,*,学ぶ,31
98,1,ロボット,名詞,一般,*,*,ロボット,38
100,1,コンプライアンス,名詞,固有名詞,一般,*,Compliance,41
101,1,制御,名詞,サ変接続,*,*,制御,36
102,1,外力,名詞,一般,*,*,外力,38
104,1,加わっ,動詞,自立,*,*,加わる,31
106,1,場合,名詞,副詞可能,*,*,場合,67
108,1,柔らかく,形容詞,自立,*,*,柔らかい,10
109,1,関節,名詞,一般,*,*,関節,38
111,1,逃がす,動詞,自立,*,*,逃がす,31
112,1,制御,名詞,サ変接続,*,*,制御,36
113,1,方法,名詞,一般,*,*,方法,38
115,1,学ぶ,動詞,自立,*,*,学ぶ,31
116,1,拘束,名詞,サ変接続,*,*,拘束,36
117,1,条件下,名詞,一般,*,*,条件下,38
120,1,ロボット,名詞,一般,*,*,ロボット,38
122,1,軌道,名詞,一般,*,*,軌道,38
123,1,生成,名詞,サ変接続,*,*,生成,36
124,1,動作,名詞,サ変接続,*,*,動作,36
125,1,範囲,名詞,一般,*,*,範囲,38
127,1,拘束,名詞,サ変接続,*,*,拘束,36
128,1,条件,名詞,一般,*,*,条件,38
130,1,加わっ,動詞,自立,*,*,加わる,31
132,1,中,名詞,非自立,副詞可能,*,中,66
134,1,作業,名詞,サ変接続,*,*,作業,36
137,1,ため,名詞,非自立,副詞可能,*,ため,66
139,1,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
141,1,考える,動詞,自立,*,*,考える,31
143,1,ロボット,名詞,一般,*,*,ロボット,38
145,1,接続,名詞,サ変接続,*,*,接続,36
146,1,方法,名詞,一般,*,*,方法,38
148,1,制御,名詞,サ変接続,*,*,制御,36
149,1,方法,名詞,一般,*,*,方法,38
150,1,ロボット,名詞,一般,*,*,ロボット,38
152,1,制御,名詞,サ変接続,*,*,制御,36
154,1,必要,名詞,形容動詞語幹,*,*,必要,40
156,1,装置,名詞,サ変接続,*,*,装置,36
158,1,概要,名詞,一般,*,*,概要,38
160,1,学ぶ,動詞,自立,*,*,学ぶ,31
162,1,PID制御,名詞,固有名詞,一般,*,PID制御,41
164,1,基礎,名詞,一般,*,*,基礎,38
165,2,PID制御,名詞,固有名詞,一般,*,PID制御,41
167,2,学び,動詞,自立,*,*,学ぶ,31
170,2,それぞれ,名詞,副詞可能,*,*,それぞれ,67
172,2,役割,名詞,一般,*,*,役割,38
174,2,体感,名詞,一般,*,*,体感,38
177,2,PID制御,名詞,固有名詞,一般,*,PID制御,41
178,2,系,名詞,接尾,一般,*,系,51
180,2,設計,名詞,サ変接続,*,*,設計,36
181,2,PID制御,名詞,固有名詞,一般,*,PID制御,41
182,2,系,名詞,接尾,一般,*,系,51
184,2,パラメータ,名詞,一般,*,*,パラメータ,38
186,2,決定,名詞,サ変接続,*,*,決定,36
189,2,PID制御,名詞,固有名詞,一般,*,PID制御,41
190,2,系,名詞,接尾,一般,*,系,51
192,2,設計,名詞,サ変接続,*,*,設計,36
195,2,ロボット,名詞,一般,*,*,ロボット,38
198,2,運動学,名詞,固有名詞,一般,*,運動学,41
199,2,問題,名詞,ナイ形容詞語幹,*,*,問題,37
