,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,堆積,名詞,サ変接続,*,*,堆積,36
3,0,ウェット,名詞,一般,*,*,ウェット,38
5,0,ドライエッチング,名詞,固有名詞,一般,*,ドライエッチング,41
6,0,ナノ,名詞,一般,*,*,ナノ,38
7,0,加工,名詞,サ変接続,*,*,加工,36
8,0,次世代,名詞,一般,*,*,次世代,38
9,0,加工,名詞,サ変接続,*,*,加工,36
10,0,技術,名詞,一般,*,*,技術,38
13,0,堆積,名詞,サ変接続,*,*,堆積,36
14,0,ウェット,名詞,一般,*,*,ウェット,38
16,0,ドライエッチング,名詞,固有名詞,一般,*,ドライエッチング,41
17,0,ナノ,名詞,一般,*,*,ナノ,38
18,0,加工,名詞,サ変接続,*,*,加工,36
19,0,次世代,名詞,一般,*,*,次世代,38
20,0,加工,名詞,サ変接続,*,*,加工,36
21,0,技術,名詞,一般,*,*,技術,38
24,0,堆積,名詞,サ変接続,*,*,堆積,36
25,0,ウェット,名詞,一般,*,*,ウェット,38
27,0,ドライエッチング,名詞,固有名詞,一般,*,ドライエッチング,41
28,0,ナノ,名詞,一般,*,*,ナノ,38
29,0,加工,名詞,サ変接続,*,*,加工,36
32,0,堆積,名詞,サ変接続,*,*,堆積,36
33,0,ウェット,名詞,一般,*,*,ウェット,38
35,0,ドライエッチング,名詞,固有名詞,一般,*,ドライエッチング,41
36,0,ナノ,名詞,一般,*,*,ナノ,38
37,0,加工,名詞,サ変接続,*,*,加工,36
38,0,次世代,名詞,一般,*,*,次世代,38
39,0,加工,名詞,サ変接続,*,*,加工,36
40,0,技術,名詞,一般,*,*,技術,38
43,0,堆積,名詞,サ変接続,*,*,堆積,36
44,0,ウェット,名詞,一般,*,*,ウェット,38
46,0,ドライエッチング,名詞,固有名詞,一般,*,ドライエッチング,41
47,0,ナノ,名詞,一般,*,*,ナノ,38
48,0,加工,名詞,サ変接続,*,*,加工,36
49,0,次世代,名詞,一般,*,*,次世代,38
50,0,加工,名詞,サ変接続,*,*,加工,36
51,0,技術,名詞,一般,*,*,技術,38
