,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,マイクロ,名詞,一般,*,*,マイクロ,38
2,0,ナノ,名詞,一般,*,*,ナノ,38
3,0,加工,名詞,サ変接続,*,*,加工,36
4,0,基礎,名詞,一般,*,*,基礎,38
5,0,マイクロ,名詞,一般,*,*,マイクロ,38
7,0,ナノ,名詞,一般,*,*,ナノ,38
8,0,加工,名詞,サ変接続,*,*,加工,36
9,0,基礎,名詞,一般,*,*,基礎,38
10,0,マイクロ,名詞,一般,*,*,マイクロ,38
12,0,ナノ,名詞,一般,*,*,ナノ,38
13,0,加工,名詞,サ変接続,*,*,加工,36
14,0,基礎,名詞,一般,*,*,基礎,38
15,0,マイクロ,名詞,一般,*,*,マイクロ,38
17,0,ナノ,名詞,一般,*,*,ナノ,38
18,0,加工,名詞,サ変接続,*,*,加工,36
19,0,基礎,名詞,一般,*,*,基礎,38
20,0,マイクロ,名詞,一般,*,*,マイクロ,38
22,0,ナノ,名詞,一般,*,*,ナノ,38
23,0,加工,名詞,サ変接続,*,*,加工,36
24,0,基礎,名詞,一般,*,*,基礎,38
