,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,CAE,名詞,固有名詞,一般,*,CAE,41
2,0,CAD,名詞,固有名詞,一般,*,CAD,41
4,0,CAM,名詞,固有名詞,人名,一般,CAM,42
5,0,研究開発,名詞,固有名詞,一般,*,研究開発,41
7,0,歴史,名詞,一般,*,*,歴史,38
8,0,概観,名詞,サ変接続,*,*,概観,36
12,1,講師,名詞,一般,*,*,講師,38
16,1,開発,名詞,サ変接続,*,*,開発,36
18,1,歴史,名詞,一般,*,*,歴史,38
21,1,中,名詞,非自立,副詞可能,*,中,66
24,1,発展,名詞,サ変接続,*,*,発展,36
26,1,キー,名詞,一般,*,*,キー,38
28,1,なっ,動詞,自立,*,*,なる,31
30,1,研究開発,名詞,固有名詞,一般,*,研究開発,41
32,1,学ぶ,動詞,自立,*,*,学ぶ,31
34,1,運動学,名詞,固有名詞,一般,*,運動学,41
36,1,構造,名詞,一般,*,*,構造,38
37,1,動力学,名詞,固有名詞,一般,*,動力学,41
39,1,材料力学,名詞,固有名詞,一般,*,材料力学,41
41,1,振動,名詞,サ変接続,*,*,振動,36
42,1,騒音,名詞,一般,*,*,騒音,38
43,1,分野,名詞,一般,*,*,分野,38
45,1,CAE,名詞,固有名詞,一般,*,CAE,41
46,1,概論,名詞,サ変接続,*,*,概論,36
50,2,講師,名詞,一般,*,*,講師,38
53,2,分野,名詞,一般,*,*,分野,38
57,2,基礎,名詞,一般,*,*,基礎,38
59,2,開発,名詞,サ変接続,*,*,開発,36
61,2,利用,名詞,サ変接続,*,*,利用,36
62,2,法,名詞,接尾,一般,*,法,51
64,2,学ぶ,動詞,自立,*,*,学ぶ,31
66,2,振動工学,名詞,固有名詞,一般,*,振動工学,41
67,2,分野,名詞,一般,*,*,分野,38
70,2,概論,名詞,サ変接続,*,*,概論,36
74,3,講師,名詞,一般,*,*,講師,38
76,3,熱工学,名詞,固有名詞,一般,*,熱工学,41
77,3,分野,名詞,一般,*,*,分野,38
80,3,概論,名詞,サ変接続,*,*,概論,36
84,4,講師,名詞,一般,*,*,講師,38
87,4,分野,名詞,一般,*,*,分野,38
90,4,概論,名詞,サ変接続,*,*,概論,36
94,5,講師,名詞,一般,*,*,講師,38
96,5,流体,名詞,一般,*,*,流体,38
97,5,工学,名詞,一般,*,*,工学,38
98,5,分野,名詞,一般,*,*,分野,38
101,5,概論,名詞,サ変接続,*,*,概論,36
105,6,講師,名詞,一般,*,*,講師,38
107,6,産業界,名詞,固有名詞,一般,*,産業界,41
110,6,活用,名詞,サ変接続,*,*,活用,36
111,6,事例,名詞,一般,*,*,事例,38
113,6,紹介,名詞,サ変接続,*,*,紹介,36
115,7,産業界,名詞,固有名詞,一般,*,産業界,41
116,7,講師,名詞,一般,*,*,講師,38
118,7,今日,名詞,副詞可能,*,*,今日,67
120,7,産業界,名詞,固有名詞,一般,*,産業界,41
123,7,実用,名詞,サ変接続,*,*,実用,36
124,7,事例,名詞,一般,*,*,事例,38
126,7,知る,動詞,自立,*,*,知る,31
128,7,産業界,名詞,固有名詞,一般,*,産業界,41
131,7,活用,名詞,サ変接続,*,*,活用,36
132,7,事例,名詞,一般,*,*,事例,38
134,7,紹介,名詞,サ変接続,*,*,紹介,36
136,7,将来,名詞,副詞可能,*,*,将来,67
139,7,期待,名詞,サ変接続,*,*,期待,36
141,8,産業界,名詞,固有名詞,一般,*,産業界,41
142,8,講師,名詞,一般,*,*,講師,38
146,8,未来,名詞,一般,*,*,未来,38
150,8,可能性,名詞,固有名詞,一般,*,可能性,41
152,8,考える,動詞,自立,*,*,考える,31
154,8,CAE,名詞,固有名詞,一般,*,CAE,41
156,8,CAD,名詞,固有名詞,一般,*,CAD,41
158,8,CAM,名詞,固有名詞,人名,一般,CAM,42
159,8,研究開発,名詞,固有名詞,一般,*,研究開発,41
161,8,歴史,名詞,一般,*,*,歴史,38
162,8,概観,名詞,サ変接続,*,*,概観,36
166,9,講師,名詞,一般,*,*,講師,38
170,9,開発,名詞,サ変接続,*,*,開発,36
172,9,歴史,名詞,一般,*,*,歴史,38
175,9,中,名詞,非自立,副詞可能,*,中,66
178,9,発展,名詞,サ変接続,*,*,発展,36
180,9,キー,名詞,一般,*,*,キー,38
182,9,なっ,動詞,自立,*,*,なる,31
184,9,研究開発,名詞,固有名詞,一般,*,研究開発,41
186,9,学ぶ,動詞,自立,*,*,学ぶ,31
188,9,運動学,名詞,固有名詞,一般,*,運動学,41
