,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,作用,名詞,サ変接続,*,*,作用,36
1,0,圏,名詞,接尾,一般,*,圏,51
3,0,法月,名詞,固有名詞,人名,姓,法月,43
5,0,惑星,名詞,一般,*,*,惑星,38
6,0,間,名詞,接尾,一般,*,間,51
7,0,航行,名詞,サ変接続,*,*,航行,36
8,0,軌道,名詞,一般,*,*,軌道,38
11,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
12,0,座標,名詞,一般,*,*,座標,38
13,0,変換,名詞,サ変接続,*,*,変換,36
14,0,姿勢,名詞,一般,*,*,姿勢,38
15,0,表現,名詞,サ変接続,*,*,表現,36
17,0,運動学,名詞,固有名詞,一般,*,運動学,41
19,0,動力学,名詞,固有名詞,一般,*,動力学,41
20,0,外乱,名詞,一般,*,*,外乱,38
22,0,重力,名詞,一般,*,*,重力,38
23,0,傾斜,名詞,サ変接続,*,*,傾斜,36
24,0,安定,名詞,形容動詞語幹,*,*,安定,40
26,0,軸,名詞,一般,*,*,軸,38
27,0,姿勢制御,名詞,固有名詞,一般,*,姿勢制御,41
28,0,衛星,名詞,一般,*,*,衛星,38
30,0,制御,名詞,サ変接続,*,*,制御,36
31,0,姿勢,名詞,一般,*,*,姿勢,38
32,0,変更,名詞,サ変接続,*,*,変更,36
33,0,制御構造,名詞,固有名詞,一般,*,制御構造,41
34,0,振動,名詞,サ変接続,*,*,振動,36
35,0,連,名詞,一般,*,*,連,38
36,0,成,名詞,固有名詞,地域,一般,成,46
38,0,膜,名詞,一般,*,*,膜,38
39,0,面,名詞,接尾,一般,*,面,51
40,0,宇宙,名詞,一般,*,*,宇宙,38
41,0,構造物,名詞,固有名詞,地域,一般,構造物,46
43,0,構造,名詞,一般,*,*,構造,38
44,0,動力学,名詞,固有名詞,一般,*,動力学,41
45,0,作用,名詞,サ変接続,*,*,作用,36
46,0,圏,名詞,接尾,一般,*,圏,51
48,0,法月,名詞,固有名詞,人名,姓,法月,43
50,0,惑星,名詞,一般,*,*,惑星,38
51,0,間,名詞,接尾,一般,*,間,51
52,0,航行,名詞,サ変接続,*,*,航行,36
53,0,軌道,名詞,一般,*,*,軌道,38
56,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
57,0,座標,名詞,一般,*,*,座標,38
58,0,変換,名詞,サ変接続,*,*,変換,36
59,0,姿勢,名詞,一般,*,*,姿勢,38
60,0,表現,名詞,サ変接続,*,*,表現,36
62,0,運動学,名詞,固有名詞,一般,*,運動学,41
64,0,動力学,名詞,固有名詞,一般,*,動力学,41
65,0,外乱,名詞,一般,*,*,外乱,38
67,0,重力,名詞,一般,*,*,重力,38
68,0,傾斜,名詞,サ変接続,*,*,傾斜,36
69,0,安定,名詞,形容動詞語幹,*,*,安定,40
71,0,軸,名詞,一般,*,*,軸,38
72,0,姿勢制御,名詞,固有名詞,一般,*,姿勢制御,41
73,0,衛星,名詞,一般,*,*,衛星,38
75,0,制御,名詞,サ変接続,*,*,制御,36
76,0,姿勢,名詞,一般,*,*,姿勢,38
77,0,変更,名詞,サ変接続,*,*,変更,36
78,0,制御構造,名詞,固有名詞,一般,*,制御構造,41
79,0,振動,名詞,サ変接続,*,*,振動,36
80,0,連,名詞,一般,*,*,連,38
81,0,成,名詞,固有名詞,地域,一般,成,46
83,0,膜,名詞,一般,*,*,膜,38
84,0,面,名詞,接尾,一般,*,面,51
85,0,宇宙,名詞,一般,*,*,宇宙,38
86,0,構造物,名詞,固有名詞,地域,一般,構造物,46
88,0,構造,名詞,一般,*,*,構造,38
89,0,動力学,名詞,固有名詞,一般,*,動力学,41
90,0,作用,名詞,サ変接続,*,*,作用,36
91,0,圏,名詞,接尾,一般,*,圏,51
93,0,法月,名詞,固有名詞,人名,姓,法月,43
95,0,惑星,名詞,一般,*,*,惑星,38
96,0,間,名詞,接尾,一般,*,間,51
97,0,航行,名詞,サ変接続,*,*,航行,36
98,0,軌道,名詞,一般,*,*,軌道,38
101,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
102,0,座標,名詞,一般,*,*,座標,38
103,0,変換,名詞,サ変接続,*,*,変換,36
104,0,姿勢,名詞,一般,*,*,姿勢,38
105,0,表現,名詞,サ変接続,*,*,表現,36
107,0,運動学,名詞,固有名詞,一般,*,運動学,41
109,0,動力学,名詞,固有名詞,一般,*,動力学,41
110,0,外乱,名詞,一般,*,*,外乱,38
112,0,重力,名詞,一般,*,*,重力,38
