,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,宇宙,名詞,一般,*,*,宇宙,38
1,0,ミッション,名詞,一般,*,*,ミッション,38
3,0,必要,名詞,形容動詞語幹,*,*,必要,40
5,0,宇宙機,名詞,固有名詞,一般,*,宇宙機,41
6,0,システム,名詞,一般,*,*,システム,38
8,0,概念,名詞,一般,*,*,概念,38
9,0,設計,名詞,サ変接続,*,*,設計,36
11,0,行える,動詞,自立,*,*,行える,31
12,0,レベル,名詞,一般,*,*,レベル,38
14,0,目指す,動詞,自立,*,*,目指す,31
20,0,宇宙開発,名詞,固有名詞,一般,*,宇宙開発,41
22,0,携わる,動詞,自立,*,*,携わる,31
25,0,宇宙機,名詞,固有名詞,一般,*,宇宙機,41
27,0,詳細,名詞,形容動詞語幹,*,*,詳細,40
28,0,設計,名詞,サ変接続,*,*,設計,36
30,0,製作,名詞,サ変接続,*,*,製作,36
32,0,試験,名詞,サ変接続,*,*,試験,36
33,0,等,名詞,接尾,一般,*,等,51
35,0,技術,名詞,一般,*,*,技術,38
37,0,理解,名詞,サ変接続,*,*,理解,36
39,0,必要,名詞,形容動詞語幹,*,*,必要,40
41,0,ある,動詞,自立,*,*,ある,31
45,0,宇宙,名詞,一般,*,*,宇宙,38
46,0,システム,名詞,一般,*,*,システム,38
48,0,概要,名詞,一般,*,*,概要,38
51,0,宇宙,名詞,一般,*,*,宇宙,38
52,0,システム,名詞,一般,*,*,システム,38
54,0,開発,名詞,サ変接続,*,*,開発,36
56,0,運用,名詞,サ変接続,*,*,運用,36
60,0,必要,名詞,形容動詞語幹,*,*,必要,40
62,0,要素,名詞,一般,*,*,要素,38
63,0,技術,名詞,一般,*,*,技術,38
65,0,システム,名詞,一般,*,*,システム,38
66,0,技術,名詞,一般,*,*,技術,38
69,0,システムズ,名詞,一般,*,*,システムズ,38
70,0,エンジニアリング,名詞,一般,*,*,エンジニアリング,38
72,0,プロジェクトマネジメント,名詞,固有名詞,一般,*,プロジェクトマネジメント,41
74,0,安全,名詞,形容動詞語幹,*,*,安全,40
76,0,ミッション,名詞,一般,*,*,ミッション,38
77,0,保証,名詞,サ変接続,*,*,保証,36
78,0,等,名詞,接尾,一般,*,等,51
80,0,エンジニアリング,名詞,一般,*,*,エンジニアリング,38
81,0,マネジメント,名詞,一般,*,*,マネジメント,38
82,0,手法,名詞,一般,*,*,手法,38
84,0,詳述,名詞,サ変接続,*,*,詳述,36
89,0,宇宙,名詞,一般,*,*,宇宙,38
90,0,ミッション,名詞,一般,*,*,ミッション,38
92,0,必要,名詞,形容動詞語幹,*,*,必要,40
94,0,宇宙機,名詞,固有名詞,一般,*,宇宙機,41
95,0,システム,名詞,一般,*,*,システム,38
97,0,概念,名詞,一般,*,*,概念,38
98,0,設計,名詞,サ変接続,*,*,設計,36
100,0,行える,動詞,自立,*,*,行える,31
101,0,レベル,名詞,一般,*,*,レベル,38
103,0,目指す,動詞,自立,*,*,目指す,31
109,0,宇宙開発,名詞,固有名詞,一般,*,宇宙開発,41
111,0,携わる,動詞,自立,*,*,携わる,31
114,0,宇宙機,名詞,固有名詞,一般,*,宇宙機,41
116,0,詳細,名詞,形容動詞語幹,*,*,詳細,40
117,0,設計,名詞,サ変接続,*,*,設計,36
119,0,製作,名詞,サ変接続,*,*,製作,36
121,0,試験,名詞,サ変接続,*,*,試験,36
122,0,等,名詞,接尾,一般,*,等,51
124,0,技術,名詞,一般,*,*,技術,38
126,0,理解,名詞,サ変接続,*,*,理解,36
128,0,必要,名詞,形容動詞語幹,*,*,必要,40
130,0,ある,動詞,自立,*,*,ある,31
133,0,科目,名詞,一般,*,*,科目,38
136,0,学習,名詞,サ変接続,*,*,学習,36
137,0,目標,名詞,一般,*,*,目標,38
142,0,専門,名詞,一般,*,*,専門,38
143,0,力,名詞,接尾,一般,*,力,51
145,0,基盤,名詞,一般,*,*,基盤,38
146,0,的,名詞,接尾,形容動詞語幹,*,的,52
148,0,専門,名詞,一般,*,*,専門,38
149,0,力,名詞,接尾,一般,*,力,51
153,0,展開,名詞,サ変接続,*,*,展開,36
154,0,力,名詞,接尾,一般,*,力,51
157,0,実践,名詞,サ変接続,*,*,実践,36
158,0,力,名詞,接尾,一般,*,力,51
160,0,解決,名詞,サ変接続,*,*,解決,36
161,0,力,名詞,接尾,一般,*,力,51
163,0,基本,名詞,一般,*,*,基本,38
164,0,的,名詞,接尾,形容動詞語幹,*,的,52
166,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
168,0,解決,名詞,サ変接続,*,*,解決,36
169,0,できる,動詞,自立,*,*,できる,31
170,0,力,名詞,一般,*,*,力,38
172,0,修得,名詞,サ変接続,*,*,修得,36
174,0,対応,名詞,サ変接続,*,*,対応,36
177,0,宇宙,名詞,一般,*,*,宇宙,38
178,0,ミッション,名詞,一般,*,*,ミッション,38
180,0,必要,名詞,形容動詞語幹,*,*,必要,40
182,0,宇宙機,名詞,固有名詞,一般,*,宇宙機,41
183,0,システム,名詞,一般,*,*,システム,38
185,0,概念,名詞,一般,*,*,概念,38
186,0,設計,名詞,サ変接続,*,*,設計,36
188,0,行,名詞,一般,*,*,行,38
189,0,なえる,動詞,自立,*,*,なえる,31
190,0,レベル,名詞,一般,*,*,レベル,38
192,0,目指す,動詞,自立,*,*,目指す,31
198,0,宇宙開発,名詞,固有名詞,一般,*,宇宙開発,41
200,0,携わる,動詞,自立,*,*,携わる,31
203,0,宇宙機,名詞,固有名詞,一般,*,宇宙機,41
205,0,詳細,名詞,形容動詞語幹,*,*,詳細,40
206,0,設計,名詞,サ変接続,*,*,設計,36
208,0,製作,名詞,サ変接続,*,*,製作,36
210,0,試験,名詞,サ変接続,*,*,試験,36
211,0,等,名詞,接尾,一般,*,等,51
213,0,技術,名詞,一般,*,*,技術,38
215,0,体得,名詞,サ変接続,*,*,体得,36
217,0,必要,名詞,形容動詞語幹,*,*,必要,40
219,0,ある,動詞,自立,*,*,ある,31
224,0,宇宙,名詞,一般,*,*,宇宙,38
225,0,システム,名詞,一般,*,*,システム,38
226,0,アナリシス,名詞,一般,*,*,アナリシス,38
228,0,宇宙,名詞,一般,*,*,宇宙,38
229,0,システム,名詞,一般,*,*,システム,38
230,0,利用,名詞,サ変接続,*,*,利用,36
232,0,宇宙,名詞,一般,*,*,宇宙,38
233,0,システム,名詞,一般,*,*,システム,38
234,0,応用,名詞,サ変接続,*,*,応用,36
235,0,等,名詞,接尾,一般,*,等,51
237,0,受講,名詞,サ変接続,*,*,受講,36
239,0,必要,名詞,形容動詞語幹,*,*,必要,40
243,0,宇宙,名詞,一般,*,*,宇宙,38
244,0,ミッション,名詞,一般,*,*,ミッション,38
246,0,必要,名詞,形容動詞語幹,*,*,必要,40
248,0,宇宙機,名詞,固有名詞,一般,*,宇宙機,41
249,0,システム,名詞,一般,*,*,システム,38
251,0,概念,名詞,一般,*,*,概念,38
252,0,設計,名詞,サ変接続,*,*,設計,36
254,0,行,名詞,一般,*,*,行,38
255,0,なえる,動詞,自立,*,*,なえる,31
256,0,レベル,名詞,一般,*,*,レベル,38
258,0,目指す,動詞,自立,*,*,目指す,31
264,0,宇宙開発,名詞,固有名詞,一般,*,宇宙開発,41
266,0,携わる,動詞,自立,*,*,携わる,31
269,0,宇宙機,名詞,固有名詞,一般,*,宇宙機,41
271,0,詳細,名詞,形容動詞語幹,*,*,詳細,40
272,0,設計,名詞,サ変接続,*,*,設計,36
274,0,製作,名詞,サ変接続,*,*,製作,36
276,0,試験,名詞,サ変接続,*,*,試験,36
277,0,等,名詞,接尾,一般,*,等,51
279,0,技術,名詞,一般,*,*,技術,38
281,0,体得,名詞,サ変接続,*,*,体得,36
283,0,必要,名詞,形容動詞語幹,*,*,必要,40
285,0,ある,動詞,自立,*,*,ある,31
290,0,宇宙,名詞,一般,*,*,宇宙,38
