,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,機械,名詞,一般,*,*,機械,38
1,0,系,名詞,接尾,一般,*,系,51
2,0,基礎,名詞,一般,*,*,基礎,38
3,0,実験,名詞,サ変接続,*,*,実験,36
5,0,機械,名詞,一般,*,*,機械,38
6,0,系,名詞,接尾,一般,*,系,51
7,0,基礎,名詞,一般,*,*,基礎,38
8,0,実験,名詞,サ変接続,*,*,実験,36
10,0,機械,名詞,一般,*,*,機械,38
11,0,系,名詞,接尾,一般,*,系,51
12,0,基礎,名詞,一般,*,*,基礎,38
13,0,実験,名詞,サ変接続,*,*,実験,36
15,0,機械,名詞,一般,*,*,機械,38
16,0,系,名詞,接尾,一般,*,系,51
17,0,基礎,名詞,一般,*,*,基礎,38
18,0,実験,名詞,サ変接続,*,*,実験,36
20,0,機械,名詞,一般,*,*,機械,38
21,0,系,名詞,接尾,一般,*,系,51
22,0,基礎,名詞,一般,*,*,基礎,38
23,0,実験,名詞,サ変接続,*,*,実験,36
25,0,機械,名詞,一般,*,*,機械,38
26,0,系,名詞,接尾,一般,*,系,51
27,0,基礎,名詞,一般,*,*,基礎,38
28,0,実験,名詞,サ変接続,*,*,実験,36
30,0,機械,名詞,一般,*,*,機械,38
31,0,系,名詞,接尾,一般,*,系,51
32,0,基礎,名詞,一般,*,*,基礎,38
33,0,実験,名詞,サ変接続,*,*,実験,36
35,0,機械,名詞,一般,*,*,機械,38
36,0,系,名詞,接尾,一般,*,系,51
37,0,基礎,名詞,一般,*,*,基礎,38
38,0,実験,名詞,サ変接続,*,*,実験,36
40,0,機械,名詞,一般,*,*,機械,38
41,0,系,名詞,接尾,一般,*,系,51
42,0,基礎,名詞,一般,*,*,基礎,38
43,0,実験,名詞,サ変接続,*,*,実験,36
45,0,機械,名詞,一般,*,*,機械,38
46,0,系,名詞,接尾,一般,*,系,51
47,0,基礎,名詞,一般,*,*,基礎,38
48,0,実験,名詞,サ変接続,*,*,実験,36
50,0,機械,名詞,一般,*,*,機械,38
51,0,系,名詞,接尾,一般,*,系,51
52,0,基礎,名詞,一般,*,*,基礎,38
53,0,実験,名詞,サ変接続,*,*,実験,36
