,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,可逆元,名詞,固有名詞,一般,*,可逆元,41
3,0,因子,名詞,一般,*,*,因子,38
10,0,整域,名詞,固有名詞,一般,*,整域,41
11,0,講義,名詞,サ変接続,*,*,講義,36
14,0,指示,名詞,サ変接続,*,*,指示,36
21,0,講義,名詞,サ変接続,*,*,講義,36
22,0,内容,名詞,一般,*,*,内容,38
24,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
25,0,演習,名詞,サ変接続,*,*,演習,36
26,0,イデアル,名詞,形容動詞語幹,*,*,イデアル,40
28,0,単項,名詞,一般,*,*,単項,38
29,0,イデアル,名詞,固有名詞,一般,*,idealIdeal,41
34,0,講義,名詞,サ変接続,*,*,講義,36
35,0,内容,名詞,一般,*,*,内容,38
37,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
38,0,演習,名詞,サ変接続,*,*,演習,36
39,0,素,名詞,一般,*,*,素,38
40,0,イデアル,名詞,固有名詞,一般,*,idealIdeal,41
42,0,極大,名詞,一般,*,*,極大,38
43,0,イデアル,名詞,形容動詞語幹,*,*,イデアル,40
45,0,剰余環,名詞,固有名詞,一般,*,剰余環,41
50,0,講義,名詞,サ変接続,*,*,講義,36
51,0,内容,名詞,一般,*,*,内容,38
53,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
54,0,演習,名詞,サ変接続,*,*,演習,36
55,0,準同型定理,名詞,固有名詞,一般,*,準同型定理,41
57,0,中国,名詞,固有名詞,地域,国,中国,47
58,0,剰余,名詞,一般,*,*,剰余,38
59,0,定理,名詞,一般,*,*,定理,38
64,0,講義,名詞,サ変接続,*,*,講義,36
65,0,内容,名詞,一般,*,*,内容,38
67,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
68,0,演習,名詞,サ変接続,*,*,演習,36
69,0,ユークリッド,名詞,固有名詞,人名,姓,ユークリッド,43
70,0,整,名詞,固有名詞,人名,名,整,44
71,0,域,名詞,接尾,一般,*,域,51
76,0,講義,名詞,サ変接続,*,*,講義,36
77,0,内容,名詞,一般,*,*,内容,38
79,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
80,0,演習,名詞,サ変接続,*,*,演習,36
81,0,単項イデアル整域,名詞,固有名詞,一般,*,単項イデアル整域,41
86,0,講義,名詞,サ変接続,*,*,講義,36
87,0,内容,名詞,一般,*,*,内容,38
89,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
90,0,演習,名詞,サ変接続,*,*,演習,36
91,0,一意分解環,名詞,固有名詞,一般,*,一意分解環,41
93,0,素,名詞,一般,*,*,素,38
94,0,元,名詞,接尾,一般,*,元,51
96,0,既,名詞,一般,*,*,既,38
103,0,講義,名詞,サ変接続,*,*,講義,36
104,0,内容,名詞,一般,*,*,内容,38
106,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
107,0,演習,名詞,サ変接続,*,*,演習,36
108,0,可逆元,名詞,固有名詞,一般,*,可逆元,41
111,0,因子,名詞,一般,*,*,因子,38
118,0,整域,名詞,固有名詞,一般,*,整域,41
119,0,講義,名詞,サ変接続,*,*,講義,36
122,0,指示,名詞,サ変接続,*,*,指示,36
129,0,講義,名詞,サ変接続,*,*,講義,36
130,0,内容,名詞,一般,*,*,内容,38
132,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
133,0,演習,名詞,サ変接続,*,*,演習,36
134,0,イデアル,名詞,形容動詞語幹,*,*,イデアル,40
136,0,単項,名詞,一般,*,*,単項,38
137,0,イデアル,名詞,固有名詞,一般,*,idealIdeal,41
142,0,講義,名詞,サ変接続,*,*,講義,36
