,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,ユークリッド,名詞,固有名詞,人名,姓,ユークリッド,43
1,0,空間,名詞,一般,*,*,空間,38
3,0,平面曲線,名詞,固有名詞,一般,*,平面曲線,41
5,0,基本,名詞,一般,*,*,基本,38
6,0,定理,名詞,一般,*,*,定理,38
7,0,講義,名詞,サ変接続,*,*,講義,36
10,0,指示,名詞,サ変接続,*,*,指示,36
13,0,曲線,名詞,一般,*,*,曲線,38
15,0,パラメータ,名詞,一般,*,*,パラメータ,38
16,0,表示,名詞,サ変接続,*,*,表示,36
18,0,弧長,名詞,固有名詞,一般,*,弧長,41
19,0,曲率,名詞,固有名詞,一般,*,曲率,41
22,0,閉曲線,名詞,一般,*,*,閉曲線,38
25,0,公式,名詞,形容動詞語幹,*,*,公式,40
26,0,空間,名詞,一般,*,*,空間,38
27,0,曲線,名詞,一般,*,*,曲線,38
29,0,基本,名詞,一般,*,*,基本,38
30,0,定理,名詞,一般,*,*,定理,38
31,0,陰,名詞,一般,*,*,陰,38
32,0,関数,名詞,一般,*,*,関数,38
33,0,定理,名詞,一般,*,*,定理,38
34,0,理解,名詞,サ変接続,*,*,理解,36
35,0,確認,名詞,サ変接続,*,*,確認,36
36,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
39,0,ユークリッド,名詞,固有名詞,人名,姓,ユークリッド,43
40,0,空間,名詞,一般,*,*,空間,38
42,0,合同,名詞,サ変接続,*,*,合同,36
43,0,変換,名詞,サ変接続,*,*,変換,36
44,0,線形代数学,名詞,固有名詞,一般,*,線形代数学,41
46,0,学ん,動詞,自立,*,*,学ぶ,31
49,0,直交,名詞,サ変接続,*,*,直交,36
50,0,行列,名詞,サ変接続,*,*,行列,36
54,0,周辺,名詞,一般,*,*,周辺,38
56,0,事項,名詞,一般,*,*,事項,38
58,0,思い出し,動詞,自立,*,*,思い出す,31
63,1,関連,名詞,サ変接続,*,*,関連,36
67,1,講義,名詞,サ変接続,*,*,講義,36
70,1,指示,名詞,サ変接続,*,*,指示,36
73,1,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
76,1,テイラーの定理,名詞,固有名詞,一般,*,テイラーの定理,41
78,1,陰,名詞,一般,*,*,陰,38
79,1,関数,名詞,一般,*,*,関数,38
80,1,定理,名詞,一般,*,*,定理,38
82,1,線形,名詞,一般,*,*,線形,38
83,1,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
85,1,基本,名詞,一般,*,*,基本,38
86,1,定理,名詞,一般,*,*,定理,38
87,1,微分積分学,名詞,固有名詞,一般,*,微分積分学,41
89,1,学ん,動詞,自立,*,*,学ぶ,31
92,1,テイラーの定理,名詞,固有名詞,一般,*,テイラーの定理,41
96,1,周辺,名詞,一般,*,*,周辺,38
98,1,事項,名詞,一般,*,*,事項,38
100,1,思い出し,動詞,自立,*,*,思い出す,31
105,2,関連,名詞,サ変接続,*,*,関連,36
109,2,講義,名詞,サ変接続,*,*,講義,36
112,2,指示,名詞,サ変接続,*,*,指示,36
115,3,平面曲線,名詞,固有名詞,一般,*,平面曲線,41
117,3,パラメータ,名詞,一般,*,*,パラメータ,38
118,3,表示,名詞,サ変接続,*,*,表示,36
120,3,パラメータ,名詞,一般,*,*,パラメータ,38
121,3,変換,名詞,サ変接続,*,*,変換,36
123,3,弧長,名詞,固有名詞,一般,*,弧長,41
124,3,講義,名詞,サ変接続,*,*,講義,36
127,3,指示,名詞,サ変接続,*,*,指示,36
130,3,弧長,名詞,固有名詞,一般,*,弧長,41
131,3,パラメータ,名詞,一般,*,*,パラメータ,38
133,3,曲率,名詞,固有名詞,一般,*,曲率,41
135,3,フルネ,名詞,固有名詞,人名,一般,フルネ,42
137,3,公式,名詞,形容動詞語幹,*,*,公式,40
138,3,平面曲線,名詞,固有名詞,一般,*,平面曲線,41
140,3,基本,名詞,一般,*,*,基本,38
141,3,定理,名詞,一般,*,*,定理,38
143,3,曲率,名詞,固有名詞,一般,*,曲率,41
145,3,幾何学,名詞,固有名詞,一般,*,幾何学,41
146,3,的,名詞,接尾,形容動詞語幹,*,的,52
147,3,意味,名詞,サ変接続,*,*,意味,36
148,3,平面,名詞,一般,*,*,平面,38
149,3,閉曲線,名詞,一般,*,*,閉曲線,38
151,3,全曲,名詞,一般,*,*,全曲,38
152,3,率,名詞,接尾,一般,*,率,51
154,3,回転数,名詞,固有名詞,一般,*,回転数,41
155,3,空間,名詞,一般,*,*,空間,38
156,3,曲線,名詞,一般,*,*,曲線,38
158,3,曲率,名詞,固有名詞,一般,*,曲率,41
160,3,捩,動詞,自立,*,*,捩る,31
161,3,率,名詞,接尾,一般,*,率,51
163,3,空間,名詞,一般,*,*,空間,38
164,3,曲線,名詞,一般,*,*,曲線,38
