,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,微分形式,名詞,固有名詞,一般,*,微分形式,41
3,0,定義,名詞,サ変接続,*,*,定義,36
5,0,理解,名詞,サ変接続,*,*,理解,36
9,0,外微分,名詞,固有名詞,一般,*,外微分,41
11,0,計算,名詞,サ変接続,*,*,計算,36
13,0,慣れる,動詞,自立,*,*,慣れる,31
18,0,コホモロジー,名詞,固有名詞,一般,*,コホモロジー,41
20,0,定義,名詞,サ変接続,*,*,定義,36
22,0,理解,名詞,サ変接続,*,*,理解,36
26,0,ストークスの定理,名詞,固有名詞,一般,*,ストークスの定理,41
28,0,使える,動詞,自立,*,*,使える,31
31,0,なる,動詞,自立,*,*,なる,31
34,0,微分形式,名詞,固有名詞,一般,*,微分形式,41
36,0,定義,名詞,サ変接続,*,*,定義,36
38,0,理解,名詞,サ変接続,*,*,理解,36
43,0,外微分,名詞,固有名詞,一般,*,外微分,41
45,0,計算,名詞,サ変接続,*,*,計算,36
47,0,慣れる,動詞,自立,*,*,慣れる,31
53,0,コホモロジー,名詞,固有名詞,一般,*,コホモロジー,41
55,0,定義,名詞,サ変接続,*,*,定義,36
57,0,理解,名詞,サ変接続,*,*,理解,36
62,0,ストークスの定理,名詞,固有名詞,一般,*,ストークスの定理,41
64,0,使える,動詞,自立,*,*,使える,31
67,0,なる,動詞,自立,*,*,なる,31
71,0,微分形式,名詞,固有名詞,一般,*,微分形式,41
73,0,定義,名詞,サ変接続,*,*,定義,36
75,0,理解,名詞,サ変接続,*,*,理解,36
80,0,外微分,名詞,固有名詞,一般,*,外微分,41
82,0,計算,名詞,サ変接続,*,*,計算,36
84,0,慣れる,動詞,自立,*,*,慣れる,31
90,0,コホモロジー,名詞,固有名詞,一般,*,コホモロジー,41
92,0,定義,名詞,サ変接続,*,*,定義,36
94,0,理解,名詞,サ変接続,*,*,理解,36
99,0,ストークスの定理,名詞,固有名詞,一般,*,ストークスの定理,41
101,0,使える,動詞,自立,*,*,使える,31
104,0,なる,動詞,自立,*,*,なる,31
108,0,微分形式,名詞,固有名詞,一般,*,微分形式,41
110,0,定義,名詞,サ変接続,*,*,定義,36
112,0,理解,名詞,サ変接続,*,*,理解,36
117,0,外微分,名詞,固有名詞,一般,*,外微分,41
119,0,計算,名詞,サ変接続,*,*,計算,36
121,0,慣れる,動詞,自立,*,*,慣れる,31
127,0,コホモロジー,名詞,固有名詞,一般,*,コホモロジー,41
129,0,定義,名詞,サ変接続,*,*,定義,36
131,0,理解,名詞,サ変接続,*,*,理解,36
136,0,ストークスの定理,名詞,固有名詞,一般,*,ストークスの定理,41
138,0,使える,動詞,自立,*,*,使える,31
141,0,なる,動詞,自立,*,*,なる,31
145,0,微分形式,名詞,固有名詞,一般,*,微分形式,41
147,0,定義,名詞,サ変接続,*,*,定義,36
149,0,理解,名詞,サ変接続,*,*,理解,36
154,0,外微分,名詞,固有名詞,一般,*,外微分,41
156,0,計算,名詞,サ変接続,*,*,計算,36
158,0,慣れる,動詞,自立,*,*,慣れる,31
164,0,コホモロジー,名詞,固有名詞,一般,*,コホモロジー,41
166,0,定義,名詞,サ変接続,*,*,定義,36
168,0,理解,名詞,サ変接続,*,*,理解,36
173,0,ストークスの定理,名詞,固有名詞,一般,*,ストークスの定理,41
175,0,使える,動詞,自立,*,*,使える,31
178,0,なる,動詞,自立,*,*,なる,31
