,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,実数,名詞,一般,*,*,実数,38
2,0,連続,名詞,サ変接続,*,*,連続,36
3,0,性,名詞,接尾,一般,*,性,51
5,0,上限,名詞,一般,*,*,上限,38
7,0,下限,名詞,一般,*,*,下限,38
8,0,講義,名詞,サ変接続,*,*,講義,36
11,0,指示,名詞,サ変接続,*,*,指示,36
15,0,1回,名詞,固有名詞,一般,*,1回,41
17,0,講義,名詞,サ変接続,*,*,講義,36
18,0,内容,名詞,一般,*,*,内容,38
20,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
21,0,演習,名詞,サ変接続,*,*,演習,36
22,0,数列,名詞,一般,*,*,数列,38
24,0,極限,名詞,一般,*,*,極限,38
26,0,コーシー列,名詞,固有名詞,一般,*,コーシー列,41
28,0,3回,名詞,固有名詞,一般,*,3回,41
30,0,講義,名詞,サ変接続,*,*,講義,36
31,0,内容,名詞,一般,*,*,内容,38
33,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
34,0,演習,名詞,サ変接続,*,*,演習,36
35,0,級数,名詞,一般,*,*,級数,38
37,0,収束,名詞,サ変接続,*,*,収束,36
39,0,無限,名詞,一般,*,*,無限,38
40,0,和,名詞,一般,*,*,和,38
42,0,順序,名詞,一般,*,*,順序,38
43,0,交換,名詞,サ変接続,*,*,交換,36
45,0,5回,名詞,固有名詞,一般,*,5回,41
47,0,講義,名詞,サ変接続,*,*,講義,36
48,0,内容,名詞,一般,*,*,内容,38
50,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
51,0,演習,名詞,サ変接続,*,*,演習,36
52,0,関数の極限,名詞,固有名詞,一般,*,関数の極限,41
54,0,連続,名詞,サ変接続,*,*,連続,36
55,0,性,名詞,接尾,一般,*,性,51
57,0,7回,名詞,固有名詞,一般,*,7回,41
59,0,講義,名詞,サ変接続,*,*,講義,36
60,0,内容,名詞,一般,*,*,内容,38
62,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
63,0,演習,名詞,サ変接続,*,*,演習,36
64,0,連続関数,名詞,固有名詞,一般,*,連続関数,41
66,0,性質,名詞,一般,*,*,性質,38
68,1,9回,名詞,固有名詞,一般,*,9回,41
70,1,講義,名詞,サ変接続,*,*,講義,36
71,1,内容,名詞,一般,*,*,内容,38
73,1,問題,名詞,ナイ形容詞語幹,*,*,問題,37
74,1,演習,名詞,サ変接続,*,*,演習,36
75,2,微分可能性,名詞,固有名詞,一般,*,微分可能性,41
77,2,ロルの定理,名詞,固有名詞,一般,*,ロルの定理,41
79,2,平均値の定理,名詞,固有名詞,一般,*,平均値の定理,41
81,3,11回,名詞,固有名詞,一般,*,11回,41
83,3,講義,名詞,サ変接続,*,*,講義,36
84,3,内容,名詞,一般,*,*,内容,38
86,3,問題,名詞,ナイ形容詞語幹,*,*,問題,37
87,3,演習,名詞,サ変接続,*,*,演習,36
88,4,高階,名詞,固有名詞,人名,姓,高階,43
89,4,微分,名詞,サ変接続,*,*,微分,36
