,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,解析,名詞,サ変接続,*,*,解析,36
1,0,概論,名詞,サ変接続,*,*,概論,36
4,0,解析,名詞,サ変接続,*,*,解析,36
5,0,概論,名詞,サ変接続,*,*,概論,36
8,0,複素解析,名詞,固有名詞,一般,*,複素解析,41
11,0,解析,名詞,サ変接続,*,*,解析,36
12,0,概論,名詞,サ変接続,*,*,概論,36
15,0,解析,名詞,サ変接続,*,*,解析,36
16,0,概論,名詞,サ変接続,*,*,概論,36
19,0,複素解析,名詞,固有名詞,一般,*,複素解析,41
22,0,解析,名詞,サ変接続,*,*,解析,36
23,0,概論,名詞,サ変接続,*,*,概論,36
26,0,解析,名詞,サ変接続,*,*,解析,36
27,0,概論,名詞,サ変接続,*,*,概論,36
30,0,複素解析,名詞,固有名詞,一般,*,複素解析,41
33,0,解析,名詞,サ変接続,*,*,解析,36
34,0,概論,名詞,サ変接続,*,*,概論,36
37,0,解析,名詞,サ変接続,*,*,解析,36
38,0,概論,名詞,サ変接続,*,*,概論,36
