,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,結晶構造,名詞,固有名詞,一般,*,結晶構造,41
2,0,基本,名詞,一般,*,*,基本,38
3,0,並進,名詞,サ変接続,*,*,並進,36
4,0,ベクトル,名詞,一般,*,*,ベクトル,38
5,0,結晶,名詞,サ変接続,*,*,結晶,36
6,0,構造,名詞,一般,*,*,構造,38
8,0,基本,名詞,一般,*,*,基本,38
9,0,並進,名詞,サ変接続,*,*,並進,36
10,0,ベクトル,名詞,一般,*,*,ベクトル,38
12,0,説明,名詞,サ変接続,*,*,説明,36
13,0,逆格子ベクトル,名詞,固有名詞,一般,*,逆格子ベクトル,41
15,0,ブリ,名詞,一般,*,*,ブリ,38
16,0,ルアン,名詞,固有名詞,地域,一般,ルアン,46
17,0,ゾーン,名詞,一般,*,*,ゾーン,38
18,0,逆格子ベクトル,名詞,固有名詞,一般,*,逆格子ベクトル,41
20,0,ブリ,名詞,一般,*,*,ブリ,38
21,0,ルアン,名詞,固有名詞,地域,一般,ルアン,46
22,0,ゾーン,名詞,一般,*,*,ゾーン,38
24,0,説明,名詞,サ変接続,*,*,説明,36
25,0,逆格子ベクトル,名詞,固有名詞,一般,*,逆格子ベクトル,41
27,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
28,0,逆格子ベクトル,名詞,固有名詞,一般,*,逆格子ベクトル,41
30,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
32,0,説明,名詞,サ変接続,*,*,説明,36
33,0,主要,名詞,形容動詞語幹,*,*,主要,40
36,0,格子,名詞,一般,*,*,格子,38
39,0,格子,名詞,一般,*,*,格子,38
40,0,主要,名詞,形容動詞語幹,*,*,主要,40
43,0,格子,名詞,一般,*,*,格子,38
46,0,格子,名詞,一般,*,*,格子,38
48,0,説明,名詞,サ変接続,*,*,説明,36
49,0,結晶,名詞,サ変接続,*,*,結晶,36
50,0,結合,名詞,サ変接続,*,*,結合,36
51,0,金属,名詞,一般,*,*,金属,38
53,0,共有結合結晶,名詞,固有名詞,一般,*,共有結合結晶,41
55,0,イオン,名詞,一般,*,*,イオン,38
56,0,結晶,名詞,サ変接続,*,*,結晶,36
58,0,ファン・デル・ワールス,名詞,固有名詞,一般,*,ファン・デル・ワールス,41
59,0,相互作用,名詞,固有名詞,一般,*,相互作用,41
61,0,水素結合,名詞,固有名詞,一般,*,水素結合,41
63,0,説明,名詞,サ変接続,*,*,説明,36
64,0,格子振動,名詞,固有名詞,一般,*,格子振動,41
66,0,格子振動,名詞,固有名詞,一般,*,格子振動,41
68,0,古典的,名詞,固有名詞,一般,*,古典的,41
69,0,扱い,名詞,サ変接続,*,*,扱い,36
71,0,量子化,名詞,固有名詞,一般,*,量子化,41
72,0,格子振動,名詞,固有名詞,一般,*,格子振動,41
74,0,古典的,名詞,固有名詞,一般,*,古典的,41
75,0,扱い,名詞,サ変接続,*,*,扱い,36
77,0,量子化,名詞,固有名詞,一般,*,量子化,41
79,0,説明,名詞,サ変接続,*,*,説明,36
