,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,到達,名詞,サ変接続,*,*,到達,36
2,0,目標,名詞,一般,*,*,目標,38
4,0,現代,名詞,一般,*,*,現代,38
5,0,物理学,名詞,固有名詞,一般,*,物理学,41
7,0,実験,名詞,サ変接続,*,*,実験,36
9,0,理論,名詞,一般,*,*,理論,38
11,0,並び,動詞,自立,*,*,並ぶ,31
12,0,主要,名詞,形容動詞語幹,*,*,主要,40
14,0,方法,名詞,一般,*,*,方法,38
16,0,なっ,動詞,自立,*,*,なる,31
19,0,数値,名詞,一般,*,*,数値,38
20,0,的,名詞,接尾,形容動詞語幹,*,的,52
22,0,手法,名詞,一般,*,*,手法,38
24,0,基礎,名詞,一般,*,*,基礎,38
26,0,学び,動詞,自立,*,*,学ぶ,31
30,0,プログラム,名詞,サ変接続,*,*,プログラム,36
31,0,作成,名詞,サ変接続,*,*,作成,36
33,0,応用,名詞,サ変接続,*,*,応用,36
35,0,力,名詞,一般,*,*,力,38
37,0,身,名詞,一般,*,*,身,38
39,0,つける,動詞,自立,*,*,つける,31
42,0,テーマ,名詞,一般,*,*,テーマ,38
44,0,プログラミング言語,名詞,固有名詞,一般,*,プログラミング言語,41
46,0,数値積分,名詞,固有名詞,一般,*,数値積分,41
48,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
50,0,数値,名詞,一般,*,*,数値,38
51,0,解法,名詞,一般,*,*,解法,38
53,0,データ処理,名詞,固有名詞,一般,*,データ処理,41
55,0,モンテカルロシミュレーション,名詞,固有名詞,一般,*,モンテカルロシミュレーション,41
57,0,テーマ,名詞,一般,*,*,テーマ,38
59,0,扱う,動詞,自立,*,*,扱う,31
62,0,到達,名詞,サ変接続,*,*,到達,36
63,0,目標,名詞,一般,*,*,目標,38
65,0,現代,名詞,一般,*,*,現代,38
66,0,物理学,名詞,固有名詞,一般,*,物理学,41
68,0,実験,名詞,サ変接続,*,*,実験,36
70,0,理論,名詞,一般,*,*,理論,38
72,0,並び,動詞,自立,*,*,並ぶ,31
73,0,主要,名詞,形容動詞語幹,*,*,主要,40
75,0,方法,名詞,一般,*,*,方法,38
77,0,なっ,動詞,自立,*,*,なる,31
80,0,数値,名詞,一般,*,*,数値,38
81,0,的,名詞,接尾,形容動詞語幹,*,的,52
83,0,手法,名詞,一般,*,*,手法,38
85,0,基礎,名詞,一般,*,*,基礎,38
87,0,学び,動詞,自立,*,*,学ぶ,31
91,0,プログラム,名詞,サ変接続,*,*,プログラム,36
92,0,作成,名詞,サ変接続,*,*,作成,36
94,0,応用,名詞,サ変接続,*,*,応用,36
96,0,力,名詞,一般,*,*,力,38
98,0,身,名詞,一般,*,*,身,38
100,0,つける,動詞,自立,*,*,つける,31
103,0,テーマ,名詞,一般,*,*,テーマ,38
105,0,プログラミング言語,名詞,固有名詞,一般,*,プログラミング言語,41
107,0,数値積分,名詞,固有名詞,一般,*,数値積分,41
109,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
111,0,数値,名詞,一般,*,*,数値,38
112,0,解法,名詞,一般,*,*,解法,38
114,0,データ処理,名詞,固有名詞,一般,*,データ処理,41
116,0,モンテカルロシミュレーション,名詞,固有名詞,一般,*,モンテカルロシミュレーション,41
118,0,テーマ,名詞,一般,*,*,テーマ,38
120,0,扱う,動詞,自立,*,*,扱う,31
