,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
1,0,ガンマ関数,名詞,固有名詞,一般,*,ガンマ関数,41
2,0,ルジャンドル,名詞,固有名詞,一般,*,ルジャンドル,41
3,0,関数,名詞,一般,*,*,関数,38
4,0,ベッセル関数,名詞,固有名詞,一般,*,ベッセル関数,41
5,0,エルミート,名詞,一般,*,*,エルミート,38
6,0,関数,名詞,一般,*,*,関数,38
8,0,関数,名詞,一般,*,*,関数,38
9,0,偏微分方程式,名詞,固有名詞,一般,*,偏微分方程式,41
10,0,グリーン関数,名詞,固有名詞,一般,*,グリーン関数,41
12,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
13,0,ラプラス変換,名詞,固有名詞,一般,*,ラプラス変換,41
14,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
15,0,ガンマ関数,名詞,固有名詞,一般,*,ガンマ関数,41
16,0,ルジャンドル,名詞,固有名詞,一般,*,ルジャンドル,41
17,0,関数,名詞,一般,*,*,関数,38
18,0,ベッセル関数,名詞,固有名詞,一般,*,ベッセル関数,41
19,0,エルミート,名詞,一般,*,*,エルミート,38
20,0,関数,名詞,一般,*,*,関数,38
22,0,関数,名詞,一般,*,*,関数,38
23,0,偏微分方程式,名詞,固有名詞,一般,*,偏微分方程式,41
24,0,グリーン関数,名詞,固有名詞,一般,*,グリーン関数,41
26,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
27,0,ラプラス変換,名詞,固有名詞,一般,*,ラプラス変換,41
