,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,量子力学,名詞,一般,*,*,量子力学,38
1,0,入門,名詞,サ変接続,*,*,入門,36
2,0,量子力学,名詞,一般,*,*,量子力学,38
3,0,入門,名詞,サ変接続,*,*,入門,36
4,0,量子力学,名詞,一般,*,*,量子力学,38
5,0,入門,名詞,サ変接続,*,*,入門,36
6,0,量子力学,名詞,一般,*,*,量子力学,38
7,0,入門,名詞,サ変接続,*,*,入門,36
8,0,量子力学,名詞,一般,*,*,量子力学,38
9,0,入門,名詞,サ変接続,*,*,入門,36
10,0,量子力学,名詞,一般,*,*,量子力学,38
11,0,入門,名詞,サ変接続,*,*,入門,36
12,0,量子力学,名詞,一般,*,*,量子力学,38
13,0,入門,名詞,サ変接続,*,*,入門,36
14,0,量子力学,名詞,一般,*,*,量子力学,38
15,0,入門,名詞,サ変接続,*,*,入門,36
16,0,量子力学,名詞,一般,*,*,量子力学,38
17,0,入門,名詞,サ変接続,*,*,入門,36
18,0,量子力学,名詞,一般,*,*,量子力学,38
19,0,入門,名詞,サ変接続,*,*,入門,36
20,0,量子力学,名詞,一般,*,*,量子力学,38
21,0,入門,名詞,サ変接続,*,*,入門,36
22,0,量子力学,名詞,一般,*,*,量子力学,38
23,0,入門,名詞,サ変接続,*,*,入門,36
24,0,量子力学,名詞,一般,*,*,量子力学,38
25,0,入門,名詞,サ変接続,*,*,入門,36
26,0,量子力学,名詞,一般,*,*,量子力学,38
27,0,入門,名詞,サ変接続,*,*,入門,36
28,0,量子力学,名詞,一般,*,*,量子力学,38
29,0,入門,名詞,サ変接続,*,*,入門,36
