,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,分布,名詞,サ変接続,*,*,分布,36
2,0,化学ポテンシャル,名詞,固有名詞,一般,*,化学ポテンシャル,41
3,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
4,0,ボーズ,名詞,固有名詞,一般,*,BO-SE,41
5,0,粒子,名詞,一般,*,*,粒子,38
6,0,ボーズ,名詞,固有名詞,一般,*,BO-SE,41
7,0,凝縮,名詞,サ変接続,*,*,凝縮,36
8,0,相転移,名詞,固有名詞,一般,*,相転移,41
9,0,臨界指数,名詞,固有名詞,一般,*,臨界指数,41
10,0,平均,名詞,サ変接続,*,*,平均,36
11,0,場,名詞,接尾,一般,*,場,51
12,0,理論,名詞,一般,*,*,理論,38
14,0,分布,名詞,サ変接続,*,*,分布,36
15,0,化学ポテンシャル,名詞,固有名詞,一般,*,化学ポテンシャル,41
16,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
17,0,ボーズ,名詞,固有名詞,一般,*,BO-SE,41
18,0,粒子,名詞,一般,*,*,粒子,38
19,0,ボーズ,名詞,固有名詞,一般,*,BO-SE,41
20,0,凝縮,名詞,サ変接続,*,*,凝縮,36
21,0,相転移,名詞,固有名詞,一般,*,相転移,41
22,0,臨界指数,名詞,固有名詞,一般,*,臨界指数,41
23,0,平均,名詞,サ変接続,*,*,平均,36
24,0,場,名詞,接尾,一般,*,場,51
25,0,理論,名詞,一般,*,*,理論,38
27,0,分布,名詞,サ変接続,*,*,分布,36
28,0,化学ポテンシャル,名詞,固有名詞,一般,*,化学ポテンシャル,41
29,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
30,0,ボーズ,名詞,固有名詞,一般,*,BO-SE,41
31,0,粒子,名詞,一般,*,*,粒子,38
32,0,ボーズ,名詞,固有名詞,一般,*,BO-SE,41
33,0,凝縮,名詞,サ変接続,*,*,凝縮,36
34,0,相転移,名詞,固有名詞,一般,*,相転移,41
35,0,臨界指数,名詞,固有名詞,一般,*,臨界指数,41
36,0,平均,名詞,サ変接続,*,*,平均,36
37,0,場,名詞,接尾,一般,*,場,51
38,0,理論,名詞,一般,*,*,理論,38
40,0,分布,名詞,サ変接続,*,*,分布,36
41,0,化学ポテンシャル,名詞,固有名詞,一般,*,化学ポテンシャル,41
42,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
43,0,ボーズ,名詞,固有名詞,一般,*,BO-SE,41
44,0,粒子,名詞,一般,*,*,粒子,38
45,0,ボーズ,名詞,固有名詞,一般,*,BO-SE,41
46,0,凝縮,名詞,サ変接続,*,*,凝縮,36
47,0,相転移,名詞,固有名詞,一般,*,相転移,41
48,0,臨界指数,名詞,固有名詞,一般,*,臨界指数,41
49,0,平均,名詞,サ変接続,*,*,平均,36
50,0,場,名詞,接尾,一般,*,場,51
51,0,理論,名詞,一般,*,*,理論,38
