,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,線形,名詞,一般,*,*,線形,38
1,0,システム,名詞,一般,*,*,システム,38
2,0,制御論,名詞,固有名詞,一般,*,制御論,41
4,0,SC,名詞,固有名詞,一般,*,SC,41
5,0,E.C,名詞,固有名詞,人名,一般,E.C,42
9,0,システム,名詞,一般,*,*,システム,38
10,0,モデリング,名詞,一般,*,*,モデリング,38
12,0,SC,名詞,固有名詞,一般,*,SC,41
13,0,E.C,名詞,固有名詞,人名,一般,E.C,42
17,0,ロバスト,名詞,固有名詞,一般,*,ロバスト,41
18,0,制御,名詞,サ変接続,*,*,制御,36
20,0,SC,名詞,固有名詞,一般,*,SC,41
21,0,E.C,名詞,固有名詞,人名,一般,E.C,42
24,0,線形,名詞,一般,*,*,線形,38
25,0,システム,名詞,一般,*,*,システム,38
26,0,制御論,名詞,固有名詞,一般,*,制御論,41
28,0,SC,名詞,固有名詞,一般,*,SC,41
29,0,E.C,名詞,固有名詞,人名,一般,E.C,42
33,0,システム,名詞,一般,*,*,システム,38
34,0,モデリング,名詞,一般,*,*,モデリング,38
36,0,SC,名詞,固有名詞,一般,*,SC,41
37,0,E.C,名詞,固有名詞,人名,一般,E.C,42
41,0,ロバスト,名詞,固有名詞,一般,*,ロバスト,41
42,0,制御,名詞,サ変接続,*,*,制御,36
44,0,SC,名詞,固有名詞,一般,*,SC,41
45,0,E.C,名詞,固有名詞,人名,一般,E.C,42
48,0,線形,名詞,一般,*,*,線形,38
49,0,システム,名詞,一般,*,*,システム,38
50,0,制御論,名詞,固有名詞,一般,*,制御論,41
52,0,SC,名詞,固有名詞,一般,*,SC,41
53,0,E.C,名詞,固有名詞,人名,一般,E.C,42
57,0,システム,名詞,一般,*,*,システム,38
58,0,モデリング,名詞,一般,*,*,モデリング,38
60,0,SC,名詞,固有名詞,一般,*,SC,41
61,0,E.C,名詞,固有名詞,人名,一般,E.C,42
65,0,ロバスト,名詞,固有名詞,一般,*,ロバスト,41
66,0,制御,名詞,サ変接続,*,*,制御,36
68,0,SC,名詞,固有名詞,一般,*,SC,41
69,0,E.C,名詞,固有名詞,人名,一般,E.C,42
72,0,線形,名詞,一般,*,*,線形,38
73,0,システム,名詞,一般,*,*,システム,38
74,0,制御論,名詞,固有名詞,一般,*,制御論,41
76,0,SC,名詞,固有名詞,一般,*,SC,41
77,0,E.C,名詞,固有名詞,人名,一般,E.C,42
81,0,システム,名詞,一般,*,*,システム,38
82,0,モデリング,名詞,一般,*,*,モデリング,38
84,0,SC,名詞,固有名詞,一般,*,SC,41
85,0,E.C,名詞,固有名詞,人名,一般,E.C,42
89,0,ロバスト,名詞,固有名詞,一般,*,ロバスト,41
90,0,制御,名詞,サ変接続,*,*,制御,36
92,0,SC,名詞,固有名詞,一般,*,SC,41
93,0,E.C,名詞,固有名詞,人名,一般,E.C,42
