,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,回路,名詞,一般,*,*,回路,38
1,0,素子,名詞,一般,*,*,素子,38
3,0,交流,名詞,サ変接続,*,*,交流,36
4,0,回路,名詞,一般,*,*,回路,38
5,0,交流,名詞,サ変接続,*,*,交流,36
6,0,回路,名詞,一般,*,*,回路,38
8,0,原理,名詞,一般,*,*,原理,38
10,0,理解,名詞,サ変接続,*,*,理解,36
11,0,実効値,名詞,固有名詞,一般,*,実効値,41
13,0,複素数,名詞,一般,*,*,複素数,38
15,0,フェ,感動詞,*,*,*,フェ,2
18,0,表示,名詞,サ変接続,*,*,表示,36
19,0,複素数,名詞,一般,*,*,複素数,38
21,0,扱い,名詞,サ変接続,*,*,扱い,36
23,0,理解,名詞,サ変接続,*,*,理解,36
24,0,インピーダンス,名詞,固有名詞,一般,*,インピーダンス,41
28,0,複素,名詞,一般,*,*,複素,38
29,0,電力,名詞,一般,*,*,電力,38
30,0,インピーダンス,名詞,固有名詞,一般,*,インピーダンス,41
32,0,表記,名詞,サ変接続,*,*,表記,36
33,0,方法,名詞,一般,*,*,方法,38
35,0,理解,名詞,サ変接続,*,*,理解,36
36,0,共振,名詞,サ変接続,*,*,共振,36
37,0,共振,名詞,サ変接続,*,*,共振,36
39,0,原理,名詞,一般,*,*,原理,38
41,0,理解,名詞,サ変接続,*,*,理解,36
42,0,相互,名詞,一般,*,*,相互,38
43,0,インダクタンス,名詞,固有名詞,一般,*,インダクタンス,41
45,0,理想,名詞,一般,*,*,理想,38
46,0,変圧器,名詞,固有名詞,一般,*,変圧器,41
47,0,変圧,名詞,サ変接続,*,*,変圧,36
48,0,器,名詞,接尾,一般,*,器,51
50,0,役割,名詞,一般,*,*,役割,38
52,0,理解,名詞,サ変接続,*,*,理解,36
53,0,回路,名詞,一般,*,*,回路,38
54,0,方程式,名詞,一般,*,*,方程式,38
55,0,回路,名詞,一般,*,*,回路,38
56,0,方程式,名詞,一般,*,*,方程式,38
58,0,使用,名詞,サ変接続,*,*,使用,36
59,0,法,名詞,接尾,一般,*,法,51
61,0,理解,名詞,サ変接続,*,*,理解,36
62,0,重ね合わ,動詞,自立,*,*,重ね合う,31
65,0,理,名詞,一般,*,*,理,38
67,0,相反,名詞,サ変接続,*,*,相反,36
68,0,定理,名詞,一般,*,*,定理,38
70,0,補償定理,名詞,固有名詞,一般,*,補償定理,41
71,0,重ね合わせの原理,名詞,固有名詞,一般,*,重ね合わせの原理,41
73,0,扱い,名詞,サ変接続,*,*,扱い,36
75,0,理解,名詞,サ変接続,*,*,理解,36
78,0,ノートン,名詞,固有名詞,一般,*,ノートン,41
80,0,ミル,名詞,一般,*,*,ミル,38
81,0,マン,名詞,一般,*,*,マン,38
83,0,最大,名詞,一般,*,*,最大,38
84,0,電力,名詞,一般,*,*,電力,38
85,0,伝送,名詞,サ変接続,*,*,伝送,36
86,0,定理,名詞,一般,*,*,定理,38
87,0,テブナンの定理,名詞,固有名詞,一般,*,テブナンの定理,41
89,0,扱い,動詞,自立,*,*,扱う,31
92,0,理解,名詞,サ変接続,*,*,理解,36
94,0,端子,名詞,一般,*,*,端子,38
96,0,パラメータ,名詞,一般,*,*,パラメータ,38
98,0,端子,名詞,一般,*,*,端子,38
100,0,パラメータ,名詞,一般,*,*,パラメータ,38
102,0,表記,名詞,サ変接続,*,*,表記,36
103,0,方法,名詞,一般,*,*,方法,38
105,0,理解,名詞,サ変接続,*,*,理解,36
106,0,ブリッジ回路,名詞,固有名詞,一般,*,ブリッジ回路,41
107,0,ブリッジ回路,名詞,固有名詞,一般,*,ブリッジ回路,41
109,0,扱い,動詞,自立,*,*,扱う,31
112,0,理解,名詞,サ変接続,*,*,理解,36
113,0,回路,名詞,一般,*,*,回路,38
115,0,理解,名詞,サ変接続,*,*,理解,36
117,0,深める,動詞,自立,*,*,深める,31
118,0,ため,名詞,非自立,副詞可能,*,ため,66
121,0,特性,名詞,一般,*,*,特性,38
122,0,回路,名詞,一般,*,*,回路,38
125,0,特性,名詞,一般,*,*,特性,38
127,0,理解,名詞,サ変接続,*,*,理解,36
128,0,最大,名詞,一般,*,*,最大,38
129,0,電力,名詞,一般,*,*,電力,38
130,0,伝送,名詞,サ変接続,*,*,伝送,36
131,0,定理,名詞,一般,*,*,定理,38
132,0,最大,名詞,一般,*,*,最大,38
133,0,電力,名詞,一般,*,*,電力,38
134,0,伝送,名詞,サ変接続,*,*,伝送,36
135,0,定理,名詞,一般,*,*,定理,38
137,0,使用,名詞,サ変接続,*,*,使用,36
138,0,法,名詞,接尾,一般,*,法,51
140,0,理解,名詞,サ変接続,*,*,理解,36
141,0,三相交流,名詞,固有名詞,一般,*,三相交流,41
142,0,三相交流,名詞,固有名詞,一般,*,三相交流,41
144,0,扱い,動詞,自立,*,*,扱う,31
147,0,理解,名詞,サ変接続,*,*,理解,36
148,0,電力,名詞,一般,*,*,電力,38
150,0,対称,名詞,一般,*,*,対称,38
151,0,座標,名詞,一般,*,*,座標,38
152,0,表現,名詞,サ変接続,*,*,表現,36
153,0,対称,名詞,一般,*,*,対称,38
154,0,座標,名詞,一般,*,*,座標,38
155,0,表現,名詞,サ変接続,*,*,表現,36
157,0,理解,名詞,サ変接続,*,*,理解,36
158,0,演習,名詞,サ変接続,*,*,演習,36
159,0,総合,名詞,サ変接続,*,*,総合,36
160,0,的,名詞,接尾,形容動詞語幹,*,的,52
162,0,理解,名詞,サ変接続,*,*,理解,36
164,0,深める,動詞,自立,*,*,深める,31
165,0,回路,名詞,一般,*,*,回路,38
166,0,素子,名詞,一般,*,*,素子,38
168,0,直流回路,名詞,固有名詞,一般,*,直流回路,41
169,0,回路,名詞,一般,*,*,回路,38
170,0,素子,名詞,一般,*,*,素子,38
172,0,概要,名詞,一般,*,*,概要,38
174,0,電気回路,名詞,固有名詞,一般,*,電気回路,41
176,0,基本,名詞,一般,*,*,基本,38
178,0,なる,動詞,自立,*,*,なる,31
179,0,直流回路,名詞,固有名詞,一般,*,直流回路,41
181,0,理解,名詞,サ変接続,*,*,理解,36
183,0,交流,名詞,サ変接続,*,*,交流,36
184,0,回路,名詞,一般,*,*,回路,38
186,0,実効値,名詞,固有名詞,一般,*,実効値,41
188,0,複素数,名詞,一般,*,*,複素数,38
190,0,フェ,感動詞,*,*,*,フェ,2
193,0,表示,名詞,サ変接続,*,*,表示,36
194,0,交流,名詞,サ変接続,*,*,交流,36
195,0,回路,名詞,一般,*,*,回路,38
199,0,複素数,名詞,一般,*,*,複素数,38
201,0,扱い,名詞,サ変接続,*,*,扱い,36
203,0,理解,名詞,サ変接続,*,*,理解,36
204,0,インピーダンス,名詞,固有名詞,一般,*,インピーダンス,41
208,0,複素,名詞,一般,*,*,複素,38
209,0,電力,名詞,一般,*,*,電力,38
210,0,インピーダンス,名詞,固有名詞,一般,*,インピーダンス,41
212,0,表記,名詞,サ変接続,*,*,表記,36
213,0,方法,名詞,一般,*,*,方法,38
215,0,理解,名詞,サ変接続,*,*,理解,36
216,0,共振,名詞,サ変接続,*,*,共振,36
217,0,共振,名詞,サ変接続,*,*,共振,36
219,0,原理,名詞,一般,*,*,原理,38
221,0,理解,名詞,サ変接続,*,*,理解,36
222,0,相互,名詞,一般,*,*,相互,38
223,0,インダクタンス,名詞,固有名詞,一般,*,インダクタンス,41
225,0,理想,名詞,一般,*,*,理想,38
226,0,変圧器,名詞,固有名詞,一般,*,変圧器,41
227,0,変圧,名詞,サ変接続,*,*,変圧,36
228,0,器,名詞,接尾,一般,*,器,51
230,0,役割,名詞,一般,*,*,役割,38
232,0,理解,名詞,サ変接続,*,*,理解,36
233,0,回路,名詞,一般,*,*,回路,38
234,0,方程式,名詞,一般,*,*,方程式,38
235,0,回路,名詞,一般,*,*,回路,38
236,0,方程式,名詞,一般,*,*,方程式,38
238,0,使用,名詞,サ変接続,*,*,使用,36
239,0,法,名詞,接尾,一般,*,法,51
241,0,理解,名詞,サ変接続,*,*,理解,36
242,0,重ね合わ,動詞,自立,*,*,重ね合う,31
245,0,理,名詞,一般,*,*,理,38
247,0,相反,名詞,サ変接続,*,*,相反,36
248,0,定理,名詞,一般,*,*,定理,38
250,0,補償定理,名詞,固有名詞,一般,*,補償定理,41
251,0,重ね合わせの原理,名詞,固有名詞,一般,*,重ね合わせの原理,41
253,0,扱い,名詞,サ変接続,*,*,扱い,36
255,0,理解,名詞,サ変接続,*,*,理解,36
258,0,ノートン,名詞,固有名詞,一般,*,ノートン,41
260,0,ミル,名詞,一般,*,*,ミル,38
261,0,マン,名詞,一般,*,*,マン,38
263,0,最大,名詞,一般,*,*,最大,38
264,0,電力,名詞,一般,*,*,電力,38
265,0,伝送,名詞,サ変接続,*,*,伝送,36
266,0,定理,名詞,一般,*,*,定理,38
267,0,テブナンの定理,名詞,固有名詞,一般,*,テブナンの定理,41
269,0,扱い,動詞,自立,*,*,扱う,31
272,0,理解,名詞,サ変接続,*,*,理解,36
274,0,端子,名詞,一般,*,*,端子,38
276,0,パラメータ,名詞,一般,*,*,パラメータ,38
278,0,端子,名詞,一般,*,*,端子,38
280,0,パラメータ,名詞,一般,*,*,パラメータ,38
282,0,表記,名詞,サ変接続,*,*,表記,36
283,0,方法,名詞,一般,*,*,方法,38
285,0,理解,名詞,サ変接続,*,*,理解,36
286,0,ブリッジ回路,名詞,固有名詞,一般,*,ブリッジ回路,41
287,0,ブリッジ回路,名詞,固有名詞,一般,*,ブリッジ回路,41
289,0,扱い,動詞,自立,*,*,扱う,31
292,0,理解,名詞,サ変接続,*,*,理解,36
293,0,回路,名詞,一般,*,*,回路,38
295,0,理解,名詞,サ変接続,*,*,理解,36
297,0,深める,動詞,自立,*,*,深める,31
298,0,ため,名詞,非自立,副詞可能,*,ため,66
301,0,特性,名詞,一般,*,*,特性,38
302,0,回路,名詞,一般,*,*,回路,38
305,0,特性,名詞,一般,*,*,特性,38
307,0,理解,名詞,サ変接続,*,*,理解,36
308,0,最大,名詞,一般,*,*,最大,38
309,0,電力,名詞,一般,*,*,電力,38
310,0,伝送,名詞,サ変接続,*,*,伝送,36
311,0,定理,名詞,一般,*,*,定理,38
312,0,最大,名詞,一般,*,*,最大,38
313,0,電力,名詞,一般,*,*,電力,38
314,0,伝送,名詞,サ変接続,*,*,伝送,36
315,0,定理,名詞,一般,*,*,定理,38
317,0,使用,名詞,サ変接続,*,*,使用,36
318,0,法,名詞,接尾,一般,*,法,51
320,0,理解,名詞,サ変接続,*,*,理解,36
321,0,三相交流,名詞,固有名詞,一般,*,三相交流,41
322,0,三相交流,名詞,固有名詞,一般,*,三相交流,41
324,0,扱い,動詞,自立,*,*,扱う,31
327,0,理解,名詞,サ変接続,*,*,理解,36
328,0,電力,名詞,一般,*,*,電力,38
330,0,対称,名詞,一般,*,*,対称,38
331,0,座標,名詞,一般,*,*,座標,38
332,0,表現,名詞,サ変接続,*,*,表現,36
333,0,対称,名詞,一般,*,*,対称,38
334,0,座標,名詞,一般,*,*,座標,38
335,0,表現,名詞,サ変接続,*,*,表現,36
337,0,理解,名詞,サ変接続,*,*,理解,36
338,0,演習,名詞,サ変接続,*,*,演習,36
339,0,総合,名詞,サ変接続,*,*,総合,36
340,0,的,名詞,接尾,形容動詞語幹,*,的,52
342,0,理解,名詞,サ変接続,*,*,理解,36
344,0,深める,動詞,自立,*,*,深める,31
345,0,回路,名詞,一般,*,*,回路,38
