,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,コンピュータシステム,名詞,固有名詞,一般,*,コンピュータシステム,41
1,0,C言語,名詞,固有名詞,一般,*,C言語,41
2,0,数値計算,名詞,固有名詞,一般,*,数値計算,41
3,0,法,名詞,接尾,一般,*,法,51
6,0,Simulink,名詞,固有名詞,一般,*,Simulink,41
7,0,コンピュータシステム,名詞,固有名詞,一般,*,コンピュータシステム,41
8,0,C言語,名詞,固有名詞,一般,*,C言語,41
9,0,数値計算,名詞,固有名詞,一般,*,数値計算,41
10,0,法,名詞,接尾,一般,*,法,51
13,0,Simulink,名詞,固有名詞,一般,*,Simulink,41
14,0,コンピュータシステム,名詞,固有名詞,一般,*,コンピュータシステム,41
15,0,C言語,名詞,固有名詞,一般,*,C言語,41
16,0,数値計算,名詞,固有名詞,一般,*,数値計算,41
17,0,法,名詞,接尾,一般,*,法,51
20,0,Simulink,名詞,固有名詞,一般,*,Simulink,41
21,0,コンピュータシステム,名詞,固有名詞,一般,*,コンピュータシステム,41
22,0,C言語,名詞,固有名詞,一般,*,C言語,41
23,0,数値計算,名詞,固有名詞,一般,*,数値計算,41
24,0,法,名詞,接尾,一般,*,法,51
27,0,Simulink,名詞,固有名詞,一般,*,Simulink,41
28,0,コンピュータシステム,名詞,固有名詞,一般,*,コンピュータシステム,41
29,0,C言語,名詞,固有名詞,一般,*,C言語,41
30,0,数値計算,名詞,固有名詞,一般,*,数値計算,41
31,0,法,名詞,接尾,一般,*,法,51
34,0,Simulink,名詞,固有名詞,一般,*,Simulink,41
