,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,連続体力学,名詞,固有名詞,一般,*,連続体力学,41
2,0,基礎,名詞,一般,*,*,基礎,38
3,0,テンソル解析,名詞,固有名詞,一般,*,テンソル解析,41
5,0,説明,名詞,サ変接続,*,*,説明,36
7,0,演習,名詞,サ変接続,*,*,演習,36
8,0,ひずみ,動詞,自立,*,*,ひずむ,31
9,0,ひずみ,動詞,自立,*,*,ひずむ,31
11,0,定義,名詞,サ変接続,*,*,定義,36
13,0,説明,名詞,サ変接続,*,*,説明,36
15,0,演習,名詞,サ変接続,*,*,演習,36
16,0,応力,名詞,一般,*,*,応力,38
17,0,応力,名詞,一般,*,*,応力,38
19,0,定義,名詞,サ変接続,*,*,定義,36
21,0,説明,名詞,サ変接続,*,*,説明,36
23,0,演習,名詞,サ変接続,*,*,演習,36
24,0,構成,名詞,サ変接続,*,*,構成,36
25,0,則,名詞,接尾,一般,*,則,51
26,0,構成,名詞,サ変接続,*,*,構成,36
27,0,則,名詞,接尾,一般,*,則,51
29,0,定義,名詞,サ変接続,*,*,定義,36
31,0,説明,名詞,サ変接続,*,*,説明,36
33,0,演習,名詞,サ変接続,*,*,演習,36
34,0,質量,名詞,一般,*,*,質量,38
35,0,保存,名詞,サ変接続,*,*,保存,36
36,0,則,名詞,接尾,一般,*,則,51
38,0,連続,名詞,サ変接続,*,*,連続,36
40,0,式,名詞,一般,*,*,式,38
42,0,運動方程式,名詞,固有名詞,一般,*,運動方程式,41
43,0,質量,名詞,一般,*,*,質量,38
44,0,保存,名詞,サ変接続,*,*,保存,36
45,0,則,名詞,接尾,一般,*,則,51
47,0,連続,名詞,サ変接続,*,*,連続,36
49,0,式,名詞,一般,*,*,式,38
51,0,運動方程式,名詞,固有名詞,一般,*,運動方程式,41
53,0,定義,名詞,サ変接続,*,*,定義,36
55,0,説明,名詞,サ変接続,*,*,説明,36
57,0,演習,名詞,サ変接続,*,*,演習,36
58,0,仮想仕事の原理,名詞,固有名詞,一般,*,仮想仕事の原理,41
60,0,エネルギー,名詞,一般,*,*,エネルギー,38
61,0,保存,名詞,サ変接続,*,*,保存,36
62,0,則,名詞,接尾,一般,*,則,51
63,0,仮想仕事の原理,名詞,固有名詞,一般,*,仮想仕事の原理,41
65,0,エネルギー,名詞,一般,*,*,エネルギー,38
66,0,保存,名詞,サ変接続,*,*,保存,36
67,0,則,名詞,接尾,一般,*,則,51
69,0,定義,名詞,サ変接続,*,*,定義,36
71,0,説明,名詞,サ変接続,*,*,説明,36
73,0,演習,名詞,サ変接続,*,*,演習,36
74,0,基本,名詞,一般,*,*,基本,38
75,0,的,名詞,接尾,形容動詞語幹,*,的,52
77,0,固体,名詞,一般,*,*,固体,38
80,0,応力,名詞,一般,*,*,応力,38
81,0,場,名詞,接尾,一般,*,場,51
83,0,解析,名詞,サ変接続,*,*,解析,36
84,0,基本,名詞,一般,*,*,基本,38
85,0,的,名詞,接尾,形容動詞語幹,*,的,52
87,0,固体,名詞,一般,*,*,固体,38
90,0,応力,名詞,一般,*,*,応力,38
91,0,場,名詞,接尾,一般,*,場,51
93,0,解析,名詞,サ変接続,*,*,解析,36
94,0,演習弾,名詞,固有名詞,一般,*,演習弾,41
95,0,性,名詞,接尾,一般,*,性,51
96,0,波動,名詞,一般,*,*,波動,38
97,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
101,0,波動,名詞,一般,*,*,波動,38
102,0,弾性,名詞,一般,*,*,弾性,38
103,0,波動,名詞,一般,*,*,波動,38
104,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
110,0,演習弾,名詞,固有名詞,一般,*,演習弾,41
111,0,性,名詞,接尾,一般,*,性,51
112,0,波動,名詞,一般,*,*,波動,38
113,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
117,0,波動,名詞,一般,*,*,波動,38
118,0,弾性,名詞,一般,*,*,弾性,38
119,0,波動,名詞,一般,*,*,波動,38
120,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
122,0,2次元,名詞,固有名詞,一般,*,2次元,41
125,0,演習,名詞,サ変接続,*,*,演習,36
126,0,ポテンシャル,名詞,一般,*,*,ポテンシャル,38
127,0,理論,名詞,一般,*,*,理論,38
129,0,基礎,名詞,一般,*,*,基礎,38
130,0,ポテンシャル,名詞,一般,*,*,ポテンシャル,38
131,0,理論,名詞,一般,*,*,理論,38
133,0,基礎,名詞,一般,*,*,基礎,38
135,0,理解,名詞,サ変接続,*,*,理解,36
137,0,演習,名詞,サ変接続,*,*,演習,36
138,0,渦,名詞,一般,*,*,渦,38
139,0,なし,形容詞,自立,*,*,ない,10
140,0,流れ,動詞,自立,*,*,流れる,31
142,0,渦,名詞,一般,*,*,渦,38
144,0,表現,名詞,サ変接続,*,*,表現,36
145,0,渦,名詞,一般,*,*,渦,38
146,0,なし,形容詞,自立,*,*,ない,10
147,0,流れ,動詞,自立,*,*,流れる,31
149,0,渦,名詞,一般,*,*,渦,38
151,0,表現,名詞,サ変接続,*,*,表現,36
153,0,理解,名詞,サ変接続,*,*,理解,36
155,0,演習,名詞,サ変接続,*,*,演習,36
156,0,ポテンシャル,名詞,一般,*,*,ポテンシャル,38
157,0,理論,名詞,一般,*,*,理論,38
159,0,応用,名詞,サ変接続,*,*,応用,36
160,0,ポテンシャル,名詞,一般,*,*,ポテンシャル,38
161,0,理論,名詞,一般,*,*,理論,38
163,0,応用,名詞,サ変接続,*,*,応用,36
165,0,説明,名詞,サ変接続,*,*,説明,36
167,0,演習,名詞,サ変接続,*,*,演習,36
168,0,粘性,名詞,一般,*,*,粘性,38
170,0,効果,名詞,一般,*,*,効果,38
171,0,粘性,名詞,一般,*,*,粘性,38
173,0,効果,名詞,一般,*,*,効果,38
175,0,理解,名詞,サ変接続,*,*,理解,36
177,0,演習,名詞,サ変接続,*,*,演習,36
180,0,ストークス,名詞,固有名詞,一般,*,ストークス,41
181,0,方程式,名詞,一般,*,*,方程式,38
184,0,ストークス,名詞,固有名詞,一般,*,ストークス,41
185,0,方程式,名詞,一般,*,*,方程式,38
187,0,理解,名詞,サ変接続,*,*,理解,36
189,0,演習,名詞,サ変接続,*,*,演習,36
190,0,基本,名詞,一般,*,*,基本,38
191,0,的,名詞,接尾,形容動詞語幹,*,的,52
193,0,流れ,名詞,一般,*,*,流れ,38
194,0,場,名詞,接尾,一般,*,場,51
196,0,解析,名詞,サ変接続,*,*,解析,36
197,0,基本,名詞,一般,*,*,基本,38
198,0,的,名詞,接尾,形容動詞語幹,*,的,52
200,0,流れ,名詞,一般,*,*,流れ,38
201,0,場,名詞,接尾,一般,*,場,51
203,0,解析,名詞,サ変接続,*,*,解析,36
204,0,演習,名詞,サ変接続,*,*,演習,36
205,0,連続体力学,名詞,固有名詞,一般,*,連続体力学,41
207,0,基礎,名詞,一般,*,*,基礎,38
208,0,テンソル解析,名詞,固有名詞,一般,*,テンソル解析,41
210,0,説明,名詞,サ変接続,*,*,説明,36
212,0,演習,名詞,サ変接続,*,*,演習,36
213,0,ひずみ,動詞,自立,*,*,ひずむ,31
214,0,ひずみ,動詞,自立,*,*,ひずむ,31
216,0,定義,名詞,サ変接続,*,*,定義,36
218,0,説明,名詞,サ変接続,*,*,説明,36
220,0,演習,名詞,サ変接続,*,*,演習,36
221,0,応力,名詞,一般,*,*,応力,38
222,0,応力,名詞,一般,*,*,応力,38
224,0,定義,名詞,サ変接続,*,*,定義,36
226,0,説明,名詞,サ変接続,*,*,説明,36
228,0,演習,名詞,サ変接続,*,*,演習,36
229,0,構成,名詞,サ変接続,*,*,構成,36
230,0,則,名詞,接尾,一般,*,則,51
231,0,構成,名詞,サ変接続,*,*,構成,36
232,0,則,名詞,接尾,一般,*,則,51
234,0,定義,名詞,サ変接続,*,*,定義,36
236,0,説明,名詞,サ変接続,*,*,説明,36
238,0,演習,名詞,サ変接続,*,*,演習,36
239,0,質量,名詞,一般,*,*,質量,38
240,0,保存,名詞,サ変接続,*,*,保存,36
241,0,則,名詞,接尾,一般,*,則,51
243,0,連続,名詞,サ変接続,*,*,連続,36
245,0,式,名詞,一般,*,*,式,38
247,0,運動方程式,名詞,固有名詞,一般,*,運動方程式,41
248,0,質量,名詞,一般,*,*,質量,38
249,0,保存,名詞,サ変接続,*,*,保存,36
250,0,則,名詞,接尾,一般,*,則,51
252,0,連続,名詞,サ変接続,*,*,連続,36
254,0,式,名詞,一般,*,*,式,38
256,0,運動方程式,名詞,固有名詞,一般,*,運動方程式,41
258,0,定義,名詞,サ変接続,*,*,定義,36
260,0,説明,名詞,サ変接続,*,*,説明,36
262,0,演習,名詞,サ変接続,*,*,演習,36
263,0,仮想仕事の原理,名詞,固有名詞,一般,*,仮想仕事の原理,41
265,0,エネルギー,名詞,一般,*,*,エネルギー,38
266,0,保存,名詞,サ変接続,*,*,保存,36
267,0,則,名詞,接尾,一般,*,則,51
268,0,仮想仕事の原理,名詞,固有名詞,一般,*,仮想仕事の原理,41
270,0,エネルギー,名詞,一般,*,*,エネルギー,38
271,0,保存,名詞,サ変接続,*,*,保存,36
272,0,則,名詞,接尾,一般,*,則,51
274,0,定義,名詞,サ変接続,*,*,定義,36
276,0,説明,名詞,サ変接続,*,*,説明,36
278,0,演習,名詞,サ変接続,*,*,演習,36
279,0,基本,名詞,一般,*,*,基本,38
280,0,的,名詞,接尾,形容動詞語幹,*,的,52
282,0,固体,名詞,一般,*,*,固体,38
285,0,応力,名詞,一般,*,*,応力,38
286,0,場,名詞,接尾,一般,*,場,51
288,0,解析,名詞,サ変接続,*,*,解析,36
289,0,基本,名詞,一般,*,*,基本,38
290,0,的,名詞,接尾,形容動詞語幹,*,的,52
292,0,固体,名詞,一般,*,*,固体,38
295,0,応力,名詞,一般,*,*,応力,38
296,0,場,名詞,接尾,一般,*,場,51
298,0,解析,名詞,サ変接続,*,*,解析,36
299,0,演習弾,名詞,固有名詞,一般,*,演習弾,41
300,0,性,名詞,接尾,一般,*,性,51
301,0,波動,名詞,一般,*,*,波動,38
302,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
307,0,2次元,名詞,固有名詞,一般,*,2次元,41
309,0,波動,名詞,一般,*,*,波動,38
310,0,弾性,名詞,一般,*,*,弾性,38
311,0,波動,名詞,一般,*,*,波動,38
312,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
316,0,2次元,名詞,固有名詞,一般,*,2次元,41
319,0,演習場,名詞,固有名詞,一般,*,演習場,41
321,0,物理現象,名詞,固有名詞,一般,*,物理現象,41
323,0,数理,名詞,一般,*,*,数理,38
324,0,モデリング,名詞,一般,*,*,モデリング,38
326,0,ベクトル解析,名詞,固有名詞,一般,*,ベクトル解析,41
327,0,場,名詞,接尾,一般,*,場,51
329,0,物理現象,名詞,固有名詞,一般,*,物理現象,41
331,0,数理,名詞,一般,*,*,数理,38
332,0,モデリング,名詞,一般,*,*,モデリング,38
334,0,ベクトル解析,名詞,固有名詞,一般,*,ベクトル解析,41
336,0,学ぶ,動詞,自立,*,*,学ぶ,31
337,0,連続,名詞,サ変接続,*,*,連続,36
339,0,式,名詞,一般,*,*,式,38
341,0,運動量,名詞,固有名詞,一般,*,運動量,41
342,0,保存,名詞,サ変接続,*,*,保存,36
344,0,方程式,名詞,一般,*,*,方程式,38
345,0,連続,名詞,サ変接続,*,*,連続,36
347,0,式,名詞,一般,*,*,式,38
349,0,運動量,名詞,固有名詞,一般,*,運動量,41
350,0,保存,名詞,サ変接続,*,*,保存,36
352,0,方程式,名詞,一般,*,*,方程式,38
353,0,つい,動詞,自立,*,*,つく,31
355,0,学ぶ,動詞,自立,*,*,学ぶ,31
356,0,構成,名詞,サ変接続,*,*,構成,36
357,0,方程式,名詞,一般,*,*,方程式,38
359,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
361,0,基礎方程式,名詞,固有名詞,一般,*,基礎方程式,41
362,0,構成,名詞,サ変接続,*,*,構成,36
363,0,方程式,名詞,一般,*,*,方程式,38
365,0,流体力学,名詞,固有名詞,一般,*,流体力学,41
367,0,基礎方程式,名詞,固有名詞,一般,*,基礎方程式,41
369,0,学ぶ,動詞,自立,*,*,学ぶ,31
370,1,ひずみ,動詞,自立,*,*,ひずむ,31
371,1,速度,名詞,一般,*,*,速度,38
373,1,完全流体,名詞,固有名詞,一般,*,完全流体,41
375,1,ニュートン流体,名詞,固有名詞,一般,*,ニュートン流体,41
376,1,ナビエストークス方程式,名詞,固有名詞,一般,*,ナビエ・ストークス方程式,41
379,1,ストークス,名詞,固有名詞,一般,*,ストークス,41
380,1,方程式,名詞,一般,*,*,方程式,38
382,1,理解,名詞,サ変接続,*,*,理解,36
384,1,演習,名詞,サ変接続,*,*,演習,36
385,1,シンプル,名詞,形容動詞語幹,*,*,シンプル,40
387,1,流れ,名詞,一般,*,*,流れ,38
389,1,解析,名詞,サ変接続,*,*,解析,36
390,1,シンプル,名詞,形容動詞語幹,*,*,シンプル,40
392,1,流れ,名詞,一般,*,*,流れ,38
394,1,学ぶ,動詞,自立,*,*,学ぶ,31
396,2,流れ,動詞,自立,*,*,流れる,31
398,2,クエット流れ,名詞,固有名詞,一般,*,クエット流れ,41
400,2,ポテンシャル,名詞,一般,*,*,ポテンシャル,38
401,2,流,名詞,接尾,一般,*,流,51
402,2,期末試験,名詞,固有名詞,一般,*,期末試験,41
406,2,説明,名詞,サ変接続,*,*,説明,36
407,2,期末試験,名詞,固有名詞,一般,*,期末試験,41
409,2,実施,名詞,サ変接続,*,*,実施,36
413,2,説明,名詞,サ変接続,*,*,説明,36
415,2,行う,動詞,自立,*,*,行う,31
416,2,連続体力学,名詞,固有名詞,一般,*,連続体力学,41
418,2,基礎,名詞,一般,*,*,基礎,38
419,2,テンソル解析,名詞,固有名詞,一般,*,テンソル解析,41
421,2,説明,名詞,サ変接続,*,*,説明,36
423,2,演習,名詞,サ変接続,*,*,演習,36
424,2,ひずみ,動詞,自立,*,*,ひずむ,31
425,2,ひずみ,動詞,自立,*,*,ひずむ,31
427,2,定義,名詞,サ変接続,*,*,定義,36
429,2,説明,名詞,サ変接続,*,*,説明,36
431,2,演習,名詞,サ変接続,*,*,演習,36
432,2,応力,名詞,一般,*,*,応力,38
433,2,応力,名詞,一般,*,*,応力,38
435,2,定義,名詞,サ変接続,*,*,定義,36
437,2,説明,名詞,サ変接続,*,*,説明,36
439,2,演習,名詞,サ変接続,*,*,演習,36
440,2,構成,名詞,サ変接続,*,*,構成,36
441,2,則,名詞,接尾,一般,*,則,51
442,2,構成,名詞,サ変接続,*,*,構成,36
443,2,則,名詞,接尾,一般,*,則,51
445,2,定義,名詞,サ変接続,*,*,定義,36
447,2,説明,名詞,サ変接続,*,*,説明,36
449,2,演習,名詞,サ変接続,*,*,演習,36
450,2,質量,名詞,一般,*,*,質量,38
451,2,保存,名詞,サ変接続,*,*,保存,36
452,2,則,名詞,接尾,一般,*,則,51
454,2,連続,名詞,サ変接続,*,*,連続,36
456,2,式,名詞,一般,*,*,式,38
458,2,運動方程式,名詞,固有名詞,一般,*,運動方程式,41
