,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,生産,名詞,サ変接続,*,*,生産,36
1,0,プロセス,名詞,一般,*,*,プロセス,38
3,0,概要,名詞,一般,*,*,概要,38
4,0,機械,名詞,一般,*,*,機械,38
6,0,製作,名詞,サ変接続,*,*,製作,36
7,0,手順,名詞,一般,*,*,手順,38
9,0,説明,名詞,サ変接続,*,*,説明,36
12,0,機械,名詞,一般,*,*,機械,38
14,0,用い,動詞,自立,*,*,用いる,31
16,0,材料,名詞,一般,*,*,材料,38
18,0,種類,名詞,一般,*,*,種類,38
20,0,成り立ち,名詞,一般,*,*,成り立ち,38
21,0,機械,名詞,一般,*,*,機械,38
23,0,用い,動詞,自立,*,*,用いる,31
25,0,材料,名詞,一般,*,*,材料,38
31,0,種類,名詞,一般,*,*,種類,38
33,0,ある,動詞,自立,*,*,ある,31
35,0,説明,名詞,サ変接続,*,*,説明,36
40,0,金属,名詞,一般,*,*,金属,38
41,0,材料,名詞,一般,*,*,材料,38
43,0,基本,名詞,一般,*,*,基本,38
44,0,的,名詞,接尾,形容動詞語幹,*,的,52
46,0,結晶,名詞,サ変接続,*,*,結晶,36
47,0,構造,名詞,一般,*,*,構造,38
49,0,構造,名詞,一般,*,*,構造,38
50,0,欠陥,名詞,一般,*,*,欠陥,38
52,0,それぞれ,名詞,副詞可能,*,*,それぞれ,67
53,0,3種類,名詞,固有名詞,一般,*,3種類,41
54,0,挙げて,副詞,一般,*,*,挙げて,34
55,0,説明,名詞,サ変接続,*,*,説明,36
58,0,材料,名詞,一般,*,*,材料,38
60,0,機械的性質,名詞,固有名詞,一般,*,機械的性質,41
61,0,材料,名詞,一般,*,*,材料,38
63,0,引張,動詞,自立,*,*,引張る,31
64,0,強,形容詞,自立,*,*,強い,10
67,0,伸び,名詞,一般,*,*,伸び,38
69,0,じん性,名詞,一般,*,*,じん性,38
71,0,硬さ,名詞,固有名詞,一般,*,硬さ,41
77,0,説明,名詞,サ変接続,*,*,説明,36
80,0,鋳造,名詞,サ変接続,*,*,鋳造,36
81,0,鋳造,名詞,サ変接続,*,*,鋳造,36
83,0,プロセス,名詞,一般,*,*,プロセス,38
85,0,説明,名詞,サ変接続,*,*,説明,36
88,0,塑性加工,名詞,固有名詞,一般,*,塑性加工,41
90,0,圧延,名詞,サ変接続,*,*,圧延,36
92,0,押出し,名詞,一般,*,*,押出し,38
94,0,引抜き,名詞,一般,*,*,引抜き,38
96,0,熱,名詞,一般,*,*,熱,38
97,0,間,名詞,接尾,一般,*,間,51
98,0,圧延,名詞,サ変接続,*,*,圧延,36
100,0,プロセス,名詞,一般,*,*,プロセス,38
102,0,金属,名詞,一般,*,*,金属,38
103,0,材料,名詞,一般,*,*,材料,38
105,0,挙動,名詞,一般,*,*,挙動,38
107,0,示し,動詞,自立,*,*,示す,31
109,0,説明,名詞,サ変接続,*,*,説明,36
112,0,塑性加工,名詞,固有名詞,一般,*,塑性加工,41
114,0,板材,名詞,一般,*,*,板材,38
115,0,成形,名詞,サ変接続,*,*,成形,36
117,0,鍛造,名詞,サ変接続,*,*,鍛造,36
119,0,鍛造,名詞,サ変接続,*,*,鍛造,36
121,0,作ら,動詞,自立,*,*,作る,31
124,0,製品,名詞,一般,*,*,製品,38
126,0,機械的,名詞,固有名詞,一般,*,機械的,41
127,0,強度,名詞,一般,*,*,強度,38
129,0,高い,形容詞,自立,*,*,高い,10
130,0,理由,名詞,一般,*,*,理由,38
132,0,説明,名詞,サ変接続,*,*,説明,36
135,0,粉末,名詞,一般,*,*,粉末,38
136,0,成形,名詞,サ変接続,*,*,成形,36
138,0,プラスチック,名詞,一般,*,*,プラスチック,38
140,0,成形,名詞,サ変接続,*,*,成形,36
141,0,加工,名詞,サ変接続,*,*,加工,36
142,0,粒,名詞,接尾,一般,*,粒,51
143,0,状,名詞,接尾,一般,*,状,51
145,0,粉,名詞,一般,*,*,粉,38
146,0,状,名詞,接尾,一般,*,状,51
148,0,原料,名詞,一般,*,*,原料,38
150,0,用い,動詞,自立,*,*,用いる,31
152,0,製造,名詞,サ変接続,*,*,製造,36
153,0,方法,名詞,一般,*,*,方法,38
155,0,説明,名詞,サ変接続,*,*,説明,36
158,0,切削加工,名詞,固有名詞,一般,*,切削加工,41
159,0,切削加工,名詞,固有名詞,一般,*,切削加工,41
165,0,様式,名詞,一般,*,*,様式,38
166,0,ある,動詞,自立,*,*,ある,31
170,0,用い,動詞,自立,*,*,用いる,31
172,0,工具,名詞,一般,*,*,工具,38
174,0,説明,名詞,サ変接続,*,*,説明,36
177,0,研削,名詞,一般,*,*,研削,38
178,0,加工,名詞,サ変接続,*,*,加工,36
179,0,望ましい,形容詞,自立,*,*,望ましい,10
180,0,状態,名詞,一般,*,*,状態,38
182,0,研削,名詞,一般,*,*,研削,38
183,0,加工,名詞,サ変接続,*,*,加工,36
184,0,面,名詞,接尾,一般,*,面,51
186,0,得る,動詞,自立,*,*,得る,31
192,0,観点,名詞,一般,*,*,観点,38
194,0,プロセス,名詞,一般,*,*,プロセス,38
196,0,評価,名詞,サ変接続,*,*,評価,36
202,0,表面,名詞,一般,*,*,表面,38
204,0,仕上げ,名詞,一般,*,*,仕上げ,38
205,0,加工,名詞,サ変接続,*,*,加工,36
207,0,研磨,名詞,サ変接続,*,*,研磨,36
209,0,表面,名詞,一般,*,*,表面,38
211,0,仕上げ,名詞,一般,*,*,仕上げ,38
213,0,必要,名詞,形容動詞語幹,*,*,必要,40
215,0,理由,名詞,一般,*,*,理由,38
217,0,説明,名詞,サ変接続,*,*,説明,36
226,0,3種類,名詞,固有名詞,一般,*,3種類,41
227,0,挙げて,副詞,一般,*,*,挙げて,34
228,0,概説,名詞,サ変接続,*,*,概説,36
231,0,表面処理,名詞,固有名詞,一般,*,表面処理,41
232,0,表面処理,名詞,固有名詞,一般,*,表面処理,41
234,0,うち,名詞,非自立,副詞可能,*,うち,66
236,0,母材,名詞,固有名詞,一般,*,母材,41
238,0,異なる,動詞,自立,*,*,異なる,31
239,0,材料,名詞,一般,*,*,材料,38
241,0,被膜,名詞,一般,*,*,被膜,38
243,0,形成,名詞,サ変接続,*,*,形成,36
245,0,方法,名詞,一般,*,*,方法,38
251,0,手法,名詞,一般,*,*,手法,38
253,0,ある,動詞,自立,*,*,ある,31
256,0,原理,名詞,一般,*,*,原理,38
258,0,説明,名詞,サ変接続,*,*,説明,36
261,0,接合,名詞,サ変接続,*,*,接合,36
262,0,接合,名詞,サ変接続,*,*,接合,36
263,0,法,名詞,接尾,一般,*,法,51
269,0,種類,名詞,一般,*,*,種類,38
271,0,ある,動詞,自立,*,*,ある,31
274,0,原理,名詞,一般,*,*,原理,38
276,0,説明,名詞,サ変接続,*,*,説明,36
279,0,電気,名詞,一般,*,*,電気,38
281,0,化学,名詞,一般,*,*,化学,38
282,0,加工,名詞,サ変接続,*,*,加工,36
283,0,電気,名詞,一般,*,*,電気,38
284,0,エネルギー,名詞,一般,*,*,エネルギー,38
286,0,化学,名詞,一般,*,*,化学,38
287,0,エネルギー,名詞,一般,*,*,エネルギー,38
289,0,電気化学,名詞,固有名詞,一般,*,電気化学,41
290,0,エネルギー,名詞,一般,*,*,エネルギー,38
292,0,利用,名詞,サ変接続,*,*,利用,36
295,0,具体,名詞,一般,*,*,具体,38
296,0,的,名詞,接尾,形容動詞語幹,*,的,52
298,0,加工,名詞,サ変接続,*,*,加工,36
299,0,法,名詞,接尾,一般,*,法,51
301,0,挙げ,動詞,自立,*,*,挙げる,31
306,0,手法,名詞,一般,*,*,手法,38
309,0,説明,名詞,サ変接続,*,*,説明,36
313,0,エネルギー,名詞,一般,*,*,エネルギー,38
314,0,ビーム,名詞,一般,*,*,ビーム,38
315,0,加工,名詞,サ変接続,*,*,加工,36
316,0,高,名詞,接尾,一般,*,高,51
317,0,エネルギー,名詞,一般,*,*,エネルギー,38
318,0,ビーム,名詞,一般,*,*,ビーム,38
319,0,加工,名詞,サ変接続,*,*,加工,36
321,0,利用,名詞,サ変接続,*,*,利用,36
324,0,ビーム,名詞,一般,*,*,ビーム,38
332,0,ある,動詞,自立,*,*,ある,31
335,0,エネルギー,名詞,一般,*,*,エネルギー,38
337,0,違い,名詞,ナイ形容詞語幹,*,*,違い,37
339,0,まとめ,名詞,一般,*,*,まとめ,38
342,0,マイクロ,名詞,一般,*,*,マイクロ,38
343,0,加工,名詞,サ変接続,*,*,加工,36
344,0,半導体,名詞,一般,*,*,半導体,38
345,0,集積回路,名詞,固有名詞,一般,*,集積回路,41
347,0,製造,名詞,サ変接続,*,*,製造,36
348,0,プロセス,名詞,一般,*,*,プロセス,38
350,0,概略,名詞,一般,*,*,概略,38
352,0,説明,名詞,サ変接続,*,*,説明,36
355,0,生産,名詞,サ変接続,*,*,生産,36
356,0,プロセス,名詞,一般,*,*,プロセス,38
358,0,概要,名詞,一般,*,*,概要,38
359,0,機械,名詞,一般,*,*,機械,38
361,0,製作,名詞,サ変接続,*,*,製作,36
362,0,手順,名詞,一般,*,*,手順,38
364,0,説明,名詞,サ変接続,*,*,説明,36
367,0,機械,名詞,一般,*,*,機械,38
369,0,用い,動詞,自立,*,*,用いる,31
371,0,材料,名詞,一般,*,*,材料,38
373,0,種類,名詞,一般,*,*,種類,38
375,0,成り立ち,名詞,一般,*,*,成り立ち,38
376,0,機械,名詞,一般,*,*,機械,38
378,0,用い,動詞,自立,*,*,用いる,31
380,0,材料,名詞,一般,*,*,材料,38
386,0,種類,名詞,一般,*,*,種類,38
388,0,ある,動詞,自立,*,*,ある,31
390,0,説明,名詞,サ変接続,*,*,説明,36
395,0,金属,名詞,一般,*,*,金属,38
396,0,材料,名詞,一般,*,*,材料,38
