,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,運動方程式,名詞,固有名詞,一般,*,運動方程式,41
1,0,絶対,名詞,副詞可能,*,*,絶対,67
2,0,座標,名詞,一般,*,*,座標,38
3,0,系,名詞,接尾,一般,*,系,51
4,0,運動,名詞,サ変接続,*,*,運動,36
5,0,座標,名詞,一般,*,*,座標,38
6,0,系,名詞,接尾,一般,*,系,51
7,0,剛体,名詞,一般,*,*,剛体,38
9,0,回転,名詞,サ変接続,*,*,回転,36
10,0,運動,名詞,サ変接続,*,*,運動,36
11,0,フーコー,名詞,固有名詞,一般,*,フーコー,41
12,0,振り子,名詞,一般,*,*,振り子,38
13,0,ジャイロ効果,名詞,固有名詞,一般,*,ジャイロ効果,41
14,0,歳差運動,名詞,固有名詞,一般,*,歳差運動,41
15,0,運動方程式,名詞,固有名詞,一般,*,運動方程式,41
16,0,絶対,名詞,副詞可能,*,*,絶対,67
17,0,座標,名詞,一般,*,*,座標,38
18,0,系,名詞,接尾,一般,*,系,51
19,0,運動,名詞,サ変接続,*,*,運動,36
20,0,座標,名詞,一般,*,*,座標,38
21,0,系,名詞,接尾,一般,*,系,51
22,0,剛体,名詞,一般,*,*,剛体,38
24,0,回転,名詞,サ変接続,*,*,回転,36
25,0,運動,名詞,サ変接続,*,*,運動,36
26,0,フーコー,名詞,固有名詞,一般,*,フーコー,41
27,0,振り子,名詞,一般,*,*,振り子,38
28,0,ジャイロ効果,名詞,固有名詞,一般,*,ジャイロ効果,41
29,0,歳差運動,名詞,固有名詞,一般,*,歳差運動,41
30,0,運動方程式,名詞,固有名詞,一般,*,運動方程式,41
31,0,絶対,名詞,副詞可能,*,*,絶対,67
32,0,座標,名詞,一般,*,*,座標,38
33,0,系,名詞,接尾,一般,*,系,51
34,0,運動,名詞,サ変接続,*,*,運動,36
35,0,座標,名詞,一般,*,*,座標,38
36,0,系,名詞,接尾,一般,*,系,51
37,0,剛体,名詞,一般,*,*,剛体,38
39,0,回転,名詞,サ変接続,*,*,回転,36
40,0,運動,名詞,サ変接続,*,*,運動,36
41,0,フーコー,名詞,固有名詞,一般,*,フーコー,41
42,0,振り子,名詞,一般,*,*,振り子,38
43,0,ジャイロ効果,名詞,固有名詞,一般,*,ジャイロ効果,41
44,0,歳差運動,名詞,固有名詞,一般,*,歳差運動,41
