,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
4,0,概要,名詞,一般,*,*,概要,38
8,0,分,名詞,接尾,一般,*,分,51
9,0,級,名詞,接尾,一般,*,級,51
11,0,沈殿,名詞,サ変接続,*,*,沈殿,36
12,0,濃縮,名詞,サ変接続,*,*,濃縮,36
15,0,濾過,名詞,サ変接続,*,*,濾過,36
18,0,混合,名詞,サ変接続,*,*,混合,36
20,0,攪拌,名詞,固有名詞,一般,*,攪拌,41
23,0,熱,名詞,一般,*,*,熱,38
24,0,交換,名詞,サ変接続,*,*,交換,36
25,0,演習,名詞,サ変接続,*,*,演習,36
30,0,1回,名詞,固有名詞,一般,*,1回,41
32,0,4回,名詞,固有名詞,一般,*,4回,41
35,0,内容,名詞,一般,*,*,内容,38
37,0,理解,名詞,サ変接続,*,*,理解,36
39,0,深める,動詞,自立,*,*,深める,31
40,0,演習,名詞,サ変接続,*,*,演習,36
45,0,解説,名詞,サ変接続,*,*,解説,36
48,1,蒸留,名詞,サ変接続,*,*,蒸留,36
54,1,蒸留,名詞,サ変接続,*,*,蒸留,36
60,1,蒸留,名詞,サ変接続,*,*,蒸留,36
66,2,液,名詞,一般,*,*,液,38
67,2,液,名詞,接尾,一般,*,液,51
68,2,抽出,名詞,サ変接続,*,*,抽出,36
74,2,液,名詞,一般,*,*,液,38
75,2,液,名詞,接尾,一般,*,液,51
76,2,抽出,名詞,サ変接続,*,*,抽出,36
80,3,演習,名詞,サ変接続,*,*,演習,36
85,3,7回,名詞,固有名詞,一般,*,7回,41
87,3,8回,名詞,固有名詞,一般,*,8回,41
89,3,内容,名詞,一般,*,*,内容,38
91,3,理解,名詞,サ変接続,*,*,理解,36
93,3,深める,動詞,自立,*,*,深める,31
94,3,演習,名詞,サ変接続,*,*,演習,36
99,3,解説,名詞,サ変接続,*,*,解説,36
102,4,吸収,名詞,サ変接続,*,*,吸収,36
108,4,吸収,名詞,サ変接続,*,*,吸収,36
114,4,調,名詞,接尾,一般,*,調,51
115,4,湿,動詞,自立,*,*,湿る,31
116,4,9.,名詞,固有名詞,一般,*,9.,41
117,4,吸着,名詞,サ変接続,*,*,吸着,36
118,4,演習,名詞,サ変接続,*,*,演習,36
123,4,11回,名詞,固有名詞,一般,*,11回,41
125,4,13回,名詞,固有名詞,一般,*,13回,41
128,4,内容,名詞,一般,*,*,内容,38
130,4,理解,名詞,サ変接続,*,*,理解,36
132,4,深める,動詞,自立,*,*,深める,31
133,4,演習,名詞,サ変接続,*,*,演習,36
138,4,解説,名詞,サ変接続,*,*,解説,36
139,4,期末試験,名詞,固有名詞,一般,*,期末試験,41
144,4,概要,名詞,一般,*,*,概要,38
148,4,分,名詞,接尾,一般,*,分,51
149,4,級,名詞,接尾,一般,*,級,51
151,4,沈殿,名詞,サ変接続,*,*,沈殿,36
152,4,濃縮,名詞,サ変接続,*,*,濃縮,36
155,4,濾過,名詞,サ変接続,*,*,濾過,36
158,4,混合,名詞,サ変接続,*,*,混合,36
160,4,攪拌,名詞,固有名詞,一般,*,攪拌,41
163,4,熱,名詞,一般,*,*,熱,38
164,4,交換,名詞,サ変接続,*,*,交換,36
165,4,演習,名詞,サ変接続,*,*,演習,36
170,4,1回,名詞,固有名詞,一般,*,1回,41
172,4,4回,名詞,固有名詞,一般,*,4回,41
175,4,内容,名詞,一般,*,*,内容,38
177,4,理解,名詞,サ変接続,*,*,理解,36
179,4,深める,動詞,自立,*,*,深める,31
180,4,演習,名詞,サ変接続,*,*,演習,36
185,4,解説,名詞,サ変接続,*,*,解説,36
189,4,蒸留,名詞,サ変接続,*,*,蒸留,36
195,4,蒸留,名詞,サ変接続,*,*,蒸留,36
201,4,溶媒,名詞,一般,*,*,溶媒,38
202,4,抽出,名詞,サ変接続,*,*,抽出,36
208,4,溶媒,名詞,一般,*,*,溶媒,38
209,4,抽出,名詞,サ変接続,*,*,抽出,36
215,4,ガス吸収,名詞,固有名詞,一般,*,ガス吸収,41
218,4,調,名詞,接尾,一般,*,調,51
219,4,湿,動詞,自立,*,*,湿る,31
220,4,9.,名詞,固有名詞,一般,*,9.,41
221,4,吸着,名詞,サ変接続,*,*,吸着,36
225,4,9.,名詞,固有名詞,一般,*,9.,41
226,4,吸着,名詞,サ変接続,*,*,吸着,36
230,4,演習,名詞,サ変接続,*,*,演習,36
235,4,6回,名詞,固有名詞,一般,*,6回,41
237,4,13回,名詞,固有名詞,一般,*,13回,41
240,4,内容,名詞,一般,*,*,内容,38
242,4,理解,名詞,サ変接続,*,*,理解,36
244,4,深める,動詞,自立,*,*,深める,31
245,4,演習,名詞,サ変接続,*,*,演習,36
250,4,解説,名詞,サ変接続,*,*,解説,36
251,4,期末試験,名詞,固有名詞,一般,*,期末試験,41
256,4,概要,名詞,一般,*,*,概要,38
