,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,以下,名詞,非自立,副詞可能,*,以下,66
10,0,知識,名詞,一般,*,*,知識,38
12,0,能力,名詞,一般,*,*,能力,38
14,0,修得,名詞,サ変接続,*,*,修得,36
19,0,水,名詞,一般,*,*,水,38
21,0,物質,名詞,一般,*,*,物質,38
26,0,時空,名詞,一般,*,*,時空,38
27,0,間,名詞,接尾,一般,*,間,51
28,0,的,名詞,接尾,形容動詞語幹,*,的,52
30,0,循環,名詞,サ変接続,*,*,循環,36
43,0,要因,名詞,一般,*,*,要因,38
45,0,現象,名詞,一般,*,*,現象,38
47,0,関与,名詞,サ変接続,*,*,関与,36
54,0,正しく,形容詞,自立,*,*,正しい,10
55,0,理解,名詞,サ変接続,*,*,理解,36
60,0,水,名詞,一般,*,*,水,38
62,0,物質,名詞,一般,*,*,物質,38
63,0,循環,名詞,サ変接続,*,*,循環,36
65,0,関わる,動詞,自立,*,*,関わる,31
66,0,様々,名詞,形容動詞語幹,*,*,様々,40
68,0,現象,名詞,一般,*,*,現象,38
70,0,支配,名詞,サ変接続,*,*,支配,36
72,0,法則,名詞,一般,*,*,法則,38
76,0,数学,名詞,一般,*,*,数学,38
77,0,的,名詞,接尾,形容動詞語幹,*,的,52
79,0,表現,名詞,サ変接続,*,*,表現,36
81,0,方法,名詞,一般,*,*,方法,38
83,0,正しく,形容詞,自立,*,*,正しい,10
84,0,理解,名詞,サ変接続,*,*,理解,36
89,0,水,名詞,一般,*,*,水,38
91,0,物質,名詞,一般,*,*,物質,38
92,0,循環,名詞,サ変接続,*,*,循環,36
93,0,システム,名詞,一般,*,*,システム,38
95,0,解析,名詞,サ変接続,*,*,解析,36
96,0,手法,名詞,一般,*,*,手法,38
98,0,理解,名詞,サ変接続,*,*,理解,36
103,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
105,0,応用,名詞,サ変接続,*,*,応用,36
106,0,できる,動詞,自立,*,*,できる,31
110,0,水,名詞,一般,*,*,水,38
112,0,物質,名詞,一般,*,*,物質,38
113,0,循環,名詞,サ変接続,*,*,循環,36
115,0,適切,名詞,形容動詞語幹,*,*,適切,40
117,0,管理,名詞,サ変接続,*,*,管理,36
119,0,方法,名詞,一般,*,*,方法,38
121,0,人間活動,名詞,固有名詞,一般,*,人間活動,41
123,0,気候変動,名詞,固有名詞,一般,*,気候変動,41
125,0,及ぼす,動詞,自立,*,*,及ぼす,31
126,0,影響,名詞,サ変接続,*,*,影響,36
128,0,正しく,形容詞,自立,*,*,正しい,10
129,0,理解,名詞,サ変接続,*,*,理解,36
133,0,講義,名詞,サ変接続,*,*,講義,36
135,0,履修,名詞,サ変接続,*,*,履修,36
140,0,以下,名詞,非自立,副詞可能,*,以下,66
142,0,知識,名詞,一般,*,*,知識,38
144,0,能力,名詞,一般,*,*,能力,38
146,0,修得,名詞,サ変接続,*,*,修得,36
151,0,水,名詞,一般,*,*,水,38
153,0,物質,名詞,一般,*,*,物質,38
158,0,時空,名詞,一般,*,*,時空,38
159,0,間,名詞,接尾,一般,*,間,51
160,0,的,名詞,接尾,形容動詞語幹,*,的,52
162,0,循環,名詞,サ変接続,*,*,循環,36
175,0,要因,名詞,一般,*,*,要因,38
177,0,現象,名詞,一般,*,*,現象,38
179,0,関与,名詞,サ変接続,*,*,関与,36
186,0,正しく,形容詞,自立,*,*,正しい,10
187,0,理解,名詞,サ変接続,*,*,理解,36
192,0,水,名詞,一般,*,*,水,38
194,0,物質,名詞,一般,*,*,物質,38
195,0,循環,名詞,サ変接続,*,*,循環,36
197,0,関わる,動詞,自立,*,*,関わる,31
198,0,様々,名詞,形容動詞語幹,*,*,様々,40
200,0,現象,名詞,一般,*,*,現象,38
202,0,支配,名詞,サ変接続,*,*,支配,36
204,0,法則,名詞,一般,*,*,法則,38
208,0,数学,名詞,一般,*,*,数学,38
209,0,的,名詞,接尾,形容動詞語幹,*,的,52
211,0,表現,名詞,サ変接続,*,*,表現,36
213,0,方法,名詞,一般,*,*,方法,38
215,0,正しく,形容詞,自立,*,*,正しい,10
216,0,理解,名詞,サ変接続,*,*,理解,36
221,0,水,名詞,一般,*,*,水,38
223,0,物質,名詞,一般,*,*,物質,38
224,0,循環,名詞,サ変接続,*,*,循環,36
225,0,システム,名詞,一般,*,*,システム,38
227,0,解析,名詞,サ変接続,*,*,解析,36
228,0,手法,名詞,一般,*,*,手法,38
230,0,理解,名詞,サ変接続,*,*,理解,36
235,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
237,0,応用,名詞,サ変接続,*,*,応用,36
238,0,できる,動詞,自立,*,*,できる,31
242,0,水,名詞,一般,*,*,水,38
244,0,物質,名詞,一般,*,*,物質,38
245,0,循環,名詞,サ変接続,*,*,循環,36
247,0,適切,名詞,形容動詞語幹,*,*,適切,40
249,0,管理,名詞,サ変接続,*,*,管理,36
251,0,方法,名詞,一般,*,*,方法,38
253,0,人間活動,名詞,固有名詞,一般,*,人間活動,41
255,0,気候変動,名詞,固有名詞,一般,*,気候変動,41
257,0,及ぼす,動詞,自立,*,*,及ぼす,31
258,0,影響,名詞,サ変接続,*,*,影響,36
260,0,正しく,形容詞,自立,*,*,正しい,10
261,0,理解,名詞,サ変接続,*,*,理解,36
265,0,講義,名詞,サ変接続,*,*,講義,36
267,0,履修,名詞,サ変接続,*,*,履修,36
272,0,以下,名詞,非自立,副詞可能,*,以下,66
274,0,知識,名詞,一般,*,*,知識,38
276,0,能力,名詞,一般,*,*,能力,38
278,0,修得,名詞,サ変接続,*,*,修得,36
283,0,水,名詞,一般,*,*,水,38
285,0,物質,名詞,一般,*,*,物質,38
290,0,時空,名詞,一般,*,*,時空,38
291,0,間,名詞,接尾,一般,*,間,51
292,0,的,名詞,接尾,形容動詞語幹,*,的,52
294,0,循環,名詞,サ変接続,*,*,循環,36
307,0,要因,名詞,一般,*,*,要因,38
309,0,現象,名詞,一般,*,*,現象,38
311,0,関与,名詞,サ変接続,*,*,関与,36
318,0,正しく,形容詞,自立,*,*,正しい,10
319,0,理解,名詞,サ変接続,*,*,理解,36
324,0,水,名詞,一般,*,*,水,38
326,0,物質,名詞,一般,*,*,物質,38
327,0,循環,名詞,サ変接続,*,*,循環,36
329,0,関わる,動詞,自立,*,*,関わる,31
330,0,様々,名詞,形容動詞語幹,*,*,様々,40
332,0,現象,名詞,一般,*,*,現象,38
334,0,支配,名詞,サ変接続,*,*,支配,36
336,0,法則,名詞,一般,*,*,法則,38
340,0,数学,名詞,一般,*,*,数学,38
341,0,的,名詞,接尾,形容動詞語幹,*,的,52
343,0,表現,名詞,サ変接続,*,*,表現,36
345,0,方法,名詞,一般,*,*,方法,38
347,0,正しく,形容詞,自立,*,*,正しい,10
348,0,理解,名詞,サ変接続,*,*,理解,36
353,0,水,名詞,一般,*,*,水,38
355,0,物質,名詞,一般,*,*,物質,38
356,0,循環,名詞,サ変接続,*,*,循環,36
357,0,システム,名詞,一般,*,*,システム,38
359,0,解析,名詞,サ変接続,*,*,解析,36
360,0,手法,名詞,一般,*,*,手法,38
362,0,理解,名詞,サ変接続,*,*,理解,36
367,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
369,0,応用,名詞,サ変接続,*,*,応用,36
370,0,できる,動詞,自立,*,*,できる,31
374,0,水,名詞,一般,*,*,水,38
376,0,物質,名詞,一般,*,*,物質,38
377,0,循環,名詞,サ変接続,*,*,循環,36
379,0,適切,名詞,形容動詞語幹,*,*,適切,40
381,0,管理,名詞,サ変接続,*,*,管理,36
383,0,方法,名詞,一般,*,*,方法,38
385,0,人間活動,名詞,固有名詞,一般,*,人間活動,41
387,0,気候変動,名詞,固有名詞,一般,*,気候変動,41
389,0,及ぼす,動詞,自立,*,*,及ぼす,31
390,0,影響,名詞,サ変接続,*,*,影響,36
392,0,正しく,形容詞,自立,*,*,正しい,10
393,0,理解,名詞,サ変接続,*,*,理解,36
397,0,講義,名詞,サ変接続,*,*,講義,36
399,0,履修,名詞,サ変接続,*,*,履修,36
404,0,以下,名詞,非自立,副詞可能,*,以下,66
406,0,知識,名詞,一般,*,*,知識,38
408,0,能力,名詞,一般,*,*,能力,38
410,0,修得,名詞,サ変接続,*,*,修得,36
415,0,水,名詞,一般,*,*,水,38
417,0,物質,名詞,一般,*,*,物質,38
422,0,時空,名詞,一般,*,*,時空,38
423,0,間,名詞,接尾,一般,*,間,51
424,0,的,名詞,接尾,形容動詞語幹,*,的,52
426,0,循環,名詞,サ変接続,*,*,循環,36
439,0,要因,名詞,一般,*,*,要因,38
441,0,現象,名詞,一般,*,*,現象,38
443,0,関与,名詞,サ変接続,*,*,関与,36
450,0,正しく,形容詞,自立,*,*,正しい,10
451,0,理解,名詞,サ変接続,*,*,理解,36
456,0,水,名詞,一般,*,*,水,38
458,0,物質,名詞,一般,*,*,物質,38
459,0,循環,名詞,サ変接続,*,*,循環,36
461,0,関わる,動詞,自立,*,*,関わる,31
462,0,様々,名詞,形容動詞語幹,*,*,様々,40
464,0,現象,名詞,一般,*,*,現象,38
466,0,支配,名詞,サ変接続,*,*,支配,36
468,0,法則,名詞,一般,*,*,法則,38
472,0,数学,名詞,一般,*,*,数学,38
473,0,的,名詞,接尾,形容動詞語幹,*,的,52
475,0,表現,名詞,サ変接続,*,*,表現,36
477,0,方法,名詞,一般,*,*,方法,38
479,0,正しく,形容詞,自立,*,*,正しい,10
480,0,理解,名詞,サ変接続,*,*,理解,36
485,0,水,名詞,一般,*,*,水,38
487,0,物質,名詞,一般,*,*,物質,38
488,0,循環,名詞,サ変接続,*,*,循環,36
489,0,システム,名詞,一般,*,*,システム,38
491,0,解析,名詞,サ変接続,*,*,解析,36
492,0,手法,名詞,一般,*,*,手法,38
494,0,理解,名詞,サ変接続,*,*,理解,36
499,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
501,0,応用,名詞,サ変接続,*,*,応用,36
502,0,できる,動詞,自立,*,*,できる,31
506,0,水,名詞,一般,*,*,水,38
508,0,物質,名詞,一般,*,*,物質,38
509,0,循環,名詞,サ変接続,*,*,循環,36
511,0,適切,名詞,形容動詞語幹,*,*,適切,40
513,0,管理,名詞,サ変接続,*,*,管理,36
515,0,方法,名詞,一般,*,*,方法,38
517,0,人間活動,名詞,固有名詞,一般,*,人間活動,41
519,0,気候変動,名詞,固有名詞,一般,*,気候変動,41
521,0,及ぼす,動詞,自立,*,*,及ぼす,31
522,0,影響,名詞,サ変接続,*,*,影響,36
524,0,正しく,形容詞,自立,*,*,正しい,10
525,0,理解,名詞,サ変接続,*,*,理解,36
