,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,地球,名詞,一般,*,*,地球,38
2,0,地域生態学,名詞,固有名詞,一般,*,地域生態学,41
3,0,概論,名詞,サ変接続,*,*,概論,36
4,0,防災,名詞,サ変接続,*,*,防災,36
5,0,工学,名詞,一般,*,*,工学,38
6,0,基礎,名詞,一般,*,*,基礎,38
7,0,流体,名詞,一般,*,*,流体,38
8,0,工学,名詞,一般,*,*,工学,38
9,0,基礎,名詞,一般,*,*,基礎,38
10,0,気象学,名詞,固有名詞,一般,*,気象学,41
11,0,基礎,名詞,一般,*,*,基礎,38
12,0,社会環境,名詞,固有名詞,一般,*,社会環境,41
13,0,政策,名詞,一般,*,*,政策,38
14,0,概論,名詞,サ変接続,*,*,概論,36
15,0,グローバル,名詞,一般,*,*,グローバル,38
16,0,リーダーシップ,名詞,一般,*,*,リーダーシップ,38
18,0,マネジメント,名詞,一般,*,*,マネジメント,38
19,0,環境,名詞,一般,*,*,環境,38
21,0,社会,名詞,一般,*,*,社会,38
22,0,エネルギー,名詞,一般,*,*,エネルギー,38
24,0,環境,名詞,一般,*,*,環境,38
26,0,政策,名詞,一般,*,*,政策,38
27,0,地球,名詞,一般,*,*,地球,38
29,0,地域生態学,名詞,固有名詞,一般,*,地域生態学,41
30,0,概論,名詞,サ変接続,*,*,概論,36
31,0,防災,名詞,サ変接続,*,*,防災,36
32,0,工学,名詞,一般,*,*,工学,38
33,0,基礎,名詞,一般,*,*,基礎,38
34,0,流体,名詞,一般,*,*,流体,38
35,0,工学,名詞,一般,*,*,工学,38
36,0,基礎,名詞,一般,*,*,基礎,38
37,0,気象学,名詞,固有名詞,一般,*,気象学,41
38,0,基礎,名詞,一般,*,*,基礎,38
39,0,社会環境,名詞,固有名詞,一般,*,社会環境,41
40,0,政策,名詞,一般,*,*,政策,38
41,0,概論,名詞,サ変接続,*,*,概論,36
42,0,グローバル,名詞,一般,*,*,グローバル,38
43,0,リーダーシップ,名詞,一般,*,*,リーダーシップ,38
45,0,マネジメント,名詞,一般,*,*,マネジメント,38
46,0,環境,名詞,一般,*,*,環境,38
48,0,社会,名詞,一般,*,*,社会,38
49,0,エネルギー,名詞,一般,*,*,エネルギー,38
51,0,環境,名詞,一般,*,*,環境,38
53,0,政策,名詞,一般,*,*,政策,38
54,0,地球,名詞,一般,*,*,地球,38
56,0,地域生態学,名詞,固有名詞,一般,*,地域生態学,41
57,0,概論,名詞,サ変接続,*,*,概論,36
58,0,防災,名詞,サ変接続,*,*,防災,36
59,0,工学,名詞,一般,*,*,工学,38
60,0,基礎,名詞,一般,*,*,基礎,38
61,0,流体,名詞,一般,*,*,流体,38
62,0,工学,名詞,一般,*,*,工学,38
63,0,基礎,名詞,一般,*,*,基礎,38
64,0,気象学,名詞,固有名詞,一般,*,気象学,41
65,0,基礎,名詞,一般,*,*,基礎,38
66,0,社会環境,名詞,固有名詞,一般,*,社会環境,41
67,0,政策,名詞,一般,*,*,政策,38
68,0,概論,名詞,サ変接続,*,*,概論,36
69,0,グローバル,名詞,一般,*,*,グローバル,38
70,0,リーダーシップ,名詞,一般,*,*,リーダーシップ,38
72,0,マネジメント,名詞,一般,*,*,マネジメント,38
73,0,環境,名詞,一般,*,*,環境,38
75,0,社会,名詞,一般,*,*,社会,38
76,0,エネルギー,名詞,一般,*,*,エネルギー,38
78,0,環境,名詞,一般,*,*,環境,38
80,0,政策,名詞,一般,*,*,政策,38
