,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,国際,名詞,一般,*,*,国際,38
1,0,開発,名詞,サ変接続,*,*,開発,36
2,0,共,名詞,接尾,一般,*,共,51
3,0,創,名詞,固有名詞,一般,*,創,41
4,0,市民社会,名詞,固有名詞,一般,*,市民社会,41
5,0,国際,名詞,一般,*,*,国際,38
6,0,開発,名詞,サ変接続,*,*,開発,36
7,0,共,名詞,接尾,一般,*,共,51
8,0,創,名詞,固有名詞,一般,*,創,41
9,0,市民社会,名詞,固有名詞,一般,*,市民社会,41
10,0,国際,名詞,一般,*,*,国際,38
11,0,開発,名詞,サ変接続,*,*,開発,36
12,0,共,名詞,接尾,一般,*,共,51
13,0,創,名詞,固有名詞,一般,*,創,41
14,0,市民社会,名詞,固有名詞,一般,*,市民社会,41
15,0,国際,名詞,一般,*,*,国際,38
16,0,開発,名詞,サ変接続,*,*,開発,36
17,0,共,名詞,接尾,一般,*,共,51
18,0,創,名詞,固有名詞,一般,*,創,41
19,0,市民社会,名詞,固有名詞,一般,*,市民社会,41
20,0,国際,名詞,一般,*,*,国際,38
21,0,開発,名詞,サ変接続,*,*,開発,36
22,0,共,名詞,接尾,一般,*,共,51
23,0,創,名詞,固有名詞,一般,*,創,41
24,0,市民社会,名詞,固有名詞,一般,*,市民社会,41
