,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,プロジェクトマネジメント,名詞,固有名詞,一般,*,プロジェクトマネジメント,41
1,0,PCM,名詞,固有名詞,一般,*,PCM,41
2,0,手法,名詞,一般,*,*,手法,38
4,0,タイムマネジメント,名詞,固有名詞,一般,*,タイムマネジメント,41
5,0,コスト,名詞,一般,*,*,コスト,38
6,0,マネジメント,名詞,一般,*,*,マネジメント,38
7,0,リスクマネジメント,名詞,固有名詞,一般,*,リスクマネジメント,41
8,0,プロジェクトマネジメント,名詞,固有名詞,一般,*,プロジェクトマネジメント,41
9,0,PMBOK,名詞,固有名詞,一般,*,PMBOK,41
10,0,KJ法,名詞,固有名詞,一般,*,KJ法,41
11,0,PCM,名詞,固有名詞,一般,*,PCM,41
12,0,手法,名詞,一般,*,*,手法,38
13,0,プロジェクトマネジメント,名詞,固有名詞,一般,*,プロジェクトマネジメント,41
14,0,PCM,名詞,固有名詞,一般,*,PCM,41
15,0,手法,名詞,一般,*,*,手法,38
17,0,タイムマネジメント,名詞,固有名詞,一般,*,タイムマネジメント,41
18,0,コスト,名詞,一般,*,*,コスト,38
19,0,マネジメント,名詞,一般,*,*,マネジメント,38
20,0,リスクマネジメント,名詞,固有名詞,一般,*,リスクマネジメント,41
21,0,プロジェクトマネジメント,名詞,固有名詞,一般,*,プロジェクトマネジメント,41
22,0,PCM,名詞,固有名詞,一般,*,PCM,41
23,0,手法,名詞,一般,*,*,手法,38
25,0,タイムマネジメント,名詞,固有名詞,一般,*,タイムマネジメント,41
26,0,コスト,名詞,一般,*,*,コスト,38
27,0,マネジメント,名詞,一般,*,*,マネジメント,38
28,0,リスクマネジメント,名詞,固有名詞,一般,*,リスクマネジメント,41
