,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,プロジェクトマネジメント,名詞,固有名詞,一般,*,プロジェクトマネジメント,41
2,0,PMBOK,名詞,固有名詞,一般,*,PMBOK,41
4,0,概要,名詞,一般,*,*,概要,38
5,0,プロジェクトマネジメント,名詞,固有名詞,一般,*,プロジェクトマネジメント,41
7,0,全体像,名詞,固有名詞,一般,*,全体像,41
9,0,理解,名詞,サ変接続,*,*,理解,36
16,0,PCM,名詞,固有名詞,一般,*,PCM,41
17,0,手法,名詞,一般,*,*,手法,38
19,0,ブレインストーミング,名詞,固有名詞,一般,*,ブレインストーミング,41
24,0,ログ,名詞,サ変接続,*,*,ログ,36
25,0,フレーム,名詞,一般,*,*,フレーム,38
27,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
29,0,中間,名詞,一般,*,*,中間,38
30,0,発表会,名詞,固有名詞,一般,*,発表会,41
31,0,中間,名詞,一般,*,*,中間,38
32,0,発表会,名詞,固有名詞,一般,*,発表会,41
33,0,タイムマネジメント,名詞,固有名詞,一般,*,タイムマネジメント,41
34,0,タイムマネジメント,名詞,固有名詞,一般,*,タイムマネジメント,41
36,0,理論,名詞,一般,*,*,理論,38
38,0,演習,名詞,サ変接続,*,*,演習,36
41,0,理論,名詞,一般,*,*,理論,38
43,0,演習,名詞,サ変接続,*,*,演習,36
44,0,リスクマネジメント,名詞,固有名詞,一般,*,リスクマネジメント,41
45,0,リスクマネジメント,名詞,固有名詞,一般,*,リスクマネジメント,41
47,0,理論,名詞,一般,*,*,理論,38
49,0,演習,名詞,サ変接続,*,*,演習,36
50,0,グループ,名詞,一般,*,*,グループ,38
51,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
52,0,最終,名詞,一般,*,*,最終,38
53,0,発表会,名詞,固有名詞,一般,*,発表会,41
54,0,最終,名詞,一般,*,*,最終,38
55,0,発表会,名詞,固有名詞,一般,*,発表会,41
56,0,プロジェクトマネジメント,名詞,固有名詞,一般,*,プロジェクトマネジメント,41
58,0,概要,名詞,一般,*,*,概要,38
59,0,プロジェクトマネジメント,名詞,固有名詞,一般,*,プロジェクトマネジメント,41
61,0,全体像,名詞,固有名詞,一般,*,全体像,41
63,0,理解,名詞,サ変接続,*,*,理解,36
66,0,PMBOK,名詞,固有名詞,一般,*,PMBOK,41
68,0,概要,名詞,一般,*,*,概要,38
69,0,PMBOK,名詞,固有名詞,一般,*,PMBOK,41
71,0,概要,名詞,一般,*,*,概要,38
73,0,理解,名詞,サ変接続,*,*,理解,36
76,0,国際,名詞,一般,*,*,国際,38
77,0,開発プロジェクト,名詞,固有名詞,一般,*,開発プロジェクト,41
79,0,実例,名詞,一般,*,*,実例,38
80,0,紹介,名詞,サ変接続,*,*,紹介,36
81,0,実例,名詞,一般,*,*,実例,38
85,0,国際,名詞,一般,*,*,国際,38
86,0,開発プロジェクト,名詞,固有名詞,一般,*,開発プロジェクト,41
88,0,理解,名詞,サ変接続,*,*,理解,36
91,0,グループ,名詞,一般,*,*,グループ,38
92,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
93,0,中間,名詞,一般,*,*,中間,38
94,0,発表会,名詞,固有名詞,一般,*,発表会,41
95,0,中間,名詞,一般,*,*,中間,38
96,0,発表会,名詞,固有名詞,一般,*,発表会,41
97,0,KJ法,名詞,固有名詞,一般,*,KJ法,41
98,0,KJ法,名詞,固有名詞,一般,*,KJ法,41
100,0,実践,名詞,サ変接続,*,*,実践,36
103,0,PCM,名詞,固有名詞,一般,*,PCM,41
104,0,手法,名詞,一般,*,*,手法,38
106,0,概要,名詞,一般,*,*,概要,38
107,0,PCM,名詞,固有名詞,一般,*,PCM,41
108,0,手法,名詞,一般,*,*,手法,38
110,0,学ぶ,動詞,自立,*,*,学ぶ,31
112,0,PCM,名詞,固有名詞,一般,*,PCM,41
113,0,手法,名詞,一般,*,*,手法,38
115,0,実践,名詞,サ変接続,*,*,実践,36
116,0,PCM,名詞,固有名詞,一般,*,PCM,41
117,0,手法,名詞,一般,*,*,手法,38
119,0,実践,名詞,サ変接続,*,*,実践,36
122,0,グループ,名詞,一般,*,*,グループ,38
123,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
124,0,最終,名詞,一般,*,*,最終,38
125,0,発表会,名詞,固有名詞,一般,*,発表会,41
126,0,最終,名詞,一般,*,*,最終,38
127,0,発表会,名詞,固有名詞,一般,*,発表会,41
