Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,日本,名詞,固有名詞,地域,国,日本,47
3,0,建築史,名詞,固有名詞,一般,*,建築史,41
7,0,社寺,名詞,一般,*,*,社寺,38
8,0,建築,名詞,サ変接続,*,*,建築,36
12,0,外観,名詞,一般,*,*,外観,38
13,0,意匠,名詞,一般,*,*,意匠,38
15,0,記念,名詞,サ変接続,*,*,記念,36
16,0,性,名詞,接尾,一般,*,性,51
18,0,表現,名詞,サ変接続,*,*,表現,36
21,0,貴族,名詞,一般,*,*,貴族,38
22,0,住宅,名詞,一般,*,*,住宅,38
25,0,室内,名詞,一般,*,*,室内,38
26,0,意匠,名詞,一般,*,*,意匠,38
28,0,身分,名詞,一般,*,*,身分,38
29,0,格式,名詞,一般,*,*,格式,38
31,0,表現,名詞,サ変接続,*,*,表現,36
36,0,過去,名詞,副詞可能,*,*,過去,67
38,0,規範,名詞,一般,*,*,規範,38
40,0,倣っ,動詞,自立,*,*,倣う,31
42,0,正統性,名詞,固有名詞,一般,*,正統性,41
44,0,示し,動詞,自立,*,*,示す,31
47,0,構,名詞,固有名詞,人名,姓,構,43
48,0,法,名詞,接尾,一般,*,法,51
50,0,装飾,名詞,サ変接続,*,*,装飾,36
52,0,空間,名詞,一般,*,*,空間,38
53,0,構成,名詞,サ変接続,*,*,構成,36
55,0,新味,名詞,一般,*,*,新味,38
57,0,加える,動詞,自立,*,*,加える,31
60,0,新しい,形容詞,自立,*,*,新しい,10
61,0,建築様式,名詞,固有名詞,一般,*,建築様式,41
63,0,創出,名詞,サ変接続,*,*,創出,36
73,0,木造建築,名詞,固有名詞,一般,*,木造建築,41
75,0,特性,名詞,一般,*,*,特性,38
77,0,活かし,動詞,自立,*,*,活かす,31
79,0,合理,名詞,一般,*,*,合理,38
80,0,的,名詞,接尾,形容動詞語幹,*,的,52
82,0,架,名詞,サ変接続,*,*,架,36
83,0,構,名詞,固有名詞,人名,姓,構,43
85,0,空間,名詞,一般,*,*,空間,38
86,0,構成,名詞,サ変接続,*,*,構成,36
88,0,ベース,名詞,一般,*,*,ベース,38
91,0,日本,名詞,固有名詞,地域,国,日本,47
92,0,建築,名詞,サ変接続,*,*,建築,36
94,0,生み出し,動詞,自立,*,*,生み出す,31
96,0,多様,名詞,形容動詞語幹,*,*,多様,40
98,0,建築,名詞,サ変接続,*,*,建築,36
99,0,表現,名詞,サ変接続,*,*,表現,36
101,0,理解,名詞,サ変接続,*,*,理解,36
103,0,深める,動詞,自立,*,*,深める,31
106,0,目標,名詞,一般,*,*,目標,38
111,0,日本,名詞,固有名詞,地域,国,日本,47
113,0,建築史,名詞,固有名詞,一般,*,建築史,41
117,0,社寺,名詞,一般,*,*,社寺,38
118,0,建築,名詞,サ変接続,*,*,建築,36
122,0,外観,名詞,一般,*,*,外観,38
123,0,意匠,名詞,一般,*,*,意匠,38
125,0,記念,名詞,サ変接続,*,*,記念,36
126,0,性,名詞,接尾,一般,*,性,51
128,0,表現,名詞,サ変接続,*,*,表現,36
131,0,貴族,名詞,一般,*,*,貴族,38
132,0,住宅,名詞,一般,*,*,住宅,38
135,0,室内,名詞,一般,*,*,室内,38
136,0,意匠,名詞,一般,*,*,意匠,38
138,0,身分,名詞,一般,*,*,身分,38
139,0,格式,名詞,一般,*,*,格式,38
141,0,表現,名詞,サ変接続,*,*,表現,36
146,0,過去,名詞,副詞可能,*,*,過去,67
148,0,規範,名詞,一般,*,*,規範,38
150,0,倣っ,動詞,自立,*,*,倣う,31
152,0,正統性,名詞,固有名詞,一般,*,正統性,41
154,0,示し,動詞,自立,*,*,示す,31
157,0,構,名詞,固有名詞,人名,姓,構,43
158,0,法,名詞,接尾,一般,*,法,51
160,0,装飾,名詞,サ変接続,*,*,装飾,36
