Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,20世紀,名詞,固有名詞,一般,*,20世紀,41
17,0,前半,名詞,一般,*,*,前半,38
19,0,計画,名詞,サ変接続,*,*,計画,36
20,0,コミュニティ,名詞,一般,*,*,コミュニティ,38
22,0,展開,名詞,サ変接続,*,*,展開,36
24,0,説明,名詞,サ変接続,*,*,説明,36
25,0,できる,動詞,自立,*,*,できる,31
29,0,戦後,名詞,副詞可能,*,*,戦後,67
31,0,住環境,名詞,一般,*,*,住環境,38
32,0,改善,名詞,サ変接続,*,*,改善,36
34,0,展開,名詞,サ変接続,*,*,展開,36
36,0,説明,名詞,サ変接続,*,*,説明,36
37,0,できる,動詞,自立,*,*,できる,31
41,0,東京,名詞,固有名詞,地域,一般,東京,46
43,0,市街,名詞,一般,*,*,市街,38
44,0,化,名詞,接尾,サ変接続,*,化,50
46,0,近年,名詞,副詞可能,*,*,近年,67
48,0,住環境,名詞,一般,*,*,住環境,38
50,0,状況,名詞,一般,*,*,状況,38
52,0,説明,名詞,サ変接続,*,*,説明,36
53,0,できる,動詞,自立,*,*,できる,31
57,0,住宅,名詞,一般,*,*,住宅,38
58,0,市街地,名詞,一般,*,*,市街地,38
60,0,地域,名詞,一般,*,*,地域,38
61,0,衰退,名詞,サ変接続,*,*,衰退,36
65,0,調査,名詞,サ変接続,*,*,調査,36
67,0,分析,名詞,サ変接続,*,*,分析,36
68,0,できる,動詞,自立,*,*,できる,31
72,0,住宅,名詞,一般,*,*,住宅,38
73,0,密集,名詞,サ変接続,*,*,密集,36
74,0,市街地,名詞,一般,*,*,市街地,38
76,0,住環境,名詞,一般,*,*,住環境,38
77,0,改善,名詞,サ変接続,*,*,改善,36
79,0,提案,名詞,サ変接続,*,*,提案,36
81,0,できる,動詞,自立,*,*,できる,31
84,0,講義,名詞,サ変接続,*,*,講義,36
86,0,履修,名詞,サ変接続,*,*,履修,36
90,0,次,名詞,一般,*,*,次,38
92,0,能力,名詞,一般,*,*,能力,38
94,0,修得,名詞,サ変接続,*,*,修得,36
99,0,20世紀,名詞,固有名詞,一般,*,20世紀,41
100,0,前半,名詞,一般,*,*,前半,38
102,0,計画,名詞,サ変接続,*,*,計画,36
103,0,コミュニティ,名詞,一般,*,*,コミュニティ,38
105,0,展開,名詞,サ変接続,*,*,展開,36
107,0,説明,名詞,サ変接続,*,*,説明,36
108,0,できる,動詞,自立,*,*,できる,31
112,0,戦後,名詞,副詞可能,*,*,戦後,67
114,0,住環境,名詞,一般,*,*,住環境,38
115,0,改善,名詞,サ変接続,*,*,改善,36
117,0,展開,名詞,サ変接続,*,*,展開,36
119,0,説明,名詞,サ変接続,*,*,説明,36
120,0,できる,動詞,自立,*,*,できる,31
124,0,東京,名詞,固有名詞,地域,一般,東京,46
126,0,市街,名詞,一般,*,*,市街,38
127,0,化,名詞,接尾,サ変接続,*,化,50
129,0,近年,名詞,副詞可能,*,*,近年,67
131,0,住環境,名詞,一般,*,*,住環境,38
133,0,状況,名詞,一般,*,*,状況,38
135,0,説明,名詞,サ変接続,*,*,説明,36
136,0,できる,動詞,自立,*,*,できる,31
140,0,住宅,名詞,一般,*,*,住宅,38
141,0,市街地,名詞,一般,*,*,市街地,38
143,0,地域,名詞,一般,*,*,地域,38
144,0,衰退,名詞,サ変接続,*,*,衰退,36
148,0,調査,名詞,サ変接続,*,*,調査,36
150,0,分析,名詞,サ変接続,*,*,分析,36
151,0,できる,動詞,自立,*,*,できる,31
155,0,住宅,名詞,一般,*,*,住宅,38
156,0,密集,名詞,サ変接続,*,*,密集,36
157,0,市街地,名詞,一般,*,*,市街地,38
159,0,住環境,名詞,一般,*,*,住環境,38
160,0,改善,名詞,サ変接続,*,*,改善,36
162,0,提案,名詞,サ変接続,*,*,提案,36
164,0,できる,動詞,自立,*,*,できる,31
167,0,講義,名詞,サ変接続,*,*,講義,36
169,0,履修,名詞,サ変接続,*,*,履修,36
173,0,次,名詞,一般,*,*,次,38
175,0,能力,名詞,一般,*,*,能力,38
177,0,修得,名詞,サ変接続,*,*,修得,36
182,0,20世紀,名詞,固有名詞,一般,*,20世紀,41
183,0,前半,名詞,一般,*,*,前半,38
185,0,計画,名詞,サ変接続,*,*,計画,36
186,0,コミュニティ,名詞,一般,*,*,コミュニティ,38
188,0,展開,名詞,サ変接続,*,*,展開,36
190,0,説明,名詞,サ変接続,*,*,説明,36
191,0,できる,動詞,自立,*,*,できる,31
195,0,戦後,名詞,副詞可能,*,*,戦後,67
197,0,住環境,名詞,一般,*,*,住環境,38
198,0,改善,名詞,サ変接続,*,*,改善,36
200,0,展開,名詞,サ変接続,*,*,展開,36
202,0,説明,名詞,サ変接続,*,*,説明,36
203,0,できる,動詞,自立,*,*,できる,31
207,0,東京,名詞,固有名詞,地域,一般,東京,46
209,0,市街,名詞,一般,*,*,市街,38
210,0,化,名詞,接尾,サ変接続,*,化,50
212,0,近年,名詞,副詞可能,*,*,近年,67
214,0,住環境,名詞,一般,*,*,住環境,38
216,0,状況,名詞,一般,*,*,状況,38
218,0,説明,名詞,サ変接続,*,*,説明,36
219,0,できる,動詞,自立,*,*,できる,31
223,0,住宅,名詞,一般,*,*,住宅,38
224,0,市街地,名詞,一般,*,*,市街地,38
226,0,地域,名詞,一般,*,*,地域,38
227,0,衰退,名詞,サ変接続,*,*,衰退,36
231,0,調査,名詞,サ変接続,*,*,調査,36
233,0,分析,名詞,サ変接続,*,*,分析,36
234,0,できる,動詞,自立,*,*,できる,31
238,0,住宅,名詞,一般,*,*,住宅,38
239,0,密集,名詞,サ変接続,*,*,密集,36
240,0,市街地,名詞,一般,*,*,市街地,38
242,0,住環境,名詞,一般,*,*,住環境,38
243,0,改善,名詞,サ変接続,*,*,改善,36
245,0,提案,名詞,サ変接続,*,*,提案,36
247,0,できる,動詞,自立,*,*,できる,31
250,0,講義,名詞,サ変接続,*,*,講義,36
252,0,履修,名詞,サ変接続,*,*,履修,36
256,0,次,名詞,一般,*,*,次,38
258,0,能力,名詞,一般,*,*,能力,38
260,0,修得,名詞,サ変接続,*,*,修得,36
265,0,20世紀,名詞,固有名詞,一般,*,20世紀,41
266,0,前半,名詞,一般,*,*,前半,38
268,0,計画,名詞,サ変接続,*,*,計画,36
269,0,コミュニティ,名詞,一般,*,*,コミュニティ,38
271,0,展開,名詞,サ変接続,*,*,展開,36
273,0,説明,名詞,サ変接続,*,*,説明,36
274,0,できる,動詞,自立,*,*,できる,31
278,0,戦後,名詞,副詞可能,*,*,戦後,67
280,0,住環境,名詞,一般,*,*,住環境,38
281,0,改善,名詞,サ変接続,*,*,改善,36
283,0,展開,名詞,サ変接続,*,*,展開,36
285,0,説明,名詞,サ変接続,*,*,説明,36
286,0,できる,動詞,自立,*,*,できる,31
290,0,東京,名詞,固有名詞,地域,一般,東京,46
292,0,市街,名詞,一般,*,*,市街,38
293,0,化,名詞,接尾,サ変接続,*,化,50
295,0,近年,名詞,副詞可能,*,*,近年,67
297,0,住環境,名詞,一般,*,*,住環境,38
299,0,状況,名詞,一般,*,*,状況,38
301,0,説明,名詞,サ変接続,*,*,説明,36
302,0,できる,動詞,自立,*,*,できる,31
306,0,住宅,名詞,一般,*,*,住宅,38
307,0,市街地,名詞,一般,*,*,市街地,38
309,0,地域,名詞,一般,*,*,地域,38
310,0,衰退,名詞,サ変接続,*,*,衰退,36
314,0,調査,名詞,サ変接続,*,*,調査,36
316,0,分析,名詞,サ変接続,*,*,分析,36
317,0,できる,動詞,自立,*,*,できる,31
321,0,住宅,名詞,一般,*,*,住宅,38
322,0,密集,名詞,サ変接続,*,*,密集,36
323,0,市街地,名詞,一般,*,*,市街地,38
325,0,住環境,名詞,一般,*,*,住環境,38
326,0,改善,名詞,サ変接続,*,*,改善,36
328,0,提案,名詞,サ変接続,*,*,提案,36
330,0,できる,動詞,自立,*,*,できる,31
333,0,講義,名詞,サ変接続,*,*,講義,36
335,0,履修,名詞,サ変接続,*,*,履修,36
339,0,次,名詞,一般,*,*,次,38
341,0,能力,名詞,一般,*,*,能力,38
343,0,修得,名詞,サ変接続,*,*,修得,36
348,0,20世紀,名詞,固有名詞,一般,*,20世紀,41
349,0,前半,名詞,一般,*,*,前半,38
351,0,計画,名詞,サ変接続,*,*,計画,36
352,0,コミュニティ,名詞,一般,*,*,コミュニティ,38
354,0,展開,名詞,サ変接続,*,*,展開,36
356,0,説明,名詞,サ変接続,*,*,説明,36
357,0,できる,動詞,自立,*,*,できる,31
361,0,戦後,名詞,副詞可能,*,*,戦後,67
363,0,住環境,名詞,一般,*,*,住環境,38
364,0,改善,名詞,サ変接続,*,*,改善,36
366,0,展開,名詞,サ変接続,*,*,展開,36
368,0,説明,名詞,サ変接続,*,*,説明,36
369,0,できる,動詞,自立,*,*,できる,31
373,0,東京,名詞,固有名詞,地域,一般,東京,46
375,0,市街,名詞,一般,*,*,市街,38
376,0,化,名詞,接尾,サ変接続,*,化,50
378,0,近年,名詞,副詞可能,*,*,近年,67
380,0,住環境,名詞,一般,*,*,住環境,38
382,0,状況,名詞,一般,*,*,状況,38
384,0,説明,名詞,サ変接続,*,*,説明,36
385,0,できる,動詞,自立,*,*,できる,31
389,0,住宅,名詞,一般,*,*,住宅,38
390,0,市街地,名詞,一般,*,*,市街地,38
392,0,地域,名詞,一般,*,*,地域,38
393,0,衰退,名詞,サ変接続,*,*,衰退,36
397,0,調査,名詞,サ変接続,*,*,調査,36
399,0,分析,名詞,サ変接続,*,*,分析,36
400,0,できる,動詞,自立,*,*,できる,31
404,0,住宅,名詞,一般,*,*,住宅,38
405,0,密集,名詞,サ変接続,*,*,密集,36
406,0,市街地,名詞,一般,*,*,市街地,38
408,0,住環境,名詞,一般,*,*,住環境,38
409,0,改善,名詞,サ変接続,*,*,改善,36
411,0,提案,名詞,サ変接続,*,*,提案,36
413,0,できる,動詞,自立,*,*,できる,31
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,20世紀,名詞,固有名詞,一般,*,20世紀,41
17,0,前半,名詞,一般,*,*,前半,38
19,0,計画,名詞,サ変接続,*,*,計画,36
20,0,コミュニティ,名詞,一般,*,*,コミュニティ,38
22,0,展開,名詞,サ変接続,*,*,展開,36
24,0,説明,名詞,サ変接続,*,*,説明,36
25,0,できる,動詞,自立,*,*,できる,31
29,0,戦後,名詞,副詞可能,*,*,戦後,67
31,0,住環境,名詞,一般,*,*,住環境,38
32,0,改善,名詞,サ変接続,*,*,改善,36
34,0,展開,名詞,サ変接続,*,*,展開,36
36,0,説明,名詞,サ変接続,*,*,説明,36
37,0,できる,動詞,自立,*,*,できる,31
41,0,東京,名詞,固有名詞,地域,一般,東京,46
43,0,市街,名詞,一般,*,*,市街,38
44,0,化,名詞,接尾,サ変接続,*,化,50
46,0,近年,名詞,副詞可能,*,*,近年,67
48,0,住環境,名詞,一般,*,*,住環境,38
50,0,状況,名詞,一般,*,*,状況,38
52,0,説明,名詞,サ変接続,*,*,説明,36
53,0,できる,動詞,自立,*,*,できる,31
57,0,住宅,名詞,一般,*,*,住宅,38
58,0,市街地,名詞,一般,*,*,市街地,38
60,0,地域,名詞,一般,*,*,地域,38
61,0,衰退,名詞,サ変接続,*,*,衰退,36
65,0,調査,名詞,サ変接続,*,*,調査,36
67,0,分析,名詞,サ変接続,*,*,分析,36
68,0,できる,動詞,自立,*,*,できる,31
72,0,住宅,名詞,一般,*,*,住宅,38
73,0,密集,名詞,サ変接続,*,*,密集,36
74,0,市街地,名詞,一般,*,*,市街地,38
76,0,住環境,名詞,一般,*,*,住環境,38
77,0,改善,名詞,サ変接続,*,*,改善,36
79,0,提案,名詞,サ変接続,*,*,提案,36
81,0,できる,動詞,自立,*,*,できる,31
84,0,講義,名詞,サ変接続,*,*,講義,36
86,0,履修,名詞,サ変接続,*,*,履修,36
90,0,次,名詞,一般,*,*,次,38
92,0,能力,名詞,一般,*,*,能力,38
94,0,修得,名詞,サ変接続,*,*,修得,36
99,0,20世紀,名詞,固有名詞,一般,*,20世紀,41
