Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,次に,副詞,一般,*,*,次に,34
1,0,挙げる,動詞,自立,*,*,挙げる,31
2,0,単純,名詞,形容動詞語幹,*,*,単純,40
4,0,構造,名詞,一般,*,*,構造,38
5,0,部材,名詞,一般,*,*,部材,38
7,0,強度,名詞,一般,*,*,強度,38
9,0,剛性,名詞,一般,*,*,剛性,38
11,0,初歩,名詞,一般,*,*,初歩,38
12,0,的,名詞,接尾,形容動詞語幹,*,的,52
14,0,設計,名詞,サ変接続,*,*,設計,36
16,0,評価,名詞,サ変接続,*,*,評価,36
18,0,可能,名詞,形容動詞語幹,*,*,可能,40
20,0,なる,動詞,自立,*,*,なる,31
23,0,目標,名詞,一般,*,*,目標,38
30,0,引張り,動詞,自立,*,*,引張る,31
32,0,圧縮,名詞,サ変接続,*,*,圧縮,36
34,0,作用,名詞,サ変接続,*,*,作用,36
36,0,棒,名詞,一般,*,*,棒,38
40,0,ねじり,動詞,自立,*,*,ねじる,31
42,0,作用,名詞,サ変接続,*,*,作用,36
44,0,軸,名詞,一般,*,*,軸,38
48,0,曲げ,動詞,自立,*,*,曲げる,31
50,0,作用,名詞,サ変接続,*,*,作用,36
52,0,梁次,名詞,固有名詞,人名,姓,梁次,43
54,0,挙げる,動詞,自立,*,*,挙げる,31
55,0,単純,名詞,形容動詞語幹,*,*,単純,40
57,0,構造,名詞,一般,*,*,構造,38
58,0,部材,名詞,一般,*,*,部材,38
60,0,強度,名詞,一般,*,*,強度,38
62,0,剛性,名詞,一般,*,*,剛性,38
64,0,初歩,名詞,一般,*,*,初歩,38
65,0,的,名詞,接尾,形容動詞語幹,*,的,52
67,0,設計,名詞,サ変接続,*,*,設計,36
69,0,評価,名詞,サ変接続,*,*,評価,36
71,0,可能,名詞,形容動詞語幹,*,*,可能,40
73,0,なる,動詞,自立,*,*,なる,31
76,0,目標,名詞,一般,*,*,目標,38
83,0,引張り,動詞,自立,*,*,引張る,31
85,0,圧縮,名詞,サ変接続,*,*,圧縮,36
87,0,作用,名詞,サ変接続,*,*,作用,36
89,0,棒,名詞,一般,*,*,棒,38
93,0,ねじり,動詞,自立,*,*,ねじる,31
95,0,作用,名詞,サ変接続,*,*,作用,36
97,0,軸,名詞,一般,*,*,軸,38
101,0,曲げ,動詞,自立,*,*,曲げる,31
103,0,作用,名詞,サ変接続,*,*,作用,36
105,0,梁次,名詞,固有名詞,人名,姓,梁次,43
107,0,挙げる,動詞,自立,*,*,挙げる,31
108,0,単純,名詞,形容動詞語幹,*,*,単純,40
110,0,構造,名詞,一般,*,*,構造,38
111,0,部材,名詞,一般,*,*,部材,38
113,0,強度,名詞,一般,*,*,強度,38
115,0,剛性,名詞,一般,*,*,剛性,38
117,0,初歩,名詞,一般,*,*,初歩,38
118,0,的,名詞,接尾,形容動詞語幹,*,的,52
120,0,設計,名詞,サ変接続,*,*,設計,36
122,0,評価,名詞,サ変接続,*,*,評価,36
124,0,可能,名詞,形容動詞語幹,*,*,可能,40
126,0,なる,動詞,自立,*,*,なる,31
129,0,目標,名詞,一般,*,*,目標,38
136,0,引張り,動詞,自立,*,*,引張る,31
138,0,圧縮,名詞,サ変接続,*,*,圧縮,36
140,0,作用,名詞,サ変接続,*,*,作用,36
142,0,棒,名詞,一般,*,*,棒,38
146,0,ねじり,動詞,自立,*,*,ねじる,31
148,0,作用,名詞,サ変接続,*,*,作用,36
150,0,軸,名詞,一般,*,*,軸,38
154,0,曲げ,動詞,自立,*,*,曲げる,31
156,0,作用,名詞,サ変接続,*,*,作用,36
158,0,梁次,名詞,固有名詞,人名,姓,梁次,43
160,0,挙げる,動詞,自立,*,*,挙げる,31
161,0,単純,名詞,形容動詞語幹,*,*,単純,40
163,0,構造,名詞,一般,*,*,構造,38
164,0,部材,名詞,一般,*,*,部材,38
166,0,強度,名詞,一般,*,*,強度,38
168,0,剛性,名詞,一般,*,*,剛性,38
170,0,初歩,名詞,一般,*,*,初歩,38
171,0,的,名詞,接尾,形容動詞語幹,*,的,52
173,0,設計,名詞,サ変接続,*,*,設計,36
175,0,評価,名詞,サ変接続,*,*,評価,36
177,0,可能,名詞,形容動詞語幹,*,*,可能,40
179,0,なる,動詞,自立,*,*,なる,31
182,0,目標,名詞,一般,*,*,目標,38
189,0,引張り,動詞,自立,*,*,引張る,31
191,0,圧縮,名詞,サ変接続,*,*,圧縮,36
193,0,作用,名詞,サ変接続,*,*,作用,36
195,0,棒,名詞,一般,*,*,棒,38
199,0,ねじり,動詞,自立,*,*,ねじる,31
201,0,作用,名詞,サ変接続,*,*,作用,36
203,0,軸,名詞,一般,*,*,軸,38
