Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
17,0,分子,名詞,一般,*,*,分子,38
18,0,分光,名詞,サ変接続,*,*,分光,36
19,0,分析,名詞,サ変接続,*,*,分析,36
20,0,法,名詞,接尾,一般,*,法,51
22,0,原理,名詞,一般,*,*,原理,38
24,0,応用,名詞,サ変接続,*,*,応用,36
26,0,説明,名詞,サ変接続,*,*,説明,36
27,0,できる,動詞,自立,*,*,できる,31
32,0,高分子,名詞,一般,*,*,高分子,38
34,0,分析,名詞,サ変接続,*,*,分析,36
35,0,法,名詞,接尾,一般,*,法,51
37,0,原理,名詞,一般,*,*,原理,38
39,0,応用,名詞,サ変接続,*,*,応用,36
41,0,説明,名詞,サ変接続,*,*,説明,36
42,0,できる,動詞,自立,*,*,できる,31
47,0,固体,名詞,一般,*,*,固体,38
49,0,分析,名詞,サ変接続,*,*,分析,36
50,0,法,名詞,接尾,一般,*,法,51
52,0,原理,名詞,一般,*,*,原理,38
54,0,応用,名詞,サ変接続,*,*,応用,36
56,0,説明,名詞,サ変接続,*,*,説明,36
57,0,できる,動詞,自立,*,*,できる,31
60,0,講義,名詞,サ変接続,*,*,講義,36
62,0,履修,名詞,サ変接続,*,*,履修,36
66,0,次,名詞,一般,*,*,次,38
68,0,能力,名詞,一般,*,*,能力,38
70,0,修得,名詞,サ変接続,*,*,修得,36
76,0,分子,名詞,一般,*,*,分子,38
77,0,分光,名詞,サ変接続,*,*,分光,36
78,0,分析,名詞,サ変接続,*,*,分析,36
79,0,法,名詞,接尾,一般,*,法,51
81,0,原理,名詞,一般,*,*,原理,38
83,0,応用,名詞,サ変接続,*,*,応用,36
85,0,説明,名詞,サ変接続,*,*,説明,36
86,0,できる,動詞,自立,*,*,できる,31
91,0,高分子,名詞,一般,*,*,高分子,38
93,0,分析,名詞,サ変接続,*,*,分析,36
94,0,法,名詞,接尾,一般,*,法,51
96,0,原理,名詞,一般,*,*,原理,38
98,0,応用,名詞,サ変接続,*,*,応用,36
100,0,説明,名詞,サ変接続,*,*,説明,36
101,0,できる,動詞,自立,*,*,できる,31
106,0,固体,名詞,一般,*,*,固体,38
108,0,分析,名詞,サ変接続,*,*,分析,36
109,0,法,名詞,接尾,一般,*,法,51
111,0,原理,名詞,一般,*,*,原理,38
113,0,応用,名詞,サ変接続,*,*,応用,36
115,0,説明,名詞,サ変接続,*,*,説明,36
116,0,できる,動詞,自立,*,*,できる,31
119,0,講義,名詞,サ変接続,*,*,講義,36
121,0,履修,名詞,サ変接続,*,*,履修,36
125,0,次,名詞,一般,*,*,次,38
127,0,能力,名詞,一般,*,*,能力,38
129,0,修得,名詞,サ変接続,*,*,修得,36
135,0,分子,名詞,一般,*,*,分子,38
136,0,分光,名詞,サ変接続,*,*,分光,36
137,0,分析,名詞,サ変接続,*,*,分析,36
138,0,法,名詞,接尾,一般,*,法,51
140,0,原理,名詞,一般,*,*,原理,38
142,0,応用,名詞,サ変接続,*,*,応用,36
144,0,説明,名詞,サ変接続,*,*,説明,36
145,0,できる,動詞,自立,*,*,できる,31
150,0,高分子,名詞,一般,*,*,高分子,38
152,0,分析,名詞,サ変接続,*,*,分析,36
153,0,法,名詞,接尾,一般,*,法,51
155,0,原理,名詞,一般,*,*,原理,38
157,0,応用,名詞,サ変接続,*,*,応用,36
159,0,説明,名詞,サ変接続,*,*,説明,36
160,0,できる,動詞,自立,*,*,できる,31
165,0,固体,名詞,一般,*,*,固体,38
167,0,分析,名詞,サ変接続,*,*,分析,36
168,0,法,名詞,接尾,一般,*,法,51
170,0,原理,名詞,一般,*,*,原理,38
172,0,応用,名詞,サ変接続,*,*,応用,36
174,0,説明,名詞,サ変接続,*,*,説明,36
175,0,できる,動詞,自立,*,*,できる,31
178,0,講義,名詞,サ変接続,*,*,講義,36
180,0,履修,名詞,サ変接続,*,*,履修,36
184,0,次,名詞,一般,*,*,次,38
186,0,能力,名詞,一般,*,*,能力,38
188,0,修得,名詞,サ変接続,*,*,修得,36
194,0,分子,名詞,一般,*,*,分子,38
195,0,分光,名詞,サ変接続,*,*,分光,36
196,0,分析,名詞,サ変接続,*,*,分析,36
197,0,法,名詞,接尾,一般,*,法,51
199,0,原理,名詞,一般,*,*,原理,38
201,0,応用,名詞,サ変接続,*,*,応用,36
203,0,説明,名詞,サ変接続,*,*,説明,36
204,0,できる,動詞,自立,*,*,できる,31
209,0,高分子,名詞,一般,*,*,高分子,38
211,0,分析,名詞,サ変接続,*,*,分析,36
212,0,法,名詞,接尾,一般,*,法,51
214,0,原理,名詞,一般,*,*,原理,38
216,0,応用,名詞,サ変接続,*,*,応用,36
218,0,説明,名詞,サ変接続,*,*,説明,36
219,0,できる,動詞,自立,*,*,できる,31
224,0,固体,名詞,一般,*,*,固体,38
226,0,分析,名詞,サ変接続,*,*,分析,36
227,0,法,名詞,接尾,一般,*,法,51
229,0,原理,名詞,一般,*,*,原理,38
231,0,応用,名詞,サ変接続,*,*,応用,36
233,0,説明,名詞,サ変接続,*,*,説明,36
234,0,できる,動詞,自立,*,*,できる,31
0,0,紫,名詞,一般,*,*,紫,38
1,0,外,名詞,接尾,一般,*,外,51
2,0,可視,名詞,一般,*,*,可視,38
3,0,吸収,名詞,サ変接続,*,*,吸収,36
4,0,赤,名詞,一般,*,*,赤,38
5,0,外,名詞,接尾,一般,*,外,51
6,0,吸収,名詞,サ変接続,*,*,吸収,36
7,0,ラマン,名詞,固有名詞,一般,*,L'amantラマン,41
8,0,散乱,名詞,サ変接続,*,*,散乱,36
9,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
10,0,高分子,名詞,一般,*,*,高分子,38
11,0,固体,名詞,一般,*,*,固体,38
12,0,紫,名詞,一般,*,*,紫,38
13,0,外,名詞,接尾,一般,*,外,51
14,0,可視,名詞,一般,*,*,可視,38
15,0,吸収,名詞,サ変接続,*,*,吸収,36
16,0,赤,名詞,一般,*,*,赤,38
17,0,外,名詞,接尾,一般,*,外,51
18,0,吸収,名詞,サ変接続,*,*,吸収,36
19,0,ラマン,名詞,固有名詞,一般,*,L'amantラマン,41
20,0,散乱,名詞,サ変接続,*,*,散乱,36
21,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
22,0,高分子,名詞,一般,*,*,高分子,38
23,0,固体,名詞,一般,*,*,固体,38
24,0,紫,名詞,一般,*,*,紫,38
25,0,外,名詞,接尾,一般,*,外,51
26,0,可視,名詞,一般,*,*,可視,38
27,0,吸収,名詞,サ変接続,*,*,吸収,36
28,0,赤,名詞,一般,*,*,赤,38
29,0,外,名詞,接尾,一般,*,外,51
30,0,吸収,名詞,サ変接続,*,*,吸収,36
31,0,ラマン,名詞,固有名詞,一般,*,L'amantラマン,41
32,0,散乱,名詞,サ変接続,*,*,散乱,36
33,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
34,0,高分子,名詞,一般,*,*,高分子,38
35,0,固体,名詞,一般,*,*,固体,38
36,0,紫,名詞,一般,*,*,紫,38
37,0,外,名詞,接尾,一般,*,外,51
38,0,可視,名詞,一般,*,*,可視,38
39,0,吸収,名詞,サ変接続,*,*,吸収,36
40,0,赤,名詞,一般,*,*,赤,38
41,0,外,名詞,接尾,一般,*,外,51
42,0,吸収,名詞,サ変接続,*,*,吸収,36
43,0,ラマン,名詞,固有名詞,一般,*,L'amantラマン,41
44,0,散乱,名詞,サ変接続,*,*,散乱,36
45,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
46,0,高分子,名詞,一般,*,*,高分子,38
47,0,固体,名詞,一般,*,*,固体,38
0,0,紫,名詞,一般,*,*,紫,38
1,0,外,名詞,接尾,一般,*,外,51
2,0,可視,名詞,一般,*,*,可視,38
3,0,吸収,名詞,サ変接続,*,*,吸収,36
4,0,赤,名詞,一般,*,*,赤,38
5,0,外,名詞,接尾,一般,*,外,51
6,0,吸収,名詞,サ変接続,*,*,吸収,36
7,0,ラマン,名詞,固有名詞,一般,*,L'amantラマン,41
8,0,散乱,名詞,サ変接続,*,*,散乱,36
9,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
10,0,高分子,名詞,一般,*,*,高分子,38
11,0,固体,名詞,一般,*,*,固体,38
12,0,紫,名詞,一般,*,*,紫,38
13,0,外,名詞,接尾,一般,*,外,51
14,0,可視,名詞,一般,*,*,可視,38
15,0,吸収,名詞,サ変接続,*,*,吸収,36
16,0,赤,名詞,一般,*,*,赤,38
17,0,外,名詞,接尾,一般,*,外,51
18,0,吸収,名詞,サ変接続,*,*,吸収,36
19,0,ラマン,名詞,固有名詞,一般,*,L'amantラマン,41
20,0,散乱,名詞,サ変接続,*,*,散乱,36
21,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
22,0,高分子,名詞,一般,*,*,高分子,38
23,0,固体,名詞,一般,*,*,固体,38
24,0,紫,名詞,一般,*,*,紫,38
25,0,外,名詞,接尾,一般,*,外,51
26,0,可視,名詞,一般,*,*,可視,38
27,0,吸収,名詞,サ変接続,*,*,吸収,36
28,0,赤,名詞,一般,*,*,赤,38
29,0,外,名詞,接尾,一般,*,外,51
30,0,吸収,名詞,サ変接続,*,*,吸収,36
31,0,ラマン,名詞,固有名詞,一般,*,L'amantラマン,41
32,0,散乱,名詞,サ変接続,*,*,散乱,36
33,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
34,0,高分子,名詞,一般,*,*,高分子,38
35,0,固体,名詞,一般,*,*,固体,38
36,0,紫,名詞,一般,*,*,紫,38
37,0,外,名詞,接尾,一般,*,外,51
38,0,可視,名詞,一般,*,*,可視,38
39,0,吸収,名詞,サ変接続,*,*,吸収,36
40,0,赤,名詞,一般,*,*,赤,38
41,0,外,名詞,接尾,一般,*,外,51
42,0,吸収,名詞,サ変接続,*,*,吸収,36
43,0,ラマン,名詞,固有名詞,一般,*,L'amantラマン,41
44,0,散乱,名詞,サ変接続,*,*,散乱,36
45,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
46,0,高分子,名詞,一般,*,*,高分子,38
47,0,固体,名詞,一般,*,*,固体,38
0,0,紫,名詞,一般,*,*,紫,38
1,0,外,名詞,接尾,一般,*,外,51
2,0,可視,名詞,一般,*,*,可視,38
3,0,吸収,名詞,サ変接続,*,*,吸収,36
4,0,赤,名詞,一般,*,*,赤,38
5,0,外,名詞,接尾,一般,*,外,51
6,0,吸収,名詞,サ変接続,*,*,吸収,36
7,0,ラマン,名詞,固有名詞,一般,*,L'amantラマン,41
8,0,散乱,名詞,サ変接続,*,*,散乱,36
9,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
10,0,高分子,名詞,一般,*,*,高分子,38
11,0,固体,名詞,一般,*,*,固体,38
12,0,紫,名詞,一般,*,*,紫,38
13,0,外,名詞,接尾,一般,*,外,51
14,0,可視,名詞,一般,*,*,可視,38
15,0,吸収,名詞,サ変接続,*,*,吸収,36
16,0,赤,名詞,一般,*,*,赤,38
17,0,外,名詞,接尾,一般,*,外,51
18,0,吸収,名詞,サ変接続,*,*,吸収,36
19,0,ラマン,名詞,固有名詞,一般,*,L'amantラマン,41
20,0,散乱,名詞,サ変接続,*,*,散乱,36
21,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
22,0,高分子,名詞,一般,*,*,高分子,38
23,0,固体,名詞,一般,*,*,固体,38
24,0,紫,名詞,一般,*,*,紫,38
25,0,外,名詞,接尾,一般,*,外,51
26,0,可視,名詞,一般,*,*,可視,38
27,0,吸収,名詞,サ変接続,*,*,吸収,36
28,0,赤,名詞,一般,*,*,赤,38
29,0,外,名詞,接尾,一般,*,外,51
30,0,吸収,名詞,サ変接続,*,*,吸収,36
31,0,ラマン,名詞,固有名詞,一般,*,L'amantラマン,41
32,0,散乱,名詞,サ変接続,*,*,散乱,36
33,0,核磁気共鳴,名詞,固有名詞,一般,*,核磁気共鳴,41
34,0,高分子,名詞,一般,*,*,高分子,38
35,0,固体,名詞,一般,*,*,固体,38
36,0,紫,名詞,一般,*,*,紫,38
37,0,外,名詞,接尾,一般,*,外,51
38,0,可視,名詞,一般,*,*,可視,38
