Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,無機化合物,名詞,固有名詞,一般,*,無機化合物,41
18,0,構造,名詞,一般,*,*,構造,38
20,0,価電子,名詞,固有名詞,一般,*,価電子,41
22,0,関連,名詞,サ変接続,*,*,関連,36
24,0,説明,名詞,サ変接続,*,*,説明,36
25,0,できる,動詞,自立,*,*,できる,31
29,0,金属,名詞,一般,*,*,金属,38
30,0,錯体,名詞,一般,*,*,錯体,38
32,0,構造,名詞,一般,*,*,構造,38
34,0,電子状態,名詞,固有名詞,一般,*,電子状態,41
36,0,説明,名詞,サ変接続,*,*,説明,36
37,0,できる,動詞,自立,*,*,できる,31
41,0,金属,名詞,一般,*,*,金属,38
42,0,錯体,名詞,一般,*,*,錯体,38
44,0,電子,名詞,一般,*,*,電子,38
45,0,スペクトル,名詞,一般,*,*,スペクトル,38
47,0,分子,名詞,一般,*,*,分子,38
48,0,振動,名詞,サ変接続,*,*,振動,36
50,0,説明,名詞,サ変接続,*,*,説明,36
51,0,できる,動詞,自立,*,*,できる,31
56,0,使っ,動詞,自立,*,*,使う,31
58,0,実験,名詞,サ変接続,*,*,実験,36
60,0,理論,名詞,一般,*,*,理論,38
62,0,データ,名詞,一般,*,*,データ,38
64,0,評価,名詞,サ変接続,*,*,評価,36
66,0,できる,動詞,自立,*,*,できる,31
69,0,基本,名詞,一般,*,*,基本,38
70,0,的,名詞,接尾,形容動詞語幹,*,的,52
72,0,結晶,名詞,サ変接続,*,*,結晶,36
73,0,学,名詞,接尾,一般,*,学,51
75,0,知識,名詞,一般,*,*,知識,38
77,0,使っ,動詞,自立,*,*,使う,31
79,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
80,0,実験,名詞,サ変接続,*,*,実験,36
82,0,得,動詞,自立,*,*,得る,31
85,0,データ,名詞,一般,*,*,データ,38
87,0,評価,名詞,サ変接続,*,*,評価,36
89,0,できる,動詞,自立,*,*,できる,31
92,0,群論,名詞,一般,*,*,群論,38
94,0,用い,動詞,自立,*,*,用いる,31
96,0,分子の対称性,名詞,固有名詞,一般,*,分子の対称性,41
98,0,理解,名詞,サ変接続,*,*,理解,36
100,0,スペクトル,名詞,一般,*,*,スペクトル,38
101,0,測定,名詞,サ変接続,*,*,測定,36
102,0,実験,名詞,サ変接続,*,*,実験,36
104,0,得,動詞,自立,*,*,得る,31
107,0,データ,名詞,一般,*,*,データ,38
109,0,評価,名詞,サ変接続,*,*,評価,36
111,0,できる,動詞,自立,*,*,できる,31
113,0,講義,名詞,サ変接続,*,*,講義,36
115,0,履修,名詞,サ変接続,*,*,履修,36
119,0,次,名詞,一般,*,*,次,38
121,0,能力,名詞,一般,*,*,能力,38
123,0,修得,名詞,サ変接続,*,*,修得,36
128,0,無機化合物,名詞,固有名詞,一般,*,無機化合物,41
130,0,構造,名詞,一般,*,*,構造,38
132,0,価電子,名詞,固有名詞,一般,*,価電子,41
134,0,関連,名詞,サ変接続,*,*,関連,36
136,0,説明,名詞,サ変接続,*,*,説明,36
137,0,できる,動詞,自立,*,*,できる,31
141,0,金属,名詞,一般,*,*,金属,38
142,0,錯体,名詞,一般,*,*,錯体,38
144,0,構造,名詞,一般,*,*,構造,38
146,0,電子状態,名詞,固有名詞,一般,*,電子状態,41
148,0,説明,名詞,サ変接続,*,*,説明,36
149,0,できる,動詞,自立,*,*,できる,31
153,0,金属,名詞,一般,*,*,金属,38
154,0,錯体,名詞,一般,*,*,錯体,38
156,0,電子,名詞,一般,*,*,電子,38
157,0,スペクトル,名詞,一般,*,*,スペクトル,38
159,0,分子,名詞,一般,*,*,分子,38
160,0,振動,名詞,サ変接続,*,*,振動,36
162,0,説明,名詞,サ変接続,*,*,説明,36
163,0,できる,動詞,自立,*,*,できる,31
165,0,講義,名詞,サ変接続,*,*,講義,36
167,0,履修,名詞,サ変接続,*,*,履修,36
171,0,次,名詞,一般,*,*,次,38
173,0,能力,名詞,一般,*,*,能力,38
175,0,修得,名詞,サ変接続,*,*,修得,36
180,0,無機化合物,名詞,固有名詞,一般,*,無機化合物,41
182,0,構造,名詞,一般,*,*,構造,38
184,0,価電子,名詞,固有名詞,一般,*,価電子,41
186,0,関連,名詞,サ変接続,*,*,関連,36
188,0,説明,名詞,サ変接続,*,*,説明,36
189,0,できる,動詞,自立,*,*,できる,31
193,0,金属,名詞,一般,*,*,金属,38
194,0,錯体,名詞,一般,*,*,錯体,38
196,0,構造,名詞,一般,*,*,構造,38
198,0,電子状態,名詞,固有名詞,一般,*,電子状態,41
200,0,説明,名詞,サ変接続,*,*,説明,36
201,0,できる,動詞,自立,*,*,できる,31
205,0,金属,名詞,一般,*,*,金属,38
206,0,錯体,名詞,一般,*,*,錯体,38
208,0,電子,名詞,一般,*,*,電子,38
209,0,スペクトル,名詞,一般,*,*,スペクトル,38
211,0,分子,名詞,一般,*,*,分子,38
212,0,振動,名詞,サ変接続,*,*,振動,36
214,0,説明,名詞,サ変接続,*,*,説明,36
215,0,できる,動詞,自立,*,*,できる,31
217,0,講義,名詞,サ変接続,*,*,講義,36
219,0,履修,名詞,サ変接続,*,*,履修,36
223,0,次,名詞,一般,*,*,次,38
225,0,能力,名詞,一般,*,*,能力,38
227,0,修得,名詞,サ変接続,*,*,修得,36
232,0,無機化合物,名詞,固有名詞,一般,*,無機化合物,41
234,0,構造,名詞,一般,*,*,構造,38
236,0,価電子,名詞,固有名詞,一般,*,価電子,41
238,0,関連,名詞,サ変接続,*,*,関連,36
240,0,説明,名詞,サ変接続,*,*,説明,36
241,0,できる,動詞,自立,*,*,できる,31
245,0,金属,名詞,一般,*,*,金属,38
246,0,錯体,名詞,一般,*,*,錯体,38
248,0,構造,名詞,一般,*,*,構造,38
250,0,電子状態,名詞,固有名詞,一般,*,電子状態,41
252,0,説明,名詞,サ変接続,*,*,説明,36
253,0,できる,動詞,自立,*,*,できる,31
257,0,金属,名詞,一般,*,*,金属,38
258,0,錯体,名詞,一般,*,*,錯体,38
260,0,電子,名詞,一般,*,*,電子,38
261,0,スペクトル,名詞,一般,*,*,スペクトル,38
263,0,分子,名詞,一般,*,*,分子,38
264,0,振動,名詞,サ変接続,*,*,振動,36
266,0,説明,名詞,サ変接続,*,*,説明,36
267,0,できる,動詞,自立,*,*,できる,31
0,0,点群,名詞,固有名詞,一般,*,点群,41
1,0,群,名詞,接尾,一般,*,群,51
2,0,論,名詞,接尾,一般,*,論,51
3,0,結晶場理論,名詞,固有名詞,一般,*,結晶場理論,41
4,0,配位子場理論,名詞,固有名詞,一般,*,配位子場理論,41
6,0,則田,名詞,固有名詞,人名,姓,則田,43
7,0,辺,名詞,一般,*,*,辺,38
9,0,菅野,名詞,固有名詞,人名,姓,菅野,43
11,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
12,0,FT,名詞,固有名詞,一般,*,FT,41
14,0,IR,名詞,固有名詞,一般,*,IR,41
15,0,点,名詞,接尾,一般,*,点,51
16,0,群,名詞,接尾,一般,*,群,51
17,0,群,名詞,接尾,一般,*,群,51
18,0,論,名詞,接尾,一般,*,論,51
19,0,結晶場理論,名詞,固有名詞,一般,*,結晶場理論,41
20,0,配位子場理論,名詞,固有名詞,一般,*,配位子場理論,41
22,0,則田,名詞,固有名詞,人名,姓,則田,43
23,0,辺,名詞,一般,*,*,辺,38
25,0,菅野,名詞,固有名詞,人名,姓,菅野,43
26,0,ダイヤグラム,名詞,一般,*,*,ダイヤグラム,38
27,0,点,名詞,接尾,一般,*,点,51
28,0,群,名詞,接尾,一般,*,群,51
29,0,群,名詞,接尾,一般,*,群,51
30,0,論,名詞,接尾,一般,*,論,51
31,0,結晶場理論,名詞,固有名詞,一般,*,結晶場理論,41
32,0,配位子場理論,名詞,固有名詞,一般,*,配位子場理論,41
34,0,則田,名詞,固有名詞,人名,姓,則田,43
35,0,辺,名詞,一般,*,*,辺,38
37,0,菅野,名詞,固有名詞,人名,姓,菅野,43
38,0,ダイヤグラム,名詞,一般,*,*,ダイヤグラム,38
39,0,点,名詞,接尾,一般,*,点,51
40,0,群,名詞,接尾,一般,*,群,51
41,0,群,名詞,接尾,一般,*,群,51
42,0,論,名詞,接尾,一般,*,論,51
43,0,結晶場理論,名詞,固有名詞,一般,*,結晶場理論,41
44,0,配位子場理論,名詞,固有名詞,一般,*,配位子場理論,41
46,0,則田,名詞,固有名詞,人名,姓,則田,43
47,0,辺,名詞,一般,*,*,辺,38
49,0,菅野,名詞,固有名詞,人名,姓,菅野,43
50,0,ダイヤグラム,名詞,一般,*,*,ダイヤグラム,38
0,0,点群,名詞,固有名詞,一般,*,点群,41
1,0,群,名詞,接尾,一般,*,群,51
2,0,論,名詞,接尾,一般,*,論,51
3,0,結晶場理論,名詞,固有名詞,一般,*,結晶場理論,41
4,0,配位子場理論,名詞,固有名詞,一般,*,配位子場理論,41
6,0,則田,名詞,固有名詞,人名,姓,則田,43
7,0,辺,名詞,一般,*,*,辺,38
9,0,菅野,名詞,固有名詞,人名,姓,菅野,43
11,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
12,0,FT,名詞,固有名詞,一般,*,FT,41
14,0,IR,名詞,固有名詞,一般,*,IR,41
15,0,点,名詞,接尾,一般,*,点,51
16,0,群,名詞,接尾,一般,*,群,51
17,0,群,名詞,接尾,一般,*,群,51
18,0,論,名詞,接尾,一般,*,論,51
19,0,結晶場理論,名詞,固有名詞,一般,*,結晶場理論,41
20,0,配位子場理論,名詞,固有名詞,一般,*,配位子場理論,41
22,0,則田,名詞,固有名詞,人名,姓,則田,43
23,0,辺,名詞,一般,*,*,辺,38
25,0,菅野,名詞,固有名詞,人名,姓,菅野,43
26,0,ダイヤグラム,名詞,一般,*,*,ダイヤグラム,38
27,0,点,名詞,接尾,一般,*,点,51
28,0,群,名詞,接尾,一般,*,群,51
29,0,群,名詞,接尾,一般,*,群,51
30,0,論,名詞,接尾,一般,*,論,51
31,0,結晶場理論,名詞,固有名詞,一般,*,結晶場理論,41
32,0,配位子場理論,名詞,固有名詞,一般,*,配位子場理論,41
34,0,則田,名詞,固有名詞,人名,姓,則田,43
35,0,辺,名詞,一般,*,*,辺,38
37,0,菅野,名詞,固有名詞,人名,姓,菅野,43
38,0,ダイヤグラム,名詞,一般,*,*,ダイヤグラム,38
39,0,点,名詞,接尾,一般,*,点,51
40,0,群,名詞,接尾,一般,*,群,51
41,0,群,名詞,接尾,一般,*,群,51
42,0,論,名詞,接尾,一般,*,論,51
43,0,結晶場理論,名詞,固有名詞,一般,*,結晶場理論,41
44,0,配位子場理論,名詞,固有名詞,一般,*,配位子場理論,41
46,0,則田,名詞,固有名詞,人名,姓,則田,43
47,0,辺,名詞,一般,*,*,辺,38
49,0,菅野,名詞,固有名詞,人名,姓,菅野,43
50,0,ダイヤグラム,名詞,一般,*,*,ダイヤグラム,38
0,0,点群,名詞,固有名詞,一般,*,点群,41
1,0,群,名詞,接尾,一般,*,群,51
2,0,論,名詞,接尾,一般,*,論,51
3,0,結晶場理論,名詞,固有名詞,一般,*,結晶場理論,41
4,0,配位子場理論,名詞,固有名詞,一般,*,配位子場理論,41
6,0,則田,名詞,固有名詞,人名,姓,則田,43
7,0,辺,名詞,一般,*,*,辺,38
9,0,菅野,名詞,固有名詞,人名,姓,菅野,43
11,0,X線回折,名詞,固有名詞,一般,*,X線回折,41
12,0,FT,名詞,固有名詞,一般,*,FT,41
14,0,IR,名詞,固有名詞,一般,*,IR,41
15,0,点,名詞,接尾,一般,*,点,51
16,0,群,名詞,接尾,一般,*,群,51
17,0,群,名詞,接尾,一般,*,群,51
18,0,論,名詞,接尾,一般,*,論,51
19,0,結晶場理論,名詞,固有名詞,一般,*,結晶場理論,41
20,0,配位子場理論,名詞,固有名詞,一般,*,配位子場理論,41
22,0,則田,名詞,固有名詞,人名,姓,則田,43
23,0,辺,名詞,一般,*,*,辺,38
25,0,菅野,名詞,固有名詞,人名,姓,菅野,43
26,0,ダイヤグラム,名詞,一般,*,*,ダイヤグラム,38
27,0,点,名詞,接尾,一般,*,点,51
28,0,群,名詞,接尾,一般,*,群,51
29,0,群,名詞,接尾,一般,*,群,51
30,0,論,名詞,接尾,一般,*,論,51
