,原型
0,機械
1,学習
2,機械
3,学習
4,機械
5,学習
6,機械
7,学習
8,機械
9,学習
10,機械
11,学習
12,機械
13,学習
14,機械
15,学習
18,明示
19,的
21,プログラミング
24,ない
26,コンピュータ
28,学ぶ
29,能力
31,与える
35,研究
36,分野
39,アーサー
41,サミュエル
50,出発
54,理論
56,アルゴリズム
58,成熟
60,データ
63,規模
64,化
66,計算
67,能力
69,向上
72,背景
75,機械
76,学習
78,飛躍
79,的
81,進展
83,見せる
85,情報
86,科学
87,以外
89,分野
92,活用
97,なる
101,講義
105,機械
106,学習
108,基礎
109,的
111,概念
113,理論
115,紹介
118,機械
119,学習
121,応用
123,従事
125,ため
127,必要
129,知識
131,習得
133,目指す
135,機械
136,学習
138,応用
139,例
141,コンピュータ
143,プログラム
145,実装
147,スキル
149,養成
151,ため
153,プログラミング
154,言語
157,演習
159,実施
163,機械
164,学習
166,基礎
167,的
169,概念
171,理解
173,習得
176,機械
177,学習
179,理論
181,アルゴリズム
183,実装
185,理解
188,データ
189,処理
191,基礎
192,事項
194,習得
196,回帰
197,回帰
198,回帰
199,回帰
200,回帰
201,分類
202,分類
203,分類
204,分類
205,分類
206,クラスタリング
207,クラス
209,次元
210,圧縮
211,次元
212,圧縮
213,次元
214,圧縮
215,次元
216,圧縮
217,次元
218,圧縮
219,強化
220,学習
221,強化
222,学習
223,強化
224,学習
225,強化
226,学習
227,強化
228,学習
229,確率
230,論
232,統計
233,学
234,確率
235,論
237,統計
238,学
239,確率
240,論
242,統計
243,学
244,確率
245,論
247,統計
248,学
249,確率
250,論
252,統計
253,学
254,人工
255,知能
256,人工
257,知能
258,人工
259,知能
260,人工
261,知能
262,人工
263,知能
264,手続き
265,型
266,プログラミング
267,基礎
268,手続き
269,型
270,プログラミング
271,基礎
272,手続き
273,型
274,プログラミング
275,基礎
276,手続き
277,型
278,プログラミング
279,基礎
280,手続き
281,型
282,プログラミング
283,基礎
284,手続き
285,型
286,プログラミング
287,発展
288,手続き
289,型
290,プログラミング
291,発展
292,手続き
293,型
294,プログラミング
295,発展
296,手続き
297,型
298,プログラミング
299,発展
300,手続き
301,型
302,プログラミング
303,発展
304,パターン
305,認識
306,パターン
307,認識
308,パターン
309,認識
310,パターン
311,認識
312,パターン
313,認識
314,先端
315,機械
316,学習
317,先端
318,機械
319,学習
320,先端
321,機械
322,学習
323,先端
324,機械
325,学習
326,先端
327,機械
328,学習
329,導入
333,基礎
334,機械
335,学習
337,概要
341,基本
342,的
344,文法
345,データ
347,可視
348,化
349,データ
351,読み書き
354,グラフ
356,棒
357,グラフ
359,散布
360,図
363,線形
364,回帰
365,最小
367,乗法
370,尤
371,推定
373,勾配
374,法
376,評価
379,学習
381,正則
382,化
383,線形
384,分類
388,しきい
389,値
390,論理
391,ユニット
394,値
395,分類
397,パーセプトロン
399,ロジ
400,スティック
401,回帰
403,評価
404,線形
405,分類
409,多値
410,分類
412,ソフト
413,マックス
414,関数
415,演習
423,内容
425,演習
426,深層
431,活性
432,化
433,関数
435,計算
436,グラフ
438,自動
439,微分
441,誤差
443,伝搬
444,深層
449,畳み込む
452,ドロップ
453,アウト
455,ミニ
456,バッチ
457,最適
458,化
461,双対
462,性
464,サポート
465,ベクトル
467,カーネル
468,関数
470,多値
471,分類
472,演習
480,内容
482,演習
483,クラスタリング
484,階層
485,型
486,クラスタリング
491,次元
492,圧縮
493,主成分
494,分析
496,特異
497,値
498,分解
501,強化
502,学習
503,マルコフ
504,決定
505,過程
507,ベル
508,マン
509,方程式
511,価値
512,反復
513,法
515,方策
516,反復
517,法
520,学習
521,演習
531,内容
533,演習
