Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,コース,名詞,一般,*,*,コース,38
3,0,修了,名詞,サ変接続,*,*,修了,36
6,0,期待,名詞,サ変接続,*,*,期待,36
7,0,できる,動詞,自立,*,*,できる,31
11,0,水,名詞,一般,*,*,水,38
12,0,環境,名詞,一般,*,*,環境,38
13,0,分野,名詞,一般,*,*,分野,38
15,0,語彙力,名詞,固有名詞,一般,*,語彙力,41
16,0,増強,名詞,サ変接続,*,*,増強,36
19,0,水,名詞,一般,*,*,水,38
20,0,環境,名詞,一般,*,*,環境,38
21,0,分野,名詞,一般,*,*,分野,38
24,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
25,0,能力,名詞,一般,*,*,能力,38
26,0,向上,名詞,サ変接続,*,*,向上,36
29,0,水,名詞,一般,*,*,水,38
30,0,環境,名詞,一般,*,*,環境,38
31,0,分野,名詞,一般,*,*,分野,38
32,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
35,0,臆,名詞,サ変接続,*,*,臆,36
38,0,英語,名詞,一般,*,*,英語,38
40,0,ディスカッション,名詞,サ変接続,*,*,ディスカッション,36
41,0,できる,動詞,自立,*,*,できる,31
43,0,コース,名詞,一般,*,*,コース,38
45,0,修了,名詞,サ変接続,*,*,修了,36
48,0,期待,名詞,サ変接続,*,*,期待,36
49,0,できる,動詞,自立,*,*,できる,31
53,0,水,名詞,一般,*,*,水,38
54,0,環境,名詞,一般,*,*,環境,38
55,0,分野,名詞,一般,*,*,分野,38
57,0,語彙力,名詞,固有名詞,一般,*,語彙力,41
58,0,増強,名詞,サ変接続,*,*,増強,36
61,0,水,名詞,一般,*,*,水,38
62,0,環境,名詞,一般,*,*,環境,38
63,0,分野,名詞,一般,*,*,分野,38
66,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
67,0,能力,名詞,一般,*,*,能力,38
68,0,向上,名詞,サ変接続,*,*,向上,36
71,0,水,名詞,一般,*,*,水,38
72,0,環境,名詞,一般,*,*,環境,38
73,0,分野,名詞,一般,*,*,分野,38
74,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
77,0,臆,名詞,サ変接続,*,*,臆,36
80,0,英語,名詞,一般,*,*,英語,38
82,0,ディスカッション,名詞,サ変接続,*,*,ディスカッション,36
83,0,できる,動詞,自立,*,*,できる,31
85,0,コース,名詞,一般,*,*,コース,38
87,0,修了,名詞,サ変接続,*,*,修了,36
90,0,期待,名詞,サ変接続,*,*,期待,36
91,0,できる,動詞,自立,*,*,できる,31
95,0,水,名詞,一般,*,*,水,38
96,0,環境,名詞,一般,*,*,環境,38
97,0,分野,名詞,一般,*,*,分野,38
99,0,語彙力,名詞,固有名詞,一般,*,語彙力,41
100,0,増強,名詞,サ変接続,*,*,増強,36
103,0,水,名詞,一般,*,*,水,38
104,0,環境,名詞,一般,*,*,環境,38
105,0,分野,名詞,一般,*,*,分野,38
108,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
109,0,能力,名詞,一般,*,*,能力,38
110,0,向上,名詞,サ変接続,*,*,向上,36
113,0,水,名詞,一般,*,*,水,38
114,0,環境,名詞,一般,*,*,環境,38
115,0,分野,名詞,一般,*,*,分野,38
116,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
119,0,臆,名詞,サ変接続,*,*,臆,36
122,0,英語,名詞,一般,*,*,英語,38
124,0,ディスカッション,名詞,サ変接続,*,*,ディスカッション,36
125,0,できる,動詞,自立,*,*,できる,31
127,0,コース,名詞,一般,*,*,コース,38
129,0,修了,名詞,サ変接続,*,*,修了,36
132,0,期待,名詞,サ変接続,*,*,期待,36
133,0,できる,動詞,自立,*,*,できる,31
137,0,水,名詞,一般,*,*,水,38
138,0,環境,名詞,一般,*,*,環境,38
139,0,分野,名詞,一般,*,*,分野,38
141,0,語彙力,名詞,固有名詞,一般,*,語彙力,41
142,0,増強,名詞,サ変接続,*,*,増強,36
