Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,到達,名詞,サ変接続,*,*,到達,36
2,0,目標,名詞,一般,*,*,目標,38
4,0,日本列島,名詞,固有名詞,一般,*,日本列島,41
6,0,特徴,名詞,一般,*,*,特徴,38
7,0,づける,動詞,自立,*,*,づける,31
8,0,火山,名詞,一般,*,*,火山,38
10,0,火山活動,名詞,固有名詞,一般,*,火山活動,41
12,0,講義,名詞,サ変接続,*,*,講義,36
14,0,現地,名詞,一般,*,*,現地,38
15,0,実習,名詞,サ変接続,*,*,実習,36
17,0,学ぶ,動詞,自立,*,*,学ぶ,31
19,0,噴火,名詞,サ変接続,*,*,噴火,36
21,0,遭遇,名詞,サ変接続,*,*,遭遇,36
24,0,際,名詞,非自立,副詞可能,*,際,66
26,0,適切,名詞,形容動詞語幹,*,*,適切,40
28,0,行動,名詞,サ変接続,*,*,行動,36
30,0,とれる,動詞,自立,*,*,とれる,31
34,0,火山,名詞,一般,*,*,火山,38
35,0,噴火,名詞,サ変接続,*,*,噴火,36
38,0,基礎,名詞,一般,*,*,基礎,38
39,0,知識,名詞,一般,*,*,知識,38
41,0,予想,名詞,サ変接続,*,*,予想,36
44,0,災害,名詞,一般,*,*,災害,38
46,0,防災,名詞,サ変接続,*,*,防災,36
48,0,仕組み,名詞,一般,*,*,仕組み,38
51,0,理解,名詞,サ変接続,*,*,理解,36
56,0,火山,名詞,一般,*,*,火山,38
58,0,現状,名詞,一般,*,*,現状,38
60,0,把握,名詞,サ変接続,*,*,把握,36
62,0,理解,名詞,サ変接続,*,*,理解,36
64,0,ため,名詞,非自立,副詞可能,*,ため,66
66,0,火山,名詞,一般,*,*,火山,38
67,0,観測,名詞,サ変接続,*,*,観測,36
69,0,方法,名詞,一般,*,*,方法,38
71,0,学習,名詞,サ変接続,*,*,学習,36
74,0,実習,名詞,サ変接続,*,*,実習,36
76,0,理解,名詞,サ変接続,*,*,理解,36
78,0,深める,動詞,自立,*,*,深める,31
81,0,テーマ,名詞,一般,*,*,テーマ,38
87,0,火山,名詞,一般,*,*,火山,38
89,0,基礎,名詞,一般,*,*,基礎,38
90,0,的,名詞,接尾,形容動詞語幹,*,的,52
92,0,学習,名詞,サ変接続,*,*,学習,36
94,0,広く,形容詞,自立,*,*,広い,10
95,0,行う,動詞,自立,*,*,行う,31
97,0,内容,名詞,一般,*,*,内容,38
100,0,火山,名詞,一般,*,*,火山,38
102,0,成因,名詞,一般,*,*,成因,38
104,0,噴火,名詞,サ変接続,*,*,噴火,36
105,0,様式,名詞,一般,*,*,様式,38
107,0,噴出,名詞,サ変接続,*,*,噴出,36
108,0,物,名詞,接尾,一般,*,物,51
110,0,観測,名詞,サ変接続,*,*,観測,36
111,0,方法,名詞,一般,*,*,方法,38
113,0,多岐,名詞,一般,*,*,多岐,38
115,0,わたる,動詞,自立,*,*,わたる,31
117,0,自然災害,名詞,固有名詞,一般,*,自然災害,41
119,0,ひとつ,名詞,副詞可能,*,*,ひとつ,67
121,0,火山,名詞,一般,*,*,火山,38
122,0,噴火,名詞,サ変接続,*,*,噴火,36
123,0,災害,名詞,一般,*,*,災害,38
126,0,対策,名詞,サ変接続,*,*,対策,36
129,0,学習,名詞,サ変接続,*,*,学習,36
134,0,野外,名詞,一般,*,*,野外,38
135,0,実習,名詞,サ変接続,*,*,実習,36
139,0,活火山,名詞,一般,*,*,活火山,38
143,0,訪れ,動詞,自立,*,*,訪れる,31
145,0,噴出,名詞,サ変接続,*,*,噴出,36
146,0,物,名詞,接尾,一般,*,物,51
148,0,地形,名詞,一般,*,*,地形,38
150,0,観察,名詞,サ変接続,*,*,観察,36
153,0,火山,名詞,一般,*,*,火山,38
