Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,以下,名詞,非自立,副詞可能,*,以下,66
9,0,知識,名詞,一般,*,*,知識,38
11,0,能力,名詞,一般,*,*,能力,38
13,0,習得,名詞,サ変接続,*,*,習得,36
19,0,留数,名詞,固有名詞,一般,*,留数,41
20,0,定理,名詞,一般,*,*,定理,38
22,0,正しく,形容詞,自立,*,*,正しい,10
23,0,理解,名詞,サ変接続,*,*,理解,36
26,0,複素,名詞,一般,*,*,複素,38
27,0,積分,名詞,サ変接続,*,*,積分,36
29,0,実行,名詞,サ変接続,*,*,実行,36
30,0,できる,動詞,自立,*,*,できる,31
35,0,特殊関数,名詞,固有名詞,一般,*,特殊関数,41
37,0,理解,名詞,サ変接続,*,*,理解,36
40,0,地球,名詞,一般,*,*,地球,38
41,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
43,0,関連,名詞,サ変接続,*,*,関連,36
45,0,物理,名詞,一般,*,*,物理,38
47,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
49,0,応用,名詞,サ変接続,*,*,応用,36
50,0,できる,動詞,自立,*,*,できる,31
53,0,講義,名詞,サ変接続,*,*,講義,36
55,0,履修,名詞,サ変接続,*,*,履修,36
59,0,以下,名詞,非自立,副詞可能,*,以下,66
61,0,知識,名詞,一般,*,*,知識,38
63,0,能力,名詞,一般,*,*,能力,38
65,0,習得,名詞,サ変接続,*,*,習得,36
71,0,留数,名詞,固有名詞,一般,*,留数,41
72,0,定理,名詞,一般,*,*,定理,38
74,0,正しく,形容詞,自立,*,*,正しい,10
75,0,理解,名詞,サ変接続,*,*,理解,36
78,0,複素,名詞,一般,*,*,複素,38
79,0,積分,名詞,サ変接続,*,*,積分,36
81,0,実行,名詞,サ変接続,*,*,実行,36
82,0,できる,動詞,自立,*,*,できる,31
87,0,特殊関数,名詞,固有名詞,一般,*,特殊関数,41
89,0,理解,名詞,サ変接続,*,*,理解,36
92,0,地球,名詞,一般,*,*,地球,38
93,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
95,0,関連,名詞,サ変接続,*,*,関連,36
97,0,物理,名詞,一般,*,*,物理,38
99,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
101,0,応用,名詞,サ変接続,*,*,応用,36
102,0,できる,動詞,自立,*,*,できる,31
105,0,講義,名詞,サ変接続,*,*,講義,36
107,0,履修,名詞,サ変接続,*,*,履修,36
111,0,以下,名詞,非自立,副詞可能,*,以下,66
113,0,知識,名詞,一般,*,*,知識,38
115,0,能力,名詞,一般,*,*,能力,38
117,0,習得,名詞,サ変接続,*,*,習得,36
123,0,留数,名詞,固有名詞,一般,*,留数,41
124,0,定理,名詞,一般,*,*,定理,38
126,0,正しく,形容詞,自立,*,*,正しい,10
127,0,理解,名詞,サ変接続,*,*,理解,36
130,0,複素,名詞,一般,*,*,複素,38
131,0,積分,名詞,サ変接続,*,*,積分,36
133,0,実行,名詞,サ変接続,*,*,実行,36
134,0,できる,動詞,自立,*,*,できる,31
139,0,特殊関数,名詞,固有名詞,一般,*,特殊関数,41
141,0,理解,名詞,サ変接続,*,*,理解,36
144,0,地球,名詞,一般,*,*,地球,38
145,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
147,0,関連,名詞,サ変接続,*,*,関連,36
149,0,物理,名詞,一般,*,*,物理,38
151,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
153,0,応用,名詞,サ変接続,*,*,応用,36
154,0,できる,動詞,自立,*,*,できる,31
157,0,講義,名詞,サ変接続,*,*,講義,36
159,0,履修,名詞,サ変接続,*,*,履修,36
163,0,以下,名詞,非自立,副詞可能,*,以下,66
165,0,知識,名詞,一般,*,*,知識,38
167,0,能力,名詞,一般,*,*,能力,38
169,0,習得,名詞,サ変接続,*,*,習得,36
175,0,留数,名詞,固有名詞,一般,*,留数,41
176,0,定理,名詞,一般,*,*,定理,38
178,0,正しく,形容詞,自立,*,*,正しい,10
179,0,理解,名詞,サ変接続,*,*,理解,36
182,0,複素,名詞,一般,*,*,複素,38
183,0,積分,名詞,サ変接続,*,*,積分,36
185,0,実行,名詞,サ変接続,*,*,実行,36
186,0,できる,動詞,自立,*,*,できる,31
191,0,特殊関数,名詞,固有名詞,一般,*,特殊関数,41
193,0,理解,名詞,サ変接続,*,*,理解,36
196,0,地球,名詞,一般,*,*,地球,38
197,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
199,0,関連,名詞,サ変接続,*,*,関連,36
201,0,物理,名詞,一般,*,*,物理,38
203,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
205,0,応用,名詞,サ変接続,*,*,応用,36
206,0,できる,動詞,自立,*,*,できる,31
209,0,講義,名詞,サ変接続,*,*,講義,36
211,0,履修,名詞,サ変接続,*,*,履修,36
215,0,以下,名詞,非自立,副詞可能,*,以下,66
217,0,知識,名詞,一般,*,*,知識,38
219,0,能力,名詞,一般,*,*,能力,38
221,0,習得,名詞,サ変接続,*,*,習得,36
227,0,留数,名詞,固有名詞,一般,*,留数,41
228,0,定理,名詞,一般,*,*,定理,38
230,0,正しく,形容詞,自立,*,*,正しい,10
231,0,理解,名詞,サ変接続,*,*,理解,36
234,0,複素,名詞,一般,*,*,複素,38
235,0,積分,名詞,サ変接続,*,*,積分,36
237,0,実行,名詞,サ変接続,*,*,実行,36
238,0,できる,動詞,自立,*,*,できる,31
243,0,特殊関数,名詞,固有名詞,一般,*,特殊関数,41
245,0,理解,名詞,サ変接続,*,*,理解,36
248,0,地球,名詞,一般,*,*,地球,38
249,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
251,0,関連,名詞,サ変接続,*,*,関連,36
253,0,物理,名詞,一般,*,*,物理,38
255,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
257,0,応用,名詞,サ変接続,*,*,応用,36
258,0,できる,動詞,自立,*,*,できる,31
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,以下,名詞,非自立,副詞可能,*,以下,66
9,0,知識,名詞,一般,*,*,知識,38
11,0,能力,名詞,一般,*,*,能力,38
13,0,習得,名詞,サ変接続,*,*,習得,36
19,0,留数,名詞,固有名詞,一般,*,留数,41
20,0,定理,名詞,一般,*,*,定理,38
22,0,正しく,形容詞,自立,*,*,正しい,10
23,0,理解,名詞,サ変接続,*,*,理解,36
26,0,複素,名詞,一般,*,*,複素,38
27,0,積分,名詞,サ変接続,*,*,積分,36
29,0,実行,名詞,サ変接続,*,*,実行,36
30,0,できる,動詞,自立,*,*,できる,31
35,0,特殊関数,名詞,固有名詞,一般,*,特殊関数,41
37,0,理解,名詞,サ変接続,*,*,理解,36
40,0,地球,名詞,一般,*,*,地球,38
41,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
43,0,関連,名詞,サ変接続,*,*,関連,36
45,0,物理,名詞,一般,*,*,物理,38
47,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
49,0,応用,名詞,サ変接続,*,*,応用,36
50,0,できる,動詞,自立,*,*,できる,31
53,0,講義,名詞,サ変接続,*,*,講義,36
55,0,履修,名詞,サ変接続,*,*,履修,36
59,0,以下,名詞,非自立,副詞可能,*,以下,66
61,0,知識,名詞,一般,*,*,知識,38
63,0,能力,名詞,一般,*,*,能力,38
65,0,習得,名詞,サ変接続,*,*,習得,36
71,0,留数,名詞,固有名詞,一般,*,留数,41
72,0,定理,名詞,一般,*,*,定理,38
74,0,正しく,形容詞,自立,*,*,正しい,10
75,0,理解,名詞,サ変接続,*,*,理解,36
78,0,複素,名詞,一般,*,*,複素,38
79,0,積分,名詞,サ変接続,*,*,積分,36
81,0,実行,名詞,サ変接続,*,*,実行,36
82,0,できる,動詞,自立,*,*,できる,31
87,0,特殊関数,名詞,固有名詞,一般,*,特殊関数,41
89,0,理解,名詞,サ変接続,*,*,理解,36
92,0,地球,名詞,一般,*,*,地球,38
93,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
95,0,関連,名詞,サ変接続,*,*,関連,36
97,0,物理,名詞,一般,*,*,物理,38
99,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
101,0,応用,名詞,サ変接続,*,*,応用,36
102,0,できる,動詞,自立,*,*,できる,31
105,0,講義,名詞,サ変接続,*,*,講義,36
107,0,履修,名詞,サ変接続,*,*,履修,36
111,0,以下,名詞,非自立,副詞可能,*,以下,66
113,0,知識,名詞,一般,*,*,知識,38
115,0,能力,名詞,一般,*,*,能力,38
117,0,習得,名詞,サ変接続,*,*,習得,36
123,0,留数,名詞,固有名詞,一般,*,留数,41
124,0,定理,名詞,一般,*,*,定理,38
126,0,正しく,形容詞,自立,*,*,正しい,10
127,0,理解,名詞,サ変接続,*,*,理解,36
130,0,複素,名詞,一般,*,*,複素,38
131,0,積分,名詞,サ変接続,*,*,積分,36
133,0,実行,名詞,サ変接続,*,*,実行,36
134,0,できる,動詞,自立,*,*,できる,31
139,0,特殊関数,名詞,固有名詞,一般,*,特殊関数,41
141,0,理解,名詞,サ変接続,*,*,理解,36
144,0,地球,名詞,一般,*,*,地球,38
145,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
147,0,関連,名詞,サ変接続,*,*,関連,36
149,0,物理,名詞,一般,*,*,物理,38
151,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
153,0,応用,名詞,サ変接続,*,*,応用,36
154,0,できる,動詞,自立,*,*,できる,31
157,0,講義,名詞,サ変接続,*,*,講義,36
159,0,履修,名詞,サ変接続,*,*,履修,36
163,0,以下,名詞,非自立,副詞可能,*,以下,66
165,0,知識,名詞,一般,*,*,知識,38
167,0,能力,名詞,一般,*,*,能力,38
169,0,習得,名詞,サ変接続,*,*,習得,36
175,0,留数,名詞,固有名詞,一般,*,留数,41
176,0,定理,名詞,一般,*,*,定理,38
178,0,正しく,形容詞,自立,*,*,正しい,10
179,0,理解,名詞,サ変接続,*,*,理解,36
182,0,複素,名詞,一般,*,*,複素,38
183,0,積分,名詞,サ変接続,*,*,積分,36
185,0,実行,名詞,サ変接続,*,*,実行,36
186,0,できる,動詞,自立,*,*,できる,31
191,0,特殊関数,名詞,固有名詞,一般,*,特殊関数,41
193,0,理解,名詞,サ変接続,*,*,理解,36
196,0,地球,名詞,一般,*,*,地球,38
197,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
199,0,関連,名詞,サ変接続,*,*,関連,36
201,0,物理,名詞,一般,*,*,物理,38
203,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
205,0,応用,名詞,サ変接続,*,*,応用,36
206,0,できる,動詞,自立,*,*,できる,31
209,0,講義,名詞,サ変接続,*,*,講義,36
211,0,履修,名詞,サ変接続,*,*,履修,36
215,0,以下,名詞,非自立,副詞可能,*,以下,66
217,0,知識,名詞,一般,*,*,知識,38
219,0,能力,名詞,一般,*,*,能力,38
221,0,習得,名詞,サ変接続,*,*,習得,36
227,0,留数,名詞,固有名詞,一般,*,留数,41
228,0,定理,名詞,一般,*,*,定理,38
230,0,正しく,形容詞,自立,*,*,正しい,10
231,0,理解,名詞,サ変接続,*,*,理解,36
234,0,複素,名詞,一般,*,*,複素,38
235,0,積分,名詞,サ変接続,*,*,積分,36
237,0,実行,名詞,サ変接続,*,*,実行,36
238,0,できる,動詞,自立,*,*,できる,31
243,0,特殊関数,名詞,固有名詞,一般,*,特殊関数,41
245,0,理解,名詞,サ変接続,*,*,理解,36
248,0,地球,名詞,一般,*,*,地球,38
249,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
251,0,関連,名詞,サ変接続,*,*,関連,36
253,0,物理,名詞,一般,*,*,物理,38
255,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
257,0,応用,名詞,サ変接続,*,*,応用,36
258,0,できる,動詞,自立,*,*,できる,31
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,以下,名詞,非自立,副詞可能,*,以下,66
9,0,知識,名詞,一般,*,*,知識,38
11,0,能力,名詞,一般,*,*,能力,38
13,0,習得,名詞,サ変接続,*,*,習得,36
19,0,留数,名詞,固有名詞,一般,*,留数,41
20,0,定理,名詞,一般,*,*,定理,38
22,0,正しく,形容詞,自立,*,*,正しい,10
23,0,理解,名詞,サ変接続,*,*,理解,36
26,0,複素,名詞,一般,*,*,複素,38
