Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
2,0,立て,動詞,自立,*,*,立てる,31
4,0,学習,名詞,サ変接続,*,*,学習,36
5,0,計画,名詞,サ変接続,*,*,計画,36
7,0,英語力,名詞,固有名詞,一般,*,英語力,41
9,0,向上,名詞,サ変接続,*,*,向上,36
13,0,活動,名詞,サ変接続,*,*,活動,36
15,0,具体,名詞,一般,*,*,具体,38
16,0,的,名詞,接尾,形容動詞語幹,*,的,52
18,0,目標,名詞,一般,*,*,目標,38
20,0,履修,名詞,サ変接続,*,*,履修,36
21,0,希望者,名詞,固有名詞,一般,*,希望者,41
22,0,自身,名詞,一般,*,*,自身,38
24,0,提案,名詞,サ変接続,*,*,提案,36
27,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
29,0,立て,動詞,自立,*,*,立てる,31
31,0,学習,名詞,サ変接続,*,*,学習,36
32,0,計画,名詞,サ変接続,*,*,計画,36
34,0,英語力,名詞,固有名詞,一般,*,英語力,41
36,0,向上,名詞,サ変接続,*,*,向上,36
40,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
42,0,立て,動詞,自立,*,*,立てる,31
44,0,学習,名詞,サ変接続,*,*,学習,36
45,0,計画,名詞,サ変接続,*,*,計画,36
47,0,英語力,名詞,固有名詞,一般,*,英語力,41
49,0,向上,名詞,サ変接続,*,*,向上,36
53,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
55,0,立て,動詞,自立,*,*,立てる,31
57,0,学習,名詞,サ変接続,*,*,学習,36
58,0,計画,名詞,サ変接続,*,*,計画,36
60,0,英語力,名詞,固有名詞,一般,*,英語力,41
62,0,向上,名詞,サ変接続,*,*,向上,36
0,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
2,0,立て,動詞,自立,*,*,立てる,31
4,0,学習,名詞,サ変接続,*,*,学習,36
5,0,計画,名詞,サ変接続,*,*,計画,36
7,0,英語力,名詞,固有名詞,一般,*,英語力,41
9,0,向上,名詞,サ変接続,*,*,向上,36
13,0,活動,名詞,サ変接続,*,*,活動,36
15,0,具体,名詞,一般,*,*,具体,38
16,0,的,名詞,接尾,形容動詞語幹,*,的,52
18,0,目標,名詞,一般,*,*,目標,38
20,0,履修,名詞,サ変接続,*,*,履修,36
21,0,希望者,名詞,固有名詞,一般,*,希望者,41
22,0,自身,名詞,一般,*,*,自身,38
24,0,提案,名詞,サ変接続,*,*,提案,36
27,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
29,0,立て,動詞,自立,*,*,立てる,31
31,0,学習,名詞,サ変接続,*,*,学習,36
32,0,計画,名詞,サ変接続,*,*,計画,36
34,0,英語力,名詞,固有名詞,一般,*,英語力,41
36,0,向上,名詞,サ変接続,*,*,向上,36
40,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
42,0,立て,動詞,自立,*,*,立てる,31
44,0,学習,名詞,サ変接続,*,*,学習,36
45,0,計画,名詞,サ変接続,*,*,計画,36
47,0,英語力,名詞,固有名詞,一般,*,英語力,41
49,0,向上,名詞,サ変接続,*,*,向上,36
53,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
55,0,立て,動詞,自立,*,*,立てる,31
57,0,学習,名詞,サ変接続,*,*,学習,36
58,0,計画,名詞,サ変接続,*,*,計画,36
60,0,英語力,名詞,固有名詞,一般,*,英語力,41
62,0,向上,名詞,サ変接続,*,*,向上,36
0,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
2,0,立て,動詞,自立,*,*,立てる,31
4,0,学習,名詞,サ変接続,*,*,学習,36
5,0,計画,名詞,サ変接続,*,*,計画,36
7,0,英語力,名詞,固有名詞,一般,*,英語力,41
9,0,向上,名詞,サ変接続,*,*,向上,36
13,0,活動,名詞,サ変接続,*,*,活動,36
15,0,具体,名詞,一般,*,*,具体,38
16,0,的,名詞,接尾,形容動詞語幹,*,的,52
18,0,目標,名詞,一般,*,*,目標,38
20,0,履修,名詞,サ変接続,*,*,履修,36
21,0,希望者,名詞,固有名詞,一般,*,希望者,41
22,0,自身,名詞,一般,*,*,自身,38
24,0,提案,名詞,サ変接続,*,*,提案,36
27,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
29,0,立て,動詞,自立,*,*,立てる,31
31,0,学習,名詞,サ変接続,*,*,学習,36
32,0,計画,名詞,サ変接続,*,*,計画,36
34,0,英語力,名詞,固有名詞,一般,*,英語力,41
36,0,向上,名詞,サ変接続,*,*,向上,36
40,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
42,0,立て,動詞,自立,*,*,立てる,31
44,0,学習,名詞,サ変接続,*,*,学習,36
45,0,計画,名詞,サ変接続,*,*,計画,36
47,0,英語力,名詞,固有名詞,一般,*,英語力,41
49,0,向上,名詞,サ変接続,*,*,向上,36
53,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
55,0,立て,動詞,自立,*,*,立てる,31
57,0,学習,名詞,サ変接続,*,*,学習,36
58,0,計画,名詞,サ変接続,*,*,計画,36
60,0,英語力,名詞,固有名詞,一般,*,英語力,41
62,0,向上,名詞,サ変接続,*,*,向上,36
0,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
2,0,立て,動詞,自立,*,*,立てる,31
4,0,学習,名詞,サ変接続,*,*,学習,36
5,0,計画,名詞,サ変接続,*,*,計画,36
7,0,英語力,名詞,固有名詞,一般,*,英語力,41
9,0,向上,名詞,サ変接続,*,*,向上,36
13,0,活動,名詞,サ変接続,*,*,活動,36
15,0,具体,名詞,一般,*,*,具体,38
16,0,的,名詞,接尾,形容動詞語幹,*,的,52
18,0,目標,名詞,一般,*,*,目標,38
20,0,履修,名詞,サ変接続,*,*,履修,36
21,0,希望者,名詞,固有名詞,一般,*,希望者,41
22,0,自身,名詞,一般,*,*,自身,38
24,0,提案,名詞,サ変接続,*,*,提案,36
27,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
29,0,立て,動詞,自立,*,*,立てる,31
31,0,学習,名詞,サ変接続,*,*,学習,36
32,0,計画,名詞,サ変接続,*,*,計画,36
34,0,英語力,名詞,固有名詞,一般,*,英語力,41
36,0,向上,名詞,サ変接続,*,*,向上,36
40,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
42,0,立て,動詞,自立,*,*,立てる,31
44,0,学習,名詞,サ変接続,*,*,学習,36
45,0,計画,名詞,サ変接続,*,*,計画,36
47,0,英語力,名詞,固有名詞,一般,*,英語力,41
49,0,向上,名詞,サ変接続,*,*,向上,36
53,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
55,0,立て,動詞,自立,*,*,立てる,31
57,0,学習,名詞,サ変接続,*,*,学習,36
58,0,計画,名詞,サ変接続,*,*,計画,36
60,0,英語力,名詞,固有名詞,一般,*,英語力,41
62,0,向上,名詞,サ変接続,*,*,向上,36
0,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
2,0,立て,動詞,自立,*,*,立てる,31
4,0,学習,名詞,サ変接続,*,*,学習,36
5,0,計画,名詞,サ変接続,*,*,計画,36
7,0,英語力,名詞,固有名詞,一般,*,英語力,41
9,0,向上,名詞,サ変接続,*,*,向上,36
13,0,活動,名詞,サ変接続,*,*,活動,36
15,0,具体,名詞,一般,*,*,具体,38
16,0,的,名詞,接尾,形容動詞語幹,*,的,52
18,0,目標,名詞,一般,*,*,目標,38
20,0,履修,名詞,サ変接続,*,*,履修,36
21,0,希望者,名詞,固有名詞,一般,*,希望者,41
22,0,自身,名詞,一般,*,*,自身,38
24,0,提案,名詞,サ変接続,*,*,提案,36
27,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
29,0,立て,動詞,自立,*,*,立てる,31
31,0,学習,名詞,サ変接続,*,*,学習,36
32,0,計画,名詞,サ変接続,*,*,計画,36
34,0,英語力,名詞,固有名詞,一般,*,英語力,41
36,0,向上,名詞,サ変接続,*,*,向上,36
40,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
42,0,立て,動詞,自立,*,*,立てる,31
44,0,学習,名詞,サ変接続,*,*,学習,36
45,0,計画,名詞,サ変接続,*,*,計画,36
47,0,英語力,名詞,固有名詞,一般,*,英語力,41
49,0,向上,名詞,サ変接続,*,*,向上,36
53,0,自分自身,名詞,固有名詞,一般,*,自分自身,41
55,0,立て,動詞,自立,*,*,立てる,31
57,0,学習,名詞,サ変接続,*,*,学習,36
58,0,計画,名詞,サ変接続,*,*,計画,36
60,0,英語力,名詞,固有名詞,一般,*,英語力,41
62,0,向上,名詞,サ変接続,*,*,向上,36
0,0,英語力,名詞,固有名詞,一般,*,英語力,41
1,0,英語力,名詞,固有名詞,一般,*,英語力,41
2,0,英語力,名詞,固有名詞,一般,*,英語力,41
3,0,英語力,名詞,固有名詞,一般,*,英語力,41
4,0,英語力,名詞,固有名詞,一般,*,英語力,41
0,0,英語力,名詞,固有名詞,一般,*,英語力,41
1,0,英語力,名詞,固有名詞,一般,*,英語力,41
2,0,英語力,名詞,固有名詞,一般,*,英語力,41
3,0,英語力,名詞,固有名詞,一般,*,英語力,41
4,0,英語力,名詞,固有名詞,一般,*,英語力,41
0,0,英語力,名詞,固有名詞,一般,*,英語力,41
1,0,英語力,名詞,固有名詞,一般,*,英語力,41
2,0,英語力,名詞,固有名詞,一般,*,英語力,41
3,0,英語力,名詞,固有名詞,一般,*,英語力,41
4,0,英語力,名詞,固有名詞,一般,*,英語力,41
0,0,英語力,名詞,固有名詞,一般,*,英語力,41
1,0,英語力,名詞,固有名詞,一般,*,英語力,41
2,0,英語力,名詞,固有名詞,一般,*,英語力,41
3,0,英語力,名詞,固有名詞,一般,*,英語力,41
4,0,英語力,名詞,固有名詞,一般,*,英語力,41
0,0,英語力,名詞,固有名詞,一般,*,英語力,41
1,0,英語力,名詞,固有名詞,一般,*,英語力,41
2,0,英語力,名詞,固有名詞,一般,*,英語力,41
3,0,英語力,名詞,固有名詞,一般,*,英語力,41
4,0,英語力,名詞,固有名詞,一般,*,英語力,41
0,0,特に,副詞,一般,*,*,特に,34
1,0,なし,形容詞,自立,*,*,ない,10
2,0,特に,副詞,一般,*,*,特に,34
3,0,なし,形容詞,自立,*,*,ない,10
4,0,特に,副詞,一般,*,*,特に,34
5,0,なし,形容詞,自立,*,*,ない,10
6,0,特に,副詞,一般,*,*,特に,34
7,0,なし,形容詞,自立,*,*,ない,10
8,0,特に,副詞,一般,*,*,特に,34
9,0,なし,形容詞,自立,*,*,ない,10
0,0,最先端,名詞,一般,*,*,最先端,38
1,0,トピックス,名詞,一般,*,*,トピックス,38
3,0,学ぶ,動詞,自立,*,*,学ぶ,31
4,0,地,名詞,一般,*,*,地,38
6,0,語,名詞,接尾,一般,*,語,51
8,0,最先端,名詞,一般,*,*,最先端,38
9,0,トピックス,名詞,一般,*,*,トピックス,38
11,0,学ぶ,動詞,自立,*,*,学ぶ,31
12,0,地,名詞,一般,*,*,地,38
14,0,語,名詞,接尾,一般,*,語,51
16,0,最先端,名詞,一般,*,*,最先端,38
17,0,トピックス,名詞,一般,*,*,トピックス,38
19,0,学ぶ,動詞,自立,*,*,学ぶ,31
20,0,地,名詞,一般,*,*,地,38
22,0,語,名詞,接尾,一般,*,語,51
24,0,最先端,名詞,一般,*,*,最先端,38
25,0,トピックス,名詞,一般,*,*,トピックス,38
27,0,学ぶ,動詞,自立,*,*,学ぶ,31
28,0,地,名詞,一般,*,*,地,38
30,0,語,名詞,接尾,一般,*,語,51
32,0,最先端,名詞,一般,*,*,最先端,38
33,0,トピックス,名詞,一般,*,*,トピックス,38
35,0,学ぶ,動詞,自立,*,*,学ぶ,31
36,0,地,名詞,一般,*,*,地,38
38,0,語,名詞,接尾,一般,*,語,51
0,0,最先端,名詞,一般,*,*,最先端,38
1,0,トピックス,名詞,一般,*,*,トピックス,38
3,0,学ぶ,動詞,自立,*,*,学ぶ,31
4,0,地,名詞,一般,*,*,地,38
6,0,語,名詞,接尾,一般,*,語,51
8,0,最先端,名詞,一般,*,*,最先端,38
9,0,トピックス,名詞,一般,*,*,トピックス,38
11,0,学ぶ,動詞,自立,*,*,学ぶ,31
12,0,地,名詞,一般,*,*,地,38
14,0,語,名詞,接尾,一般,*,語,51
16,0,最先端,名詞,一般,*,*,最先端,38
17,0,トピックス,名詞,一般,*,*,トピックス,38
19,0,学ぶ,動詞,自立,*,*,学ぶ,31
20,0,地,名詞,一般,*,*,地,38
22,0,語,名詞,接尾,一般,*,語,51
24,0,最先端,名詞,一般,*,*,最先端,38
25,0,トピックス,名詞,一般,*,*,トピックス,38
27,0,学ぶ,動詞,自立,*,*,学ぶ,31
28,0,地,名詞,一般,*,*,地,38
30,0,語,名詞,接尾,一般,*,語,51
32,0,最先端,名詞,一般,*,*,最先端,38
