Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,到達,名詞,サ変接続,*,*,到達,36
2,0,目標,名詞,一般,*,*,目標,38
4,0,野外,名詞,一般,*,*,野外,38
5,0,地質学,名詞,固有名詞,一般,*,地質学,41
7,0,初歩,名詞,一般,*,*,初歩,38
8,0,的,名詞,接尾,形容動詞語幹,*,的,52
10,0,事項,名詞,一般,*,*,事項,38
12,0,岩石,名詞,一般,*,*,岩石,38
13,0,鑑定,名詞,サ変接続,*,*,鑑定,36
15,0,走,動詞,自立,*,*,走る,31
17,0,傾斜,名詞,サ変接続,*,*,傾斜,36
19,0,測定,名詞,サ変接続,*,*,測定,36
21,0,ルートマップ,名詞,固有名詞,一般,*,ルートマップ,41
23,0,地質図,名詞,固有名詞,一般,*,地質図,41
25,0,作成,名詞,サ変接続,*,*,作成,36
26,0,等,名詞,接尾,一般,*,等,51
29,0,修得,名詞,サ変接続,*,*,修得,36
32,0,取得,名詞,サ変接続,*,*,取得,36
33,0,データ,名詞,一般,*,*,データ,38
35,0,基い,動詞,自立,*,*,基く,31
37,0,構造,名詞,一般,*,*,構造,38
38,0,発達,名詞,サ変接続,*,*,発達,36
39,0,史,名詞,接尾,一般,*,史,51
41,0,復元,名詞,サ変接続,*,*,復元,36
43,0,作業,名詞,サ変接続,*,*,作業,36
46,0,野外,名詞,一般,*,*,野外,38
47,0,観察,名詞,サ変接続,*,*,観察,36
49,0,プレート,名詞,一般,*,*,プレート,38
50,0,運動,名詞,サ変接続,*,*,運動,36
52,0,引き起こす,動詞,自立,*,*,引き起こす,31
53,0,地質,名詞,一般,*,*,地質,38
54,0,現象,名詞,一般,*,*,現象,38
56,0,理解,名詞,サ変接続,*,*,理解,36
60,0,テーマ,名詞,一般,*,*,テーマ,38
63,0,野外,名詞,一般,*,*,野外,38
64,0,地質調査,名詞,固有名詞,一般,*,地質調査,41
66,0,行い,動詞,自立,*,*,行う,31
69,0,理解,名詞,サ変接続,*,*,理解,36
72,0,地質,名詞,一般,*,*,地質,38
73,0,現象,名詞,一般,*,*,現象,38
74,0,解明,名詞,サ変接続,*,*,解明,36
76,0,ため,名詞,非自立,副詞可能,*,ため,66
78,0,基礎,名詞,一般,*,*,基礎,38
80,0,築く,動詞,自立,*,*,築く,31
82,0,事前,名詞,一般,*,*,事前,38
83,0,学習,名詞,サ変接続,*,*,学習,36
85,0,学ん,動詞,自立,*,*,学ぶ,31
87,0,岩石,名詞,一般,*,*,岩石,38
89,0,地質,名詞,一般,*,*,地質,38
90,0,構造,名詞,一般,*,*,構造,38
92,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
93,0,事項,名詞,一般,*,*,事項,38
98,0,自身,名詞,一般,*,*,自身,38
100,0,目,名詞,一般,*,*,目,38
102,0,見,動詞,自立,*,*,見る,31
104,0,観察,名詞,サ変接続,*,*,観察,36
108,0,重き,名詞,一般,*,*,重き,38
110,0,置く,動詞,自立,*,*,置く,31
113,0,到達,名詞,サ変接続,*,*,到達,36
114,0,目標,名詞,一般,*,*,目標,38
116,0,野外,名詞,一般,*,*,野外,38
117,0,地質学,名詞,固有名詞,一般,*,地質学,41
119,0,初歩,名詞,一般,*,*,初歩,38
120,0,的,名詞,接尾,形容動詞語幹,*,的,52
122,0,事項,名詞,一般,*,*,事項,38
124,0,岩石,名詞,一般,*,*,岩石,38
125,0,鑑定,名詞,サ変接続,*,*,鑑定,36
127,0,走,動詞,自立,*,*,走る,31
129,0,傾斜,名詞,サ変接続,*,*,傾斜,36
131,0,測定,名詞,サ変接続,*,*,測定,36
133,0,ルートマップ,名詞,固有名詞,一般,*,ルートマップ,41
135,0,地質図,名詞,固有名詞,一般,*,地質図,41
