Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,代数学,名詞,固有名詞,一般,*,代数学,41
2,0,基礎,名詞,一般,*,*,基礎,38
4,0,なす,名詞,一般,*,*,なす,38
5,0,群,名詞,接尾,一般,*,群,51
7,0,環,名詞,固有名詞,人名,姓,環,43
9,0,体,名詞,一般,*,*,体,38
12,0,性質,名詞,一般,*,*,性質,38
14,0,理解,名詞,サ変接続,*,*,理解,36
17,0,高い,形容詞,自立,*,*,高い,10
18,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
19,0,能力,名詞,一般,*,*,能力,38
21,0,有する,動詞,自立,*,*,有する,31
22,0,符号,名詞,一般,*,*,符号,38
23,0,空間,名詞,一般,*,*,空間,38
25,0,構成,名詞,サ変接続,*,*,構成,36
27,0,方法,名詞,一般,*,*,方法,38
29,0,理論,名詞,一般,*,*,理論,38
30,0,体系,名詞,一般,*,*,体系,38
32,0,学習,名詞,サ変接続,*,*,学習,36
35,0,最も,副詞,一般,*,*,最も,34
36,0,広く,形容詞,自立,*,*,広い,10
37,0,利用,名詞,サ変接続,*,*,利用,36
42,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
43,0,符号,名詞,一般,*,*,符号,38
46,0,リード,名詞,固有名詞,人名,姓,リード,43
48,0,ソロモン,名詞,固有名詞,地域,国,ソロモン,47
49,0,符号,名詞,一般,*,*,符号,38
51,0,中心,名詞,一般,*,*,中心,38
54,0,符号,名詞,一般,*,*,符号,38
56,0,構成,名詞,サ変接続,*,*,構成,36
57,0,法,名詞,接尾,一般,*,法,51
59,0,復号,名詞,サ変接続,*,*,復号,36
60,0,法,名詞,接尾,一般,*,法,51
62,0,必要,名詞,形容動詞語幹,*,*,必要,40
64,0,代数,名詞,一般,*,*,代数,38
65,0,学,名詞,接尾,一般,*,学,51
68,0,応用,名詞,サ変接続,*,*,応用,36
69,0,法,名詞,接尾,一般,*,法,51
71,0,体系,名詞,一般,*,*,体系,38
72,0,系,名詞,接尾,一般,*,系,51
73,0,的,名詞,接尾,形容動詞語幹,*,的,52
74,0,説明,名詞,サ変接続,*,*,説明,36
75,0,できる,動詞,自立,*,*,できる,31
78,0,なる,動詞,自立,*,*,なる,31
83,0,科目,名詞,一般,*,*,科目,38
85,0,到達,名詞,サ変接続,*,*,到達,36
86,0,目標,名詞,一般,*,*,目標,38
90,0,代数学,名詞,固有名詞,一般,*,代数学,41
92,0,基礎,名詞,一般,*,*,基礎,38
94,0,なす,名詞,一般,*,*,なす,38
95,0,群,名詞,接尾,一般,*,群,51
97,0,環,名詞,固有名詞,人名,姓,環,43
99,0,体,名詞,一般,*,*,体,38
102,0,性質,名詞,一般,*,*,性質,38
104,0,理解,名詞,サ変接続,*,*,理解,36
107,0,高い,形容詞,自立,*,*,高い,10
108,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
109,0,能力,名詞,一般,*,*,能力,38
111,0,有する,動詞,自立,*,*,有する,31
112,0,符号,名詞,一般,*,*,符号,38
113,0,空間,名詞,一般,*,*,空間,38
115,0,構成,名詞,サ変接続,*,*,構成,36
117,0,方法,名詞,一般,*,*,方法,38
119,0,理論,名詞,一般,*,*,理論,38
120,0,体系,名詞,一般,*,*,体系,38
122,0,学習,名詞,サ変接続,*,*,学習,36
125,0,最も,副詞,一般,*,*,最も,34
126,0,広く,形容詞,自立,*,*,広い,10
127,0,利用,名詞,サ変接続,*,*,利用,36
132,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
133,0,符号,名詞,一般,*,*,符号,38
136,0,リード,名詞,固有名詞,人名,姓,リード,43
138,0,ソロモン,名詞,固有名詞,地域,国,ソロモン,47
139,0,符号,名詞,一般,*,*,符号,38
141,0,中心,名詞,一般,*,*,中心,38
144,0,符号,名詞,一般,*,*,符号,38
146,0,構成,名詞,サ変接続,*,*,構成,36
147,0,法,名詞,接尾,一般,*,法,51
149,0,復号,名詞,サ変接続,*,*,復号,36
150,0,法,名詞,接尾,一般,*,法,51
152,0,必要,名詞,形容動詞語幹,*,*,必要,40
154,0,代数,名詞,一般,*,*,代数,38
155,0,学,名詞,接尾,一般,*,学,51
158,0,応用,名詞,サ変接続,*,*,応用,36
159,0,法,名詞,接尾,一般,*,法,51
161,0,体系,名詞,一般,*,*,体系,38
162,0,系,名詞,接尾,一般,*,系,51
163,0,的,名詞,接尾,形容動詞語幹,*,的,52
164,0,説明,名詞,サ変接続,*,*,説明,36
165,0,できる,動詞,自立,*,*,できる,31
168,0,なる,動詞,自立,*,*,なる,31
173,0,科目,名詞,一般,*,*,科目,38
175,0,到達,名詞,サ変接続,*,*,到達,36
176,0,目標,名詞,一般,*,*,目標,38
180,0,代数学,名詞,固有名詞,一般,*,代数学,41
182,0,基礎,名詞,一般,*,*,基礎,38
184,0,なす,名詞,一般,*,*,なす,38
185,0,群,名詞,接尾,一般,*,群,51
187,0,環,名詞,固有名詞,人名,姓,環,43
189,0,体,名詞,一般,*,*,体,38
192,0,性質,名詞,一般,*,*,性質,38
194,0,理解,名詞,サ変接続,*,*,理解,36
197,0,高い,形容詞,自立,*,*,高い,10
198,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
199,0,能力,名詞,一般,*,*,能力,38
201,0,有する,動詞,自立,*,*,有する,31
202,0,符号,名詞,一般,*,*,符号,38
203,0,空間,名詞,一般,*,*,空間,38
205,0,構成,名詞,サ変接続,*,*,構成,36
207,0,方法,名詞,一般,*,*,方法,38
209,0,理論,名詞,一般,*,*,理論,38
210,0,体系,名詞,一般,*,*,体系,38
212,0,学習,名詞,サ変接続,*,*,学習,36
215,0,最も,副詞,一般,*,*,最も,34
216,0,広く,形容詞,自立,*,*,広い,10
217,0,利用,名詞,サ変接続,*,*,利用,36
222,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
223,0,符号,名詞,一般,*,*,符号,38
226,0,リード,名詞,固有名詞,人名,姓,リード,43
228,0,ソロモン,名詞,固有名詞,地域,国,ソロモン,47
229,0,符号,名詞,一般,*,*,符号,38
231,0,中心,名詞,一般,*,*,中心,38
234,0,符号,名詞,一般,*,*,符号,38
236,0,構成,名詞,サ変接続,*,*,構成,36
237,0,法,名詞,接尾,一般,*,法,51
239,0,復号,名詞,サ変接続,*,*,復号,36
240,0,法,名詞,接尾,一般,*,法,51
242,0,必要,名詞,形容動詞語幹,*,*,必要,40
244,0,代数,名詞,一般,*,*,代数,38
245,0,学,名詞,接尾,一般,*,学,51
248,0,応用,名詞,サ変接続,*,*,応用,36
249,0,法,名詞,接尾,一般,*,法,51
251,0,体系,名詞,一般,*,*,体系,38
252,0,系,名詞,接尾,一般,*,系,51
253,0,的,名詞,接尾,形容動詞語幹,*,的,52
254,0,説明,名詞,サ変接続,*,*,説明,36
255,0,できる,動詞,自立,*,*,できる,31
258,0,なる,動詞,自立,*,*,なる,31
263,0,科目,名詞,一般,*,*,科目,38
265,0,到達,名詞,サ変接続,*,*,到達,36
266,0,目標,名詞,一般,*,*,目標,38
270,0,代数学,名詞,固有名詞,一般,*,代数学,41
272,0,基礎,名詞,一般,*,*,基礎,38
274,0,なす,名詞,一般,*,*,なす,38
275,0,群,名詞,接尾,一般,*,群,51
277,0,環,名詞,固有名詞,人名,姓,環,43
279,0,体,名詞,一般,*,*,体,38
282,0,性質,名詞,一般,*,*,性質,38
284,0,理解,名詞,サ変接続,*,*,理解,36
287,0,高い,形容詞,自立,*,*,高い,10
288,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
289,0,能力,名詞,一般,*,*,能力,38
291,0,有する,動詞,自立,*,*,有する,31
292,0,符号,名詞,一般,*,*,符号,38
293,0,空間,名詞,一般,*,*,空間,38
295,0,構成,名詞,サ変接続,*,*,構成,36
297,0,方法,名詞,一般,*,*,方法,38
299,0,理論,名詞,一般,*,*,理論,38
300,0,体系,名詞,一般,*,*,体系,38
302,0,学習,名詞,サ変接続,*,*,学習,36
305,0,最も,副詞,一般,*,*,最も,34
306,0,広く,形容詞,自立,*,*,広い,10
307,0,利用,名詞,サ変接続,*,*,利用,36
312,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
313,0,符号,名詞,一般,*,*,符号,38
316,0,リード,名詞,固有名詞,人名,姓,リード,43
318,0,ソロモン,名詞,固有名詞,地域,国,ソロモン,47
319,0,符号,名詞,一般,*,*,符号,38
321,0,中心,名詞,一般,*,*,中心,38
324,0,符号,名詞,一般,*,*,符号,38
326,0,構成,名詞,サ変接続,*,*,構成,36
327,0,法,名詞,接尾,一般,*,法,51
329,0,復号,名詞,サ変接続,*,*,復号,36
330,0,法,名詞,接尾,一般,*,法,51
332,0,必要,名詞,形容動詞語幹,*,*,必要,40
334,0,代数,名詞,一般,*,*,代数,38
335,0,学,名詞,接尾,一般,*,学,51
338,0,応用,名詞,サ変接続,*,*,応用,36
339,0,法,名詞,接尾,一般,*,法,51
341,0,体系,名詞,一般,*,*,体系,38
342,0,系,名詞,接尾,一般,*,系,51
343,0,的,名詞,接尾,形容動詞語幹,*,的,52
344,0,説明,名詞,サ変接続,*,*,説明,36
345,0,できる,動詞,自立,*,*,できる,31
348,0,なる,動詞,自立,*,*,なる,31
353,0,科目,名詞,一般,*,*,科目,38
355,0,到達,名詞,サ変接続,*,*,到達,36
356,0,目標,名詞,一般,*,*,目標,38
0,0,代数学,名詞,固有名詞,一般,*,代数学,41
2,0,基礎,名詞,一般,*,*,基礎,38
4,0,なす,名詞,一般,*,*,なす,38
5,0,群,名詞,接尾,一般,*,群,51
7,0,環,名詞,固有名詞,人名,姓,環,43
9,0,体,名詞,一般,*,*,体,38
12,0,性質,名詞,一般,*,*,性質,38
14,0,理解,名詞,サ変接続,*,*,理解,36
17,0,高い,形容詞,自立,*,*,高い,10
18,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
19,0,能力,名詞,一般,*,*,能力,38
21,0,有する,動詞,自立,*,*,有する,31
22,0,符号,名詞,一般,*,*,符号,38
23,0,空間,名詞,一般,*,*,空間,38
25,0,構成,名詞,サ変接続,*,*,構成,36
27,0,方法,名詞,一般,*,*,方法,38
29,0,理論,名詞,一般,*,*,理論,38
30,0,体系,名詞,一般,*,*,体系,38
32,0,学習,名詞,サ変接続,*,*,学習,36
35,0,最も,副詞,一般,*,*,最も,34
36,0,広く,形容詞,自立,*,*,広い,10
37,0,利用,名詞,サ変接続,*,*,利用,36
42,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
43,0,符号,名詞,一般,*,*,符号,38
46,0,リード,名詞,固有名詞,人名,姓,リード,43
48,0,ソロモン,名詞,固有名詞,地域,国,ソロモン,47
49,0,符号,名詞,一般,*,*,符号,38
51,0,中心,名詞,一般,*,*,中心,38
54,0,符号,名詞,一般,*,*,符号,38
56,0,構成,名詞,サ変接続,*,*,構成,36
57,0,法,名詞,接尾,一般,*,法,51
59,0,復号,名詞,サ変接続,*,*,復号,36
60,0,法,名詞,接尾,一般,*,法,51
62,0,必要,名詞,形容動詞語幹,*,*,必要,40
64,0,代数,名詞,一般,*,*,代数,38
65,0,学,名詞,接尾,一般,*,学,51
68,0,応用,名詞,サ変接続,*,*,応用,36
69,0,法,名詞,接尾,一般,*,法,51
71,0,体系,名詞,一般,*,*,体系,38
72,0,系,名詞,接尾,一般,*,系,51
73,0,的,名詞,接尾,形容動詞語幹,*,的,52
74,0,説明,名詞,サ変接続,*,*,説明,36
75,0,できる,動詞,自立,*,*,できる,31
78,0,なる,動詞,自立,*,*,なる,31
83,0,科目,名詞,一般,*,*,科目,38
85,0,到達,名詞,サ変接続,*,*,到達,36
86,0,目標,名詞,一般,*,*,目標,38
90,0,代数学,名詞,固有名詞,一般,*,代数学,41
92,0,基礎,名詞,一般,*,*,基礎,38
94,0,なす,名詞,一般,*,*,なす,38
95,0,群,名詞,接尾,一般,*,群,51
97,0,環,名詞,固有名詞,人名,姓,環,43
99,0,体,名詞,一般,*,*,体,38
102,0,性質,名詞,一般,*,*,性質,38
104,0,理解,名詞,サ変接続,*,*,理解,36
107,0,高い,形容詞,自立,*,*,高い,10
108,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
109,0,能力,名詞,一般,*,*,能力,38
111,0,有する,動詞,自立,*,*,有する,31
112,0,符号,名詞,一般,*,*,符号,38
113,0,空間,名詞,一般,*,*,空間,38
115,0,構成,名詞,サ変接続,*,*,構成,36
117,0,方法,名詞,一般,*,*,方法,38
119,0,理論,名詞,一般,*,*,理論,38
120,0,体系,名詞,一般,*,*,体系,38
122,0,学習,名詞,サ変接続,*,*,学習,36
125,0,最も,副詞,一般,*,*,最も,34
126,0,広く,形容詞,自立,*,*,広い,10
127,0,利用,名詞,サ変接続,*,*,利用,36
132,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
133,0,符号,名詞,一般,*,*,符号,38
136,0,リード,名詞,固有名詞,人名,姓,リード,43
138,0,ソロモン,名詞,固有名詞,地域,国,ソロモン,47
139,0,符号,名詞,一般,*,*,符号,38
141,0,中心,名詞,一般,*,*,中心,38
144,0,符号,名詞,一般,*,*,符号,38
146,0,構成,名詞,サ変接続,*,*,構成,36
147,0,法,名詞,接尾,一般,*,法,51
149,0,復号,名詞,サ変接続,*,*,復号,36
150,0,法,名詞,接尾,一般,*,法,51
152,0,必要,名詞,形容動詞語幹,*,*,必要,40
154,0,代数,名詞,一般,*,*,代数,38
155,0,学,名詞,接尾,一般,*,学,51
158,0,応用,名詞,サ変接続,*,*,応用,36
159,0,法,名詞,接尾,一般,*,法,51
161,0,体系,名詞,一般,*,*,体系,38
162,0,系,名詞,接尾,一般,*,系,51
163,0,的,名詞,接尾,形容動詞語幹,*,的,52
164,0,説明,名詞,サ変接続,*,*,説明,36
165,0,できる,動詞,自立,*,*,できる,31
168,0,なる,動詞,自立,*,*,なる,31
173,0,科目,名詞,一般,*,*,科目,38
175,0,到達,名詞,サ変接続,*,*,到達,36
176,0,目標,名詞,一般,*,*,目標,38
180,0,代数学,名詞,固有名詞,一般,*,代数学,41
182,0,基礎,名詞,一般,*,*,基礎,38
184,0,なす,名詞,一般,*,*,なす,38
185,0,群,名詞,接尾,一般,*,群,51
187,0,環,名詞,固有名詞,人名,姓,環,43
189,0,体,名詞,一般,*,*,体,38
192,0,性質,名詞,一般,*,*,性質,38
194,0,理解,名詞,サ変接続,*,*,理解,36
197,0,高い,形容詞,自立,*,*,高い,10
198,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
199,0,能力,名詞,一般,*,*,能力,38
201,0,有する,動詞,自立,*,*,有する,31
202,0,符号,名詞,一般,*,*,符号,38
203,0,空間,名詞,一般,*,*,空間,38
205,0,構成,名詞,サ変接続,*,*,構成,36
207,0,方法,名詞,一般,*,*,方法,38
209,0,理論,名詞,一般,*,*,理論,38
210,0,体系,名詞,一般,*,*,体系,38
212,0,学習,名詞,サ変接続,*,*,学習,36
215,0,最も,副詞,一般,*,*,最も,34
216,0,広く,形容詞,自立,*,*,広い,10
217,0,利用,名詞,サ変接続,*,*,利用,36
222,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
223,0,符号,名詞,一般,*,*,符号,38
226,0,リード,名詞,固有名詞,人名,姓,リード,43
228,0,ソロモン,名詞,固有名詞,地域,国,ソロモン,47
229,0,符号,名詞,一般,*,*,符号,38
231,0,中心,名詞,一般,*,*,中心,38
234,0,符号,名詞,一般,*,*,符号,38
236,0,構成,名詞,サ変接続,*,*,構成,36
237,0,法,名詞,接尾,一般,*,法,51
239,0,復号,名詞,サ変接続,*,*,復号,36
240,0,法,名詞,接尾,一般,*,法,51
242,0,必要,名詞,形容動詞語幹,*,*,必要,40
244,0,代数,名詞,一般,*,*,代数,38
245,0,学,名詞,接尾,一般,*,学,51
248,0,応用,名詞,サ変接続,*,*,応用,36
249,0,法,名詞,接尾,一般,*,法,51
251,0,体系,名詞,一般,*,*,体系,38
252,0,系,名詞,接尾,一般,*,系,51
253,0,的,名詞,接尾,形容動詞語幹,*,的,52
254,0,説明,名詞,サ変接続,*,*,説明,36
255,0,できる,動詞,自立,*,*,できる,31
258,0,なる,動詞,自立,*,*,なる,31
263,0,科目,名詞,一般,*,*,科目,38
265,0,到達,名詞,サ変接続,*,*,到達,36
266,0,目標,名詞,一般,*,*,目標,38
270,0,代数学,名詞,固有名詞,一般,*,代数学,41
272,0,基礎,名詞,一般,*,*,基礎,38
274,0,なす,名詞,一般,*,*,なす,38
275,0,群,名詞,接尾,一般,*,群,51
277,0,環,名詞,固有名詞,人名,姓,環,43
279,0,体,名詞,一般,*,*,体,38
282,0,性質,名詞,一般,*,*,性質,38
284,0,理解,名詞,サ変接続,*,*,理解,36
287,0,高い,形容詞,自立,*,*,高い,10
288,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
289,0,能力,名詞,一般,*,*,能力,38
291,0,有する,動詞,自立,*,*,有する,31
292,0,符号,名詞,一般,*,*,符号,38
293,0,空間,名詞,一般,*,*,空間,38
295,0,構成,名詞,サ変接続,*,*,構成,36
297,0,方法,名詞,一般,*,*,方法,38
299,0,理論,名詞,一般,*,*,理論,38
300,0,体系,名詞,一般,*,*,体系,38
302,0,学習,名詞,サ変接続,*,*,学習,36
305,0,最も,副詞,一般,*,*,最も,34
306,0,広く,形容詞,自立,*,*,広い,10
307,0,利用,名詞,サ変接続,*,*,利用,36
312,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
313,0,符号,名詞,一般,*,*,符号,38
316,0,リード,名詞,固有名詞,人名,姓,リード,43
318,0,ソロモン,名詞,固有名詞,地域,国,ソロモン,47
319,0,符号,名詞,一般,*,*,符号,38
321,0,中心,名詞,一般,*,*,中心,38
324,0,符号,名詞,一般,*,*,符号,38
326,0,構成,名詞,サ変接続,*,*,構成,36
327,0,法,名詞,接尾,一般,*,法,51
329,0,復号,名詞,サ変接続,*,*,復号,36
330,0,法,名詞,接尾,一般,*,法,51
332,0,必要,名詞,形容動詞語幹,*,*,必要,40
334,0,代数,名詞,一般,*,*,代数,38
335,0,学,名詞,接尾,一般,*,学,51
338,0,応用,名詞,サ変接続,*,*,応用,36
339,0,法,名詞,接尾,一般,*,法,51
341,0,体系,名詞,一般,*,*,体系,38
342,0,系,名詞,接尾,一般,*,系,51
343,0,的,名詞,接尾,形容動詞語幹,*,的,52
344,0,説明,名詞,サ変接続,*,*,説明,36
345,0,できる,動詞,自立,*,*,できる,31
348,0,なる,動詞,自立,*,*,なる,31
353,0,科目,名詞,一般,*,*,科目,38
355,0,到達,名詞,サ変接続,*,*,到達,36
356,0,目標,名詞,一般,*,*,目標,38
0,0,代数学,名詞,固有名詞,一般,*,代数学,41
2,0,基礎,名詞,一般,*,*,基礎,38
4,0,なす,名詞,一般,*,*,なす,38
5,0,群,名詞,接尾,一般,*,群,51
7,0,環,名詞,固有名詞,人名,姓,環,43
9,0,体,名詞,一般,*,*,体,38
12,0,性質,名詞,一般,*,*,性質,38
14,0,理解,名詞,サ変接続,*,*,理解,36
17,0,高い,形容詞,自立,*,*,高い,10
18,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
19,0,能力,名詞,一般,*,*,能力,38
21,0,有する,動詞,自立,*,*,有する,31
22,0,符号,名詞,一般,*,*,符号,38
23,0,空間,名詞,一般,*,*,空間,38
25,0,構成,名詞,サ変接続,*,*,構成,36
27,0,方法,名詞,一般,*,*,方法,38
29,0,理論,名詞,一般,*,*,理論,38
30,0,体系,名詞,一般,*,*,体系,38
32,0,学習,名詞,サ変接続,*,*,学習,36
35,0,最も,副詞,一般,*,*,最も,34
36,0,広く,形容詞,自立,*,*,広い,10
37,0,利用,名詞,サ変接続,*,*,利用,36
42,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
43,0,符号,名詞,一般,*,*,符号,38
46,0,リード,名詞,固有名詞,人名,姓,リード,43
48,0,ソロモン,名詞,固有名詞,地域,国,ソロモン,47
49,0,符号,名詞,一般,*,*,符号,38
51,0,中心,名詞,一般,*,*,中心,38
54,0,符号,名詞,一般,*,*,符号,38
56,0,構成,名詞,サ変接続,*,*,構成,36
57,0,法,名詞,接尾,一般,*,法,51
59,0,復号,名詞,サ変接続,*,*,復号,36
60,0,法,名詞,接尾,一般,*,法,51
62,0,必要,名詞,形容動詞語幹,*,*,必要,40
64,0,代数,名詞,一般,*,*,代数,38
65,0,学,名詞,接尾,一般,*,学,51
68,0,応用,名詞,サ変接続,*,*,応用,36
69,0,法,名詞,接尾,一般,*,法,51
71,0,体系,名詞,一般,*,*,体系,38
72,0,系,名詞,接尾,一般,*,系,51
73,0,的,名詞,接尾,形容動詞語幹,*,的,52
74,0,説明,名詞,サ変接続,*,*,説明,36
75,0,できる,動詞,自立,*,*,できる,31
78,0,なる,動詞,自立,*,*,なる,31
83,0,科目,名詞,一般,*,*,科目,38
85,0,到達,名詞,サ変接続,*,*,到達,36
86,0,目標,名詞,一般,*,*,目標,38
90,0,代数学,名詞,固有名詞,一般,*,代数学,41
92,0,基礎,名詞,一般,*,*,基礎,38
94,0,なす,名詞,一般,*,*,なす,38
95,0,群,名詞,接尾,一般,*,群,51
97,0,環,名詞,固有名詞,人名,姓,環,43
99,0,体,名詞,一般,*,*,体,38
102,0,性質,名詞,一般,*,*,性質,38
104,0,理解,名詞,サ変接続,*,*,理解,36
107,0,高い,形容詞,自立,*,*,高い,10
108,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
109,0,能力,名詞,一般,*,*,能力,38
111,0,有する,動詞,自立,*,*,有する,31
112,0,符号,名詞,一般,*,*,符号,38
113,0,空間,名詞,一般,*,*,空間,38
115,0,構成,名詞,サ変接続,*,*,構成,36
117,0,方法,名詞,一般,*,*,方法,38
119,0,理論,名詞,一般,*,*,理論,38
120,0,体系,名詞,一般,*,*,体系,38
122,0,学習,名詞,サ変接続,*,*,学習,36
125,0,最も,副詞,一般,*,*,最も,34
126,0,広く,形容詞,自立,*,*,広い,10
127,0,利用,名詞,サ変接続,*,*,利用,36
132,0,誤り訂正,名詞,固有名詞,一般,*,誤り訂正,41
133,0,符号,名詞,一般,*,*,符号,38
136,0,リード,名詞,固有名詞,人名,姓,リード,43
138,0,ソロモン,名詞,固有名詞,地域,国,ソロモン,47
139,0,符号,名詞,一般,*,*,符号,38
141,0,中心,名詞,一般,*,*,中心,38
144,0,符号,名詞,一般,*,*,符号,38
146,0,構成,名詞,サ変接続,*,*,構成,36
147,0,法,名詞,接尾,一般,*,法,51
149,0,復号,名詞,サ変接続,*,*,復号,36
150,0,法,名詞,接尾,一般,*,法,51
152,0,必要,名詞,形容動詞語幹,*,*,必要,40
154,0,代数,名詞,一般,*,*,代数,38
155,0,学,名詞,接尾,一般,*,学,51
158,0,応用,名詞,サ変接続,*,*,応用,36
159,0,法,名詞,接尾,一般,*,法,51
161,0,体系,名詞,一般,*,*,体系,38
162,0,系,名詞,接尾,一般,*,系,51
163,0,的,名詞,接尾,形容動詞語幹,*,的,52
164,0,説明,名詞,サ変接続,*,*,説明,36
165,0,できる,動詞,自立,*,*,できる,31
