Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,機械学習,名詞,固有名詞,一般,*,機械学習,41
2,0,主要,名詞,形容動詞語幹,*,*,主要,40
4,0,手法,名詞,一般,*,*,手法,38
8,0,階層,名詞,一般,*,*,階層,38
9,0,型,名詞,接尾,一般,*,型,51
10,0,ニューラルネットワーク,名詞,固有名詞,一般,*,Neural Network,41
14,0,Neural Network,名詞,固有名詞,一般,*,Neural Network,41
16,0,CNN,名詞,固有名詞,一般,*,CNN,41
18,0,他,名詞,一般,*,*,他,38
20,0,代表,名詞,サ変接続,*,*,代表,36
21,0,的,名詞,接尾,形容動詞語幹,*,的,52
23,0,機械学習,名詞,固有名詞,一般,*,機械学習,41
25,0,選び,動詞,自立,*,*,選ぶ,31
29,0,導出,名詞,サ変接続,*,*,導出,36
31,0,ため,名詞,非自立,副詞可能,*,ため,66
33,0,数学,名詞,一般,*,*,数学,38
34,0,的,名詞,接尾,形容動詞語幹,*,的,52
36,0,基礎,名詞,一般,*,*,基礎,38
38,0,身,名詞,一般,*,*,身,38
40,0,付け,動詞,自立,*,*,付ける,31
42,0,具体的,名詞,固有名詞,一般,*,具体的,41
44,0,プログラム,名詞,サ変接続,*,*,プログラム,36
46,0,書い,動詞,自立,*,*,書く,31
48,0,実装,名詞,サ変接続,*,*,実装,36
49,0,できる,動詞,自立,*,*,できる,31
54,0,機械学習,名詞,固有名詞,一般,*,機械学習,41
56,0,主要,名詞,形容動詞語幹,*,*,主要,40
58,0,手法,名詞,一般,*,*,手法,38
62,0,階層,名詞,一般,*,*,階層,38
63,0,型,名詞,接尾,一般,*,型,51
64,0,ニューラルネットワーク,名詞,固有名詞,一般,*,Neural Network,41
68,0,Neural Network,名詞,固有名詞,一般,*,Neural Network,41
70,0,CNN,名詞,固有名詞,一般,*,CNN,41
72,0,他,名詞,一般,*,*,他,38
74,0,代表,名詞,サ変接続,*,*,代表,36
75,0,的,名詞,接尾,形容動詞語幹,*,的,52
77,0,機械学習,名詞,固有名詞,一般,*,機械学習,41
79,0,選び,動詞,自立,*,*,選ぶ,31
83,0,導出,名詞,サ変接続,*,*,導出,36
85,0,ため,名詞,非自立,副詞可能,*,ため,66
87,0,数学,名詞,一般,*,*,数学,38
88,0,的,名詞,接尾,形容動詞語幹,*,的,52
90,0,基礎,名詞,一般,*,*,基礎,38
92,0,身,名詞,一般,*,*,身,38
94,0,付け,動詞,自立,*,*,付ける,31
96,0,具体的,名詞,固有名詞,一般,*,具体的,41
98,0,プログラム,名詞,サ変接続,*,*,プログラム,36
100,0,書い,動詞,自立,*,*,書く,31
102,0,実装,名詞,サ変接続,*,*,実装,36
103,0,できる,動詞,自立,*,*,できる,31
0,0,ニューラルネットワーク,名詞,固有名詞,一般,*,Neural Network,41
1,0,ディープラーニング,名詞,固有名詞,一般,*,Deep learning,41
3,0,Neural Network,名詞,固有名詞,一般,*,Neural Network,41
5,0,CNN,名詞,固有名詞,一般,*,CNN,41
7,0,誤差,名詞,一般,*,*,誤差,38
9,0,伝搬,名詞,サ変接続,*,*,伝搬,36
10,0,法,名詞,接尾,一般,*,法,51
11,0,勾配法,名詞,固有名詞,一般,*,勾配法,41
12,0,最小二乗法,名詞,固有名詞,一般,*,最小二乗法,41
13,0,ベイズ推定,名詞,固有名詞,一般,*,ベイズ推定,41
14,0,主成分分析,名詞,固有名詞,一般,*,主成分分析,41
15,0,ブースティング,名詞,固有名詞,一般,*,ブースティング,41
16,0,法,名詞,接尾,一般,*,法,51
17,0,サポートベクトルマシン,名詞,固有名詞,一般,*,サポートベクトルマシン,41
18,0,k-m,名詞,固有名詞,一般,*,K-m,41
20,0,法,名詞,接尾,一般,*,法,51
21,0,ニューラルネットワーク,名詞,固有名詞,一般,*,Neural Network,41
22,0,ディープラーニング,名詞,固有名詞,一般,*,Deep learning,41
24,0,Neural Network,名詞,固有名詞,一般,*,Neural Network,41
26,0,CNN,名詞,固有名詞,一般,*,CNN,41
28,0,誤差,名詞,一般,*,*,誤差,38
30,0,伝搬,名詞,サ変接続,*,*,伝搬,36
31,0,法,名詞,接尾,一般,*,法,51
32,0,勾配法,名詞,固有名詞,一般,*,勾配法,41
33,0,最小二乗法,名詞,固有名詞,一般,*,最小二乗法,41
34,0,ベイズ推定,名詞,固有名詞,一般,*,ベイズ推定,41
35,0,主成分分析,名詞,固有名詞,一般,*,主成分分析,41
