Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,上記,名詞,一般,*,*,上記,38
3,0,対応,名詞,サ変接続,*,*,対応,36
6,0,以下,名詞,非自立,副詞可能,*,以下,66
11,0,構成,名詞,サ変接続,*,*,構成,36
17,0,限ら,動詞,自立,*,*,限る,31
20,0,時間,名詞,副詞可能,*,*,時間,67
21,0,内,名詞,接尾,一般,*,内,51
23,0,論点,名詞,一般,*,*,論点,38
25,0,整理,名詞,サ変接続,*,*,整理,36
28,0,コンセプト,名詞,一般,*,*,コンセプト,38
30,0,立て,動詞,自立,*,*,立てる,31
32,0,説得,名詞,サ変接続,*,*,説得,36
33,0,的,名詞,接尾,形容動詞語幹,*,的,52
35,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
37,0,組み立て,動詞,自立,*,*,組み立てる,31
41,0,なる,動詞,自立,*,*,なる,31
47,0,知識,名詞,一般,*,*,知識,38
51,0,自ら,名詞,副詞可能,*,*,自ら,67
53,0,軸,名詞,一般,*,*,軸,38
55,0,意識,名詞,サ変接続,*,*,意識,36
58,0,体系,名詞,一般,*,*,体系,38
59,0,的,名詞,接尾,形容動詞語幹,*,的,52
61,0,情報,名詞,一般,*,*,情報,38
63,0,取捨選択,名詞,サ変接続,*,*,取捨選択,36
65,0,できる,動詞,自立,*,*,できる,31
68,0,なる,動詞,自立,*,*,なる,31
69,0,読書,名詞,サ変接続,*,*,読書,36
70,0,力,名詞,接尾,一般,*,力,51
72,0,情報,名詞,一般,*,*,情報,38
73,0,蒐集,名詞,サ変接続,*,*,蒐集,36
74,0,力,名詞,接尾,一般,*,力,51
76,0,会得,名詞,サ変接続,*,*,会得,36
80,0,上記,名詞,一般,*,*,上記,38
82,0,対応,名詞,サ変接続,*,*,対応,36
85,0,以下,名詞,非自立,副詞可能,*,以下,66
90,0,構成,名詞,サ変接続,*,*,構成,36
96,0,限ら,動詞,自立,*,*,限る,31
99,0,時間,名詞,副詞可能,*,*,時間,67
100,0,内,名詞,接尾,一般,*,内,51
102,0,論点,名詞,一般,*,*,論点,38
104,0,整理,名詞,サ変接続,*,*,整理,36
107,0,コンセプト,名詞,一般,*,*,コンセプト,38
109,0,立て,動詞,自立,*,*,立てる,31
111,0,説得,名詞,サ変接続,*,*,説得,36
112,0,的,名詞,接尾,形容動詞語幹,*,的,52
114,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
116,0,組み立て,動詞,自立,*,*,組み立てる,31
120,0,なる,動詞,自立,*,*,なる,31
126,0,知識,名詞,一般,*,*,知識,38
130,0,自ら,名詞,副詞可能,*,*,自ら,67
132,0,軸,名詞,一般,*,*,軸,38
134,0,意識,名詞,サ変接続,*,*,意識,36
137,0,体系,名詞,一般,*,*,体系,38
138,0,的,名詞,接尾,形容動詞語幹,*,的,52
140,0,情報,名詞,一般,*,*,情報,38
142,0,取捨選択,名詞,サ変接続,*,*,取捨選択,36
144,0,できる,動詞,自立,*,*,できる,31
147,0,なる,動詞,自立,*,*,なる,31
148,0,読書,名詞,サ変接続,*,*,読書,36
149,0,力,名詞,接尾,一般,*,力,51
151,0,情報,名詞,一般,*,*,情報,38
152,0,蒐集,名詞,サ変接続,*,*,蒐集,36
153,0,力,名詞,接尾,一般,*,力,51
155,0,会得,名詞,サ変接続,*,*,会得,36
159,0,上記,名詞,一般,*,*,上記,38
161,0,対応,名詞,サ変接続,*,*,対応,36
164,0,以下,名詞,非自立,副詞可能,*,以下,66
169,0,構成,名詞,サ変接続,*,*,構成,36
175,0,限ら,動詞,自立,*,*,限る,31
178,0,時間,名詞,副詞可能,*,*,時間,67
179,0,内,名詞,接尾,一般,*,内,51
181,0,論点,名詞,一般,*,*,論点,38
183,0,整理,名詞,サ変接続,*,*,整理,36
186,0,コンセプト,名詞,一般,*,*,コンセプト,38
188,0,立て,動詞,自立,*,*,立てる,31
190,0,説得,名詞,サ変接続,*,*,説得,36
191,0,的,名詞,接尾,形容動詞語幹,*,的,52
193,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
195,0,組み立て,動詞,自立,*,*,組み立てる,31
199,0,なる,動詞,自立,*,*,なる,31
205,0,知識,名詞,一般,*,*,知識,38
209,0,自ら,名詞,副詞可能,*,*,自ら,67
211,0,軸,名詞,一般,*,*,軸,38
213,0,意識,名詞,サ変接続,*,*,意識,36
216,0,体系,名詞,一般,*,*,体系,38
217,0,的,名詞,接尾,形容動詞語幹,*,的,52
219,0,情報,名詞,一般,*,*,情報,38
221,0,取捨選択,名詞,サ変接続,*,*,取捨選択,36
223,0,できる,動詞,自立,*,*,できる,31
226,0,なる,動詞,自立,*,*,なる,31
227,0,読書,名詞,サ変接続,*,*,読書,36
228,0,力,名詞,接尾,一般,*,力,51
230,0,情報,名詞,一般,*,*,情報,38
231,0,蒐集,名詞,サ変接続,*,*,蒐集,36
232,0,力,名詞,接尾,一般,*,力,51
234,0,会得,名詞,サ変接続,*,*,会得,36
238,0,リモート,名詞,一般,*,*,リモート,38
239,0,力,名詞,接尾,一般,*,力,51
242,0,獲得,名詞,サ変接続,*,*,獲得,36
246,0,社会人,名詞,固有名詞,一般,*,社会人,41
248,0,なる,動詞,自立,*,*,なる,31
251,0,多様,名詞,形容動詞語幹,*,*,多様,40
253,0,メンバー,名詞,一般,*,*,メンバー,38
255,0,リモート,名詞,一般,*,*,リモート,38
257,0,協働,名詞,固有名詞,一般,*,協働,41
260,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
262,0,遂行,名詞,サ変接続,*,*,遂行,36
264,0,機会,名詞,一般,*,*,機会,38
266,0,増える,動詞,自立,*,*,増える,31
271,0,予行,名詞,一般,*,*,予行,38
272,0,演習,名詞,サ変接続,*,*,演習,36
275,0,リモート,名詞,一般,*,*,リモート,38
277,0,おこなう,動詞,自立,*,*,おこなう,31
278,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
281,0,メンバー,名詞,一般,*,*,メンバー,38
283,0,変え,動詞,自立,*,*,変える,31
287,0,体験,名詞,サ変接続,*,*,体験,36
290,0,経験値,名詞,固有名詞,人名,一般,経験値,42
292,0,上げる,動詞,自立,*,*,上げる,31
293,0,機会,名詞,一般,*,*,機会,38
295,0,なれ,動詞,自立,*,*,なる,31
298,0,設計,名詞,サ変接続,*,*,設計,36
304,0,十分,名詞,形容動詞語幹,*,*,十分,40
306,0,交流,名詞,サ変接続,*,*,交流,36
308,0,機会,名詞,一般,*,*,機会,38
310,0,持て,動詞,自立,*,*,持てる,31
315,0,学年,名詞,一般,*,*,学年,38
317,0,仲間,名詞,一般,*,*,仲間,38
319,0,コラボ,名詞,固有名詞,一般,*,コラボ,41
320,0,できる,動詞,自立,*,*,できる,31
321,0,機会,名詞,一般,*,*,機会,38
326,0,いただけれ,動詞,自立,*,*,いただける,31
328,0,幸い,名詞,形容動詞語幹,*,*,幸い,40
332,0,上記,名詞,一般,*,*,上記,38
334,0,対応,名詞,サ変接続,*,*,対応,36
337,0,以下,名詞,非自立,副詞可能,*,以下,66
